Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Vietnam,8419,151623,0.0555258766809784,-1
India,5812,151623,0.0383319153426591,-1
China,5324,151623,0.0351134062774117,-1
Afghanistan,5006,151623,0.0330160991406317,-1
Bangladesh,3895,151623,0.0256887147728247,-1
Brazil,3397,151623,0.0224042526529616,-1
"Congo, Democratic Republic of",3270,151623,0.0215666488593419,-1
Nicaragua,3231,151623,0.0213094319463406,-1
Honduras,2690,151623,0.0177413716916298,-1
Bosnia and Herzegovina,2671,151623,0.01761606088786,-1
Africa,2368,151623,0.0156176833330035,-1
Indonesia,2281,151623,0.0150438917578467,-1
Nigeria,2276,151623,0.0150109152305389,-1
Colombia,2247,151623,0.0148196513721533,-1
Mexico,2211,151623,0.0145822203755366,-1
Haiti,2202,151623,0.0145228626263825,-1
Guatemala,2146,151623,0.0141535255205344,-1
Madagascar,2133,151623,0.014067786549534,-1
Kyrgyz Republic,2073,151623,0.0136720682218396,-1
Tajikistan,1918,151623,0.0126497958752959,-1
Argentina,1904,151623,0.0125574615988339,-1
Azerbaijan,1883,151623,0.0124189601841409,-1
Bolivia,1880,151623,0.0123991742677562,-1
Russian Federation,1880,151623,0.0123991742677562,-1
Pakistan,1795,151623,0.0118385733035225,-1
Serbia,1735,151623,0.0114428549758282,-1
Turkey,1723,151623,0.0113637113102893,-1
Tanzania,1656,151623,0.0109218258443639,-1
Nepal,1623,151623,0.010704180764132,-1
Ghana,1604,151623,0.0105788699603622,-1
Moldova,1600,151623,0.0105524887385159,-1
Mozambique,1559,151623,0.0102820812145914,-1
"Yemen, Republic of",1545,151623,0.0101897469381294,-1
Uganda,1517,151623,0.0100050783852054,-1
Cambodia,1516,151623,0.0099984830797438,-1
Croatia,1492,151623,0.0098401957486661,-1
Armenia,1468,151623,0.0096819084175883,-1
Georgia,1412,151623,0.0093125713117403,-1
Romania,1387,151623,0.0091476886752009,-1
Senegal,1376,151623,0.0090751403151236,-1
El Salvador,1357,151623,0.0089498295113538,-1
Albania,1352,151623,0.0089168529840459,-1
Cote d'Ivoire,1300,151623,0.0085738971000441,-1
Ethiopia,1250,151623,0.0082441318269655,-1
Kenya,1203,151623,0.0079341524702716,-1
Peru,1197,151623,0.0078945806375022,-1
"Macedonia, former Yugoslav Republic of",1168,151623,0.0077033167791166,-1
Western Africa,1160,151623,0.007650554335424,-1
Benin,1159,151623,0.0076439590299624,-1
Lao People's Democratic Republic,1141,151623,0.0075252435316541,-1
Bulgaria,1135,151623,0.0074856716988847,-1
Liberia,1094,151623,0.0072152641749602,-1
"Egypt, Arab Republic of",1087,151623,0.0071690970367292,-1
Ukraine,1058,151623,0.0069778331783436,-1
Philippines,1054,151623,0.0069514519564973,-1
Malawi,1054,151623,0.0069514519564973,-1
Mongolia,1016,151623,0.0067008303489576,-1
Burundi,1016,151623,0.0067008303489576,-1
Lebanon,929,151623,0.0061270387738008,-1
Zambia,907,151623,0.0059819420536462,-1
Uzbekistan,868,151623,0.0057247251406448,-1
Mali,837,151623,0.0055202706713361,-1
West Bank and Gaza,795,151623,0.0052432678419501,-1
Iraq,790,151623,0.0052102913146422,-1
Sri Lanka,751,151623,0.0049530744016409,-1
Niger,745,151623,0.0049135025688714,-1
Kosovo,715,151623,0.0047156434050243,-1
Dominican Republic,710,151623,0.0046826668777164,-1
"Congo, Republic of",684,151623,0.0045111889357155,-1
Mauritania,683,151623,0.0045045936302539,-1
"Iran, Islamic Republic of",681,151623,0.0044914030193308,-1
Sierra Leone,679,151623,0.0044782124084076,-1
Angola,679,151623,0.0044782124084076,-1
Timor-Leste,670,151623,0.0044188546592535,-1
Cameroon,650,151623,0.004286948550022,-1
Lesotho,633,151623,0.0041748283571753,-1
Kazakhstan,631,151623,0.0041616377462522,-1
Tunisia,630,151623,0.0041550424407906,-1
Ecuador,619,151623,0.0040824940807133,-1
Burkina Faso,611,151623,0.0040297316370207,-1
Sudan,611,151623,0.0040297316370207,-1
Montenegro,601,151623,0.003963778582405,-1
Rwanda,583,151623,0.0038450630840967,-1
Jordan,563,151623,0.0037131569748652,-1
Papua New Guinea,558,151623,0.0036801804475574,-1
Djibouti,534,151623,0.0035218931164796,-1
Guinea,526,151623,0.0034691306727871,-1
Belarus,494,151623,0.0032580808980167,-1
Paraguay,485,151623,0.0031987231488626,-1
Uruguay,473,151623,0.0031195794833237,-1
South Sudan,469,151623,0.0030931982614774,-1
Togo,455,151623,0.0030008639850154,-1
Morocco,419,151623,0.0027634329883988,-1
Chad,366,151623,0.0024138817989355,-1
St. Lucia,351,151623,0.0023149522170119,-1
Guinea-Bissau,337,151623,0.0022226179405499,-1
Central African Republic,336,151623,0.0022160226350883,-1
Grenada,324,151623,0.0021368789695494,-1
Panama,323,151623,0.0021302836640879,-1
Poland,319,151623,0.0021039024422416,-1
Guyana,317,151623,0.0020907118313184,-1
"Gambia, The",310,151623,0.0020445446930874,-1
Costa Rica,301,151623,0.0019851869439333,-1
Central Asia,276,151623,0.0018203043073939,-1
Cabo Verde,266,151623,0.0017543512527782,-1
Tonga,261,151623,0.0017213747254704,-1
South Africa,259,151623,0.0017081841145472,-1
Somalia,251,151623,0.0016554216708546,-1
Solomon Islands,250,151623,0.0016488263653931,-1
Samoa,235,151623,0.0015498967834695,-1
Jamaica,233,151623,0.0015367061725463,-1
Eritrea,214,151623,0.0014113953687765,-1
OECS Countries,212,151623,0.0013982047578533,-1
Kiribati,208,151623,0.001371823536007,-1
Caribbean,172,151623,0.0011343925393904,-1
Belize,168,151623,0.0011080113175441,-1
Western Balkans,156,151623,0.0010288676520053,-1
Vanuatu,152,151623,0.001002486430159,-1
Bhutan,148,151623,0.0009761052083127,-1
Myanmar,147,151623,0.0009695099028511,-1
Central America,146,151623,0.0009629145973895,-1
St. Vincent and the Grenadines,145,151623,0.000956319291928,-1
"Venezuela, Republica Bolivariana de",143,151623,0.0009431286810048,-1
