Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
water,114,801,0.1423220973782771,-1
normal,105,801,0.1310861423220973,-1
grass,78,801,0.097378277153558,-1
bug,72,801,0.0898876404494382,-1
psychic,53,801,0.0661672908863919,-1
fire,52,801,0.0649188514357053,-1
rock,45,801,0.0561797752808988,-1
electric,39,801,0.048689138576779,-1
ground,32,801,0.0399500624219725,-1
poison,32,801,0.0399500624219725,-1
dark,29,801,0.0362047440699126,-1
fighting,28,801,0.0349563046192259,-1
ghost,27,801,0.0337078651685393,-1
dragon,27,801,0.0337078651685393,-1
steel,24,801,0.0299625468164794,-1
ice,23,801,0.0287141073657927,-1
fairy,18,801,0.0224719101123595,-1
flying,3,801,0.0037453183520599,-1
