Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Flying,97,800,0.12125,-1
Ground,35,800,0.04375,-1
Poison,34,800,0.0425,-1
Psychic,33,800,0.04125,-1
Fighting,26,800,0.0325,-1
Grass,25,800,0.03125,-1
Fairy,23,800,0.02875,-1
Steel,22,800,0.0275,-1
Dark,20,800,0.025,-1
Dragon,18,800,0.0225,-1
Rock,14,800,0.0175,-1
Water,14,800,0.0175,-1
Ghost,14,800,0.0175,-1
Ice,14,800,0.0175,-1
Fire,12,800,0.015,-1
Electric,6,800,0.0075,-1
Normal,4,800,0.005,-1
Bug,3,800,0.00375,-1
