Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
GARBAGE COLLECTIONS,198489,564403,0.3516795622985703,-1
RECYCLING - SINGLE STREAM,99507,564403,0.1763048743539634,-1
SWEEPING,72377,564403,0.1282363842856965,-1
YARD TRIMMING,55716,564403,0.0987166971118155,-1
RECYCLING - PAPER,32162,564403,0.0569841053289936,-1
BRUSH,31694,564403,0.0561549105869387,-1
RECYCLING - COMINGLE,31125,564403,0.05514676569756,-1
BULK,30976,564403,0.0548827699356665,-1
DEAD ANIMAL,5404,564403,0.0095747187736422,-1
TIRES,2341,564403,0.0041477454939112,-1
MULCH,1344,564403,0.0023812772079524,-1
MIXED LITTER,1292,564403,0.0022891444588352,-1
LITTER,1234,564403,0.0021863810078968,-1
RECYCLED METAL,643,564403,0.001139256878507,-1
BAGGED LITTER,42,564403,7.44149127485148e-05,-1
RECYCLING - PLASTIC BAGS,40,564403,7.0871345474776e-05,-1
YARD TRIMMING - X-MAS TREES,13,564403,2.30331872793022e-05,-1
MATTRESS,4,564403,7.0871345474776e-06,-1
