Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Estadio Azteca,19,4572,0.0041557305336832,-1
Jalisco,14,4572,0.0030621172353455,-1
Olympiastadion,14,4572,0.0030621172353455,-1
Nou Camp - Estadio Le�n,11,4572,0.0024059492563429,-1
Estadio Nacional,10,4572,0.0021872265966754,-1
Nacional,10,4572,0.0021872265966754,-1
Estadio do Maracana,10,4572,0.0021872265966754,-1
Estadio Centenario,10,4572,0.0021872265966754,-1
Parc des Princes,9,4572,0.0019685039370078,-1
Wembley Stadium,9,4572,0.0019685039370078,-1
Stade V�lodrome,9,4572,0.0019685039370078,-1
Stade de France,9,4572,0.0019685039370078,-1
El Monumental - Estadio Monumental Antonio Vespuci,9,4572,0.0019685039370078,-1
Stade du Parc Lescure,9,4572,0.0019685039370078,-1
Arena Fonte Nova,8,4572,0.0017497812773403,-1
Estadio Ol�mpico Chateau Carreras,8,4572,0.0017497812773403,-1
Rasunda Stadium,8,4572,0.0017497812773403,-1
Rose Bowl,8,4572,0.0017497812773403,-1
Cuauhtemoc,8,4572,0.0017497812773403,-1
Estadio Sausalito,8,4572,0.0017497812773403,-1
Estadio Mineirao,8,4572,0.0017497812773403,-1
Cape Town Stadium,8,4572,0.0017497812773403,-1
Maracan� - Est�dio Jornalista M�rio Filho,8,4572,0.0017497812773403,-1
Arena de Sao Paulo,8,4572,0.0017497812773403,-1
Soccer City Stadium,8,4572,0.0017497812773403,-1
Stade Municipal,8,4572,0.0017497812773403,-1
Estadio Castelao,8,4572,0.0017497812773403,-1
Port Elizabeth Stadium,8,4572,0.0017497812773403,-1
Estadio El Teniente-Codelco,7,4572,0.0015310586176727,-1
Durban Stadium,7,4572,0.0015310586176727,-1
Carlos Dittborn,7,4572,0.0015310586176727,-1
Ellis Park Stadium,7,4572,0.0015310586176727,-1
Giants Stadium,7,4572,0.0015310586176727,-1
Nya Ullevi,7,4572,0.0015310586176727,-1
Loftus Versfeld Stadium,6,4572,0.0013123359580052,-1
Free State Stadium,6,4572,0.0013123359580052,-1
Stanford Stadium,6,4572,0.0013123359580052,-1
St. Jakob,6,4572,0.0013123359580052,-1
La Mosson,6,4572,0.0013123359580052,-1
Pacaembu,6,4572,0.0013123359580052,-1
Stade Felix Bollaert,6,4572,0.0013123359580052,-1
San Martin,6,4572,0.0013123359580052,-1
Parque Central,6,4572,0.0013123359580052,-1
"FIFA World Cup Stadium, Dortmund",6,4572,0.0013123359580052,-1
Stadio Olimpico,6,4572,0.0013123359580052,-1
Arroyito - Estadio Dr. Lisandro de la Torre,6,4572,0.0013123359580052,-1
Stade de Gerland,6,4572,0.0013123359580052,-1
"FIFA World Cup Stadium, Munich",6,4572,0.0013123359580052,-1
Gottlieb-Daimler-Stadion,6,4572,0.0013123359580052,-1
Arena Pernambuco,6,4572,0.0013123359580052,-1
Stade Geoffroy Guichard,6,4572,0.0013123359580052,-1
Cotton Bowl,6,4572,0.0013123359580052,-1
Estadio Beira-Rio,6,4572,0.0013123359580052,-1
Estadio Jos� Mar�a Minella,6,4572,0.0013123359580052,-1
La Beaujoire,6,4572,0.0013123359580052,-1
Giuseppe Meazza,6,4572,0.0013123359580052,-1
Foxboro Stadium,6,4572,0.0013123359580052,-1
Royal Bafokeng Sports Palace,6,4572,0.0013123359580052,-1
"FIFA World Cup Stadium, Hanover",5,4572,0.0010936132983377,-1
Stadio San Nicola,5,4572,0.0010936132983377,-1
Stadio delle Alpi,5,4572,0.0010936132983377,-1
Camp Nou,5,4572,0.0010936132983377,-1
Franken-Stadion,5,4572,0.0010936132983377,-1
Hardturm,5,4572,0.0010936132983377,-1
Wankdorf Stadium,5,4572,0.0010936132983377,-1
"FIFA World Cup Stadium, Frankfurt",5,4572,0.0010936132983377,-1
Waldstadion,5,4572,0.0010936132983377,-1
Zentralstadion,5,4572,0.0010936132983377,-1
Luigi Ferraris,5,4572,0.0010936132983377,-1
Soldier Field,5,4572,0.0010936132983377,-1
"FIFA World Cup Stadium, Gelsenkirchen",5,4572,0.0010936132983377,-1
"FIFA World Cup Stadium, Cologne",5,4572,0.0010936132983377,-1
Fritz-Walter-Stadion,5,4572,0.0010936132983377,-1
Goodison Park,5,4572,0.0010936132983377,-1
RFK Stadium,5,4572,0.0010936132983377,-1
Citrus Bowl,5,4572,0.0010936132983377,-1
San Paolo,5,4572,0.0010936132983377,-1
Rheinstadion,5,4572,0.0010936132983377,-1
"FIFA World Cup Stadium, Hamburg",5,4572,0.0010936132983377,-1
La Pontaise,5,4572,0.0010936132983377,-1
Parkstadion,5,4572,0.0010936132983377,-1
Comunale,4,4572,0.0008748906386701,-1
Saitama Stadium 2002,4,4572,0.0008748906386701,-1
Arena Amazonia,4,4572,0.0008748906386701,-1
Westfalenstadion,4,4572,0.0008748906386701,-1
Estadio Corregidora,4,4572,0.0008748906386701,-1
International Stadium Yokohama,4,4572,0.0008748906386701,-1
Roker Park Ground,4,4572,0.0008748906386701,-1
Luis Dosal,4,4572,0.0008748906386701,-1
Estadio das Dunas,4,4572,0.0008748906386701,-1
Marc Antonio Bentegodi,4,4572,0.0008748906386701,-1
Neckarstadion,4,4572,0.0008748906386701,-1
Mbombela Stadium,4,4572,0.0008748906386701,-1
