Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
20/01/2012,45,8190,0.0054945054945054,-1
18/01/2013,45,8190,0.0054945054945054,-1
25/01/2013,45,8190,0.0054945054945054,-1
12/04/2013,45,8190,0.0054945054945054,-1
12/10/2012,45,8190,0.0054945054945054,-1
14/10/2011,45,8190,0.0054945054945054,-1
11/11/2011,45,8190,0.0054945054945054,-1
31/12/2010,45,8190,0.0054945054945054,-1
24/06/2011,45,8190,0.0054945054945054,-1
09/04/2010,45,8190,0.0054945054945054,-1
04/02/2011,45,8190,0.0054945054945054,-1
17/08/2012,45,8190,0.0054945054945054,-1
02/04/2010,45,8190,0.0054945054945054,-1
10/12/2010,45,8190,0.0054945054945054,-1
19/11/2010,45,8190,0.0054945054945054,-1
01/02/2013,45,8190,0.0054945054945054,-1
23/03/2012,45,8190,0.0054945054945054,-1
27/07/2012,45,8190,0.0054945054945054,-1
06/01/2012,45,8190,0.0054945054945054,-1
10/08/2012,45,8190,0.0054945054945054,-1
25/03/2011,45,8190,0.0054945054945054,-1
28/12/2012,45,8190,0.0054945054945054,-1
03/08/2012,45,8190,0.0054945054945054,-1
04/05/2012,45,8190,0.0054945054945054,-1
03/05/2013,45,8190,0.0054945054945054,-1
29/03/2013,45,8190,0.0054945054945054,-1
22/03/2013,45,8190,0.0054945054945054,-1
15/04/2011,45,8190,0.0054945054945054,-1
21/10/2011,45,8190,0.0054945054945054,-1
11/06/2010,45,8190,0.0054945054945054,-1
24/12/2010,45,8190,0.0054945054945054,-1
24/02/2012,45,8190,0.0054945054945054,-1
02/11/2012,45,8190,0.0054945054945054,-1
07/10/2011,45,8190,0.0054945054945054,-1
10/06/2011,45,8190,0.0054945054945054,-1
28/05/2010,45,8190,0.0054945054945054,-1
06/08/2010,45,8190,0.0054945054945054,-1
16/04/2010,45,8190,0.0054945054945054,-1
21/12/2012,45,8190,0.0054945054945054,-1
25/06/2010,45,8190,0.0054945054945054,-1
14/12/2012,45,8190,0.0054945054945054,-1
02/07/2010,45,8190,0.0054945054945054,-1
16/11/2012,45,8190,0.0054945054945054,-1
30/11/2012,45,8190,0.0054945054945054,-1
26/03/2010,45,8190,0.0054945054945054,-1
08/07/2011,45,8190,0.0054945054945054,-1
05/02/2010,45,8190,0.0054945054945054,-1
03/02/2012,45,8190,0.0054945054945054,-1
09/07/2010,45,8190,0.0054945054945054,-1
05/10/2012,45,8190,0.0054945054945054,-1
07/06/2013,45,8190,0.0054945054945054,-1
08/10/2010,45,8190,0.0054945054945054,-1
08/02/2013,45,8190,0.0054945054945054,-1
09/09/2011,45,8190,0.0054945054945054,-1
19/02/2010,45,8190,0.0054945054945054,-1
26/10/2012,45,8190,0.0054945054945054,-1
19/03/2010,45,8190,0.0054945054945054,-1
07/09/2012,45,8190,0.0054945054945054,-1
01/06/2012,45,8190,0.0054945054945054,-1
17/09/2010,45,8190,0.0054945054945054,-1
27/04/2012,45,8190,0.0054945054945054,-1
24/09/2010,45,8190,0.0054945054945054,-1
21/01/2011,45,8190,0.0054945054945054,-1
23/12/2011,45,8190,0.0054945054945054,-1
03/09/2010,45,8190,0.0054945054945054,-1
04/03/2011,45,8190,0.0054945054945054,-1
29/04/2011,45,8190,0.0054945054945054,-1
13/07/2012,45,8190,0.0054945054945054,-1
03/06/2011,45,8190,0.0054945054945054,-1
20/05/2011,45,8190,0.0054945054945054,-1
27/01/2012,45,8190,0.0054945054945054,-1
17/05/2013,45,8190,0.0054945054945054,-1
19/04/2013,45,8190,0.0054945054945054,-1
06/07/2012,45,8190,0.0054945054945054,-1
01/04/2011,45,8190,0.0054945054945054,-1
22/06/2012,45,8190,0.0054945054945054,-1
29/10/2010,45,8190,0.0054945054945054,-1
02/03/2012,45,8190,0.0054945054945054,-1
11/05/2012,45,8190,0.0054945054945054,-1
20/08/2010,45,8190,0.0054945054945054,-1
23/09/2011,45,8190,0.0054945054945054,-1
14/06/2013,45,8190,0.0054945054945054,-1
18/05/2012,45,8190,0.0054945054945054,-1
01/10/2010,45,8190,0.0054945054945054,-1
10/09/2010,45,8190,0.0054945054945054,-1
13/01/2012,45,8190,0.0054945054945054,-1
22/10/2010,45,8190,0.0054945054945054,-1
30/03/2012,45,8190,0.0054945054945054,-1
05/08/2011,45,8190,0.0054945054945054,-1
18/06/2010,45,8190,0.0054945054945054,-1
29/06/2012,45,8190,0.0054945054945054,-1
23/11/2012,45,8190,0.0054945054945054,-1
12/03/2010,45,8190,0.0054945054945054,-1
21/06/2013,45,8190,0.0054945054945054,-1
05/07/2013,45,8190,0.0054945054945054,-1
25/02/2011,45,8190,0.0054945054945054,-1
03/12/2010,45,8190,0.0054945054945054,-1
18/11/2011,45,8190,0.0054945054945054,-1
17/12/2010,45,8190,0.0054945054945054,-1
18/03/2011,45,8190,0.0054945054945054,-1
16/12/2011,45,8190,0.0054945054945054,-1
07/01/2011,45,8190,0.0054945054945054,-1
26/11/2010,45,8190,0.0054945054945054,-1
24/05/2013,45,8190,0.0054945054945054,-1
12/11/2010,45,8190,0.0054945054945054,-1
30/09/2011,45,8190,0.0054945054945054,-1
28/09/2012,45,8190,0.0054945054945054,-1
07/05/2010,45,8190,0.0054945054945054,-1
01/03/2013,45,8190,0.0054945054945054,-1
22/07/2011,45,8190,0.0054945054945054,-1
06/04/2012,45,8190,0.0054945054945054,-1
14/09/2012,45,8190,0.0054945054945054,-1
12/07/2013,45,8190,0.0054945054945054,-1
25/11/2011,45,8190,0.0054945054945054,-1
22/02/2013,45,8190,0.0054945054945054,-1
04/11/2011,45,8190,0.0054945054945054,-1
04/06/2010,45,8190,0.0054945054945054,-1
17/06/2011,45,8190,0.0054945054945054,-1
12/02/2010,45,8190,0.0054945054945054,-1
02/09/2011,45,8190,0.0054945054945054,-1
15/03/2013,45,8190,0.0054945054945054,-1
13/05/2011,45,8190,0.0054945054945054,-1
31/08/2012,45,8190,0.0054945054945054,-1
23/07/2010,45,8190,0.0054945054945054,-1
08/06/2012,45,8190,0.0054945054945054,-1
14/01/2011,45,8190,0.0054945054945054,-1
09/12/2011,45,8190,0.0054945054945054,-1
26/02/2010,45,8190,0.0054945054945054,-1
06/05/2011,45,8190,0.0054945054945054,-1
05/11/2010,45,8190,0.0054945054945054,-1
02/12/2011,45,8190,0.0054945054945054,-1
15/06/2012,45,8190,0.0054945054945054,-1
28/01/2011,45,8190,0.0054945054945054,-1
05/03/2010,45,8190,0.0054945054945054,-1
10/02/2012,45,8190,0.0054945054945054,-1
31/05/2013,45,8190,0.0054945054945054,-1
16/09/2011,45,8190,0.0054945054945054,-1
09/03/2012,45,8190,0.0054945054945054,-1
16/07/2010,45,8190,0.0054945054945054,-1
25/05/2012,45,8190,0.0054945054945054,-1
01/07/2011,45,8190,0.0054945054945054,-1
19/10/2012,45,8190,0.0054945054945054,-1
18/02/2011,45,8190,0.0054945054945054,-1
26/07/2013,45,8190,0.0054945054945054,-1
27/08/2010,45,8190,0.0054945054945054,-1
30/12/2011,45,8190,0.0054945054945054,-1
20/04/2012,45,8190,0.0054945054945054,-1
27/05/2011,45,8190,0.0054945054945054,-1
12/08/2011,45,8190,0.0054945054945054,-1
11/03/2011,45,8190,0.0054945054945054,-1
08/04/2011,45,8190,0.0054945054945054,-1
26/08/2011,45,8190,0.0054945054945054,-1
08/03/2013,45,8190,0.0054945054945054,-1
24/08/2012,45,8190,0.0054945054945054,-1
14/05/2010,45,8190,0.0054945054945054,-1
15/10/2010,45,8190,0.0054945054945054,-1
29/07/2011,45,8190,0.0054945054945054,-1
