Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CrdPrev,150281,403984,0.3719974058378549,-1
AgeAdjPrev,128577,403984,0.3182725058418155,-1
Nmbr,32419,403984,0.0802482276525803,-1
CrdRate,31311,403984,0.0775055447740504,-1
AgeAdjRate,31311,403984,0.0775055447740504,-1
AgeAdjMean,10875,403984,0.0269193829458592,-1
Mean,10550,403984,0.0261148956394312,-1
Median,2822,403984,0.006985425165353,-1
Prct,1209,403984,0.002992692779912,-1
YesNo,918,403984,0.0022723672224642,-1
AvgAnnCrdRate,832,403984,0.0020594875044556,-1
AvgAnnNmbr,832,403984,0.0020594875044556,-1
AvgAnnAgeAdjRate,832,403984,0.0020594875044556,-1
AgeSexRaceAdjRate,520,403984,0.0012871796902847,-1
USD,321,403984,0.000794585924195,-1
LclCntrlAlc,109,403984,0.0002698126658481,-1
PerCapAlc,107,403984,0.0002648619747316,-1
CommHstLiab,106,403984,0.0002623866291734,-1
Prev,52,403984,0.0001287179690284,-1
