Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
white,8617,29421,0.2928860337853914,-1
black,708,29421,0.0240644437646578,-1
brown,359,29421,0.012202168519085,-1
blue,253,29421,0.0085992998198565,-1
orange,201,29421,0.0068318547975935,-1
gray,92,29421,0.0031270181163114,-1
cream,47,29421,0.0015974983855069,-1
blue cream,21,29421,0.0007137758743754,-1
tan,20,29421,0.0006797865470242,-1
seal,7,29421,0.0002379252914584,-1
silver,7,29421,0.0002379252914584,-1
chocolate,6,29421,0.0002039359641072,-1
lynx,5,29421,0.000169946636756,-1
buff,4,29421,0.0001359573094048,-1
red,3,29421,0.0001019679820536,-1
yellow,1,29421,3.398932735121172e-05,-1
flame,1,29421,3.398932735121172e-05,-1
apricot,1,29421,3.398932735121172e-05,-1
lilac,1,29421,3.398932735121172e-05,-1
