Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
INDIA,49755,374362,0.1329061176080905,-1
CHINA,7717,374362,0.0206137375054092,-1
SOUTH KOREA,6302,374362,0.0168339735336385,-1
PHILIPPINES,2020,374362,0.0053958468006902,-1
MEXICO,1965,374362,0.0052489301798793,-1
CANADA,1531,374362,0.0040896244811172,-1
TAIWAN,1032,374362,0.0027566900486694,-1
UNITED KINGDOM,1027,374362,0.0027433339922321,-1
PAKISTAN,903,374362,0.0024121037925857,-1
NEPAL,726,374362,0.0019392993947035,-1
FRANCE,692,374362,0.0018484782109295,-1
JAPAN,680,374362,0.0018164236754798,-1
IRAN,675,374362,0.0018030676190425,-1
BRAZIL,633,374362,0.0016908767449687,-1
VENEZUELA,609,374362,0.0016267676740694,-1
RUSSIA,606,374362,0.001618754040207,-1
TURKEY,584,374362,0.0015599873918827,-1
GERMANY,544,374362,0.0014531389403839,-1
ITALY,424,374362,0.0011325935858874,-1
COLOMBIA,420,374362,0.0011219087407375,-1
UKRAINE,376,374362,0.0010043754440888,-1
POLAND,353,374362,0.000942937584477,-1
ISRAEL,329,374362,0.0008788285135777,-1
NIGERIA,315,374362,0.0008414315555531,-1
VIETNAM,300,374362,0.0008013633862411,-1
ARGENTINA,298,374362,0.0007960209636661,-1
SPAIN,285,374362,0.000761295216929,-1
MALAYSIA,283,374362,0.0007559527943541,-1
BANGLADESH,253,374362,0.00067581645573,-1
HONG KONG,239,374362,0.0006384194977054,-1
ROMANIA,232,374362,0.0006197210186931,-1
EGYPT,219,374362,0.000584995271956,-1
INDONESIA,213,374362,0.0005689680042311,-1
ECUADOR,207,374362,0.0005529407365063,-1
SRI LANKA,206,374362,0.0005502695252189,-1
THAILAND,202,374362,0.000539584680069,-1
AUSTRALIA,201,374362,0.0005369134687815,-1
PERU,198,374362,0.0005288998349191,-1
SOUTH AFRICA,187,374362,0.0004995165107569,-1
IRELAND,174,374362,0.0004647907640198,-1
JAMAICA,164,374362,0.0004380786511451,-1
BULGARIA,162,374362,0.0004327362285702,-1
LEBANON,156,374362,0.0004167089608453,-1
UNITED ARAB EMIRATES,138,374362,0.0003686271576709,-1
GREECE,134,374362,0.000357942312521,-1
SAUDI ARABIA,130,374362,0.0003472574673711,-1
SINGAPORE,124,374362,0.0003312301996463,-1
BELARUS,124,374362,0.0003312301996463,-1
KENYA,120,374362,0.0003205453544964,-1
EL SALVADOR,109,374362,0.0002911620303342,-1
NETHERLANDS,109,374362,0.0002911620303342,-1
SWEDEN,104,374362,0.0002778059738969,-1
SYRIA,102,374362,0.0002724635513219,-1
CHILE,99,374362,0.0002644499174595,-1
DOMINICAN REPUBLIC,98,374362,0.0002617787061721,-1
TRINIDAD AND TOBAGO,97,374362,0.0002591074948846,-1
GUATEMALA,96,374362,0.0002564362835971,-1
JORDAN,92,374362,0.0002457514384472,-1
GHANA,88,374362,0.0002350665932973,-1
KUWAIT,87,374362,0.0002323953820099,-1
HUNGARY,84,374362,0.0002243817481475,-1
HONDURAS,83,374362,0.00022171053686,-1
PORTUGAL,72,374362,0.0001923272126978,-1
MOROCCO,72,374362,0.0001923272126978,-1
UNITED STATES OF AMERICA,62,374362,0.0001656150998231,-1
SERBIA,61,374362,0.0001629438885356,-1
BELGIUM,60,374362,0.0001602726772482,-1
ZIMBABWE,59,374362,0.0001576014659607,-1
KAZAKHSTAN,56,374362,0.0001495878320983,-1
SWITZERLAND,56,374362,0.0001495878320983,-1
UZBEKISTAN,52,374362,0.0001389029869484,-1
MONGOLIA,52,374362,0.0001389029869484,-1
NEW ZEALAND,49,374362,0.000130889353086,-1
AUSTRIA,48,374362,0.0001282181417985,-1
CZECH REPUBLIC,47,374362,0.0001255469305111,-1
COSTA RICA,46,374362,0.0001228757192236,-1
ARMENIA,45,374362,0.0001202045079361,-1
BOLIVIA,44,374362,0.0001175332966486,-1
ETHIOPIA,44,374362,0.0001175332966486,-1
MOLDOVA,40,374362,0.0001068484514988,-1
DENMARK,40,374362,0.0001068484514988,-1
FINLAND,38,374362,0.0001015060289238,-1
CAMEROON,34,374362,9.082118377399415e-05,-1
PANAMA,33,374362,8.814997248652375e-05,-1
ALBANIA,33,374362,8.814997248652375e-05,-1
LIBYA,31,374362,8.280754991158291e-05,-1
SLOVAKIA,31,374362,8.280754991158291e-05,-1
URUGUAY,30,374362,8.01363386241125e-05,-1
BOSNIA AND HERZEGOVINA,29,374362,7.746512733664208e-05,-1
CROATIA,29,374362,7.746512733664208e-05,-1
ZAMBIA,29,374362,7.746512733664208e-05,-1
LITHUANIA,27,374362,7.212270476170124e-05,-1
TANZANIA,26,374362,6.945149347423082e-05,-1
BAHRAIN,25,374362,6.67802821867604e-05,-1
GUYANA,24,374362,6.410907089929e-05,-1
BURMA (MYANMAR),23,374362,6.143785961181958e-05,-1
SOVIET UNION,22,374362,5.876664832434916e-05,-1
MACEDONIA,22,374362,5.876664832434916e-05,-1
LATVIA,21,374362,5.6095437036878737e-05,-1
ALGERIA,21,374362,5.6095437036878737e-05,-1
BAHAMAS,21,374362,5.6095437036878737e-05,-1
KYRGYZSTAN,20,374362,5.342422574940833e-05,-1
GAMBIA,20,374362,5.342422574940833e-05,-1
PALESTINE,19,374362,5.075301446193792e-05,-1
GRENADA,19,374362,5.075301446193792e-05,-1
HAITI,19,374362,5.075301446193792e-05,-1
TUNISIA,19,374362,5.075301446193792e-05,-1
NORWAY,18,374362,4.80818031744675e-05,-1
QATAR,18,374362,4.80818031744675e-05,-1
NICARAGUA,18,374362,4.80818031744675e-05,-1
AZERBAIJAN,18,374362,4.80818031744675e-05,-1
IRAQ,16,374362,4.273938059952666e-05,-1
CAMBODIA,16,374362,4.273938059952666e-05,-1
GEORGIA,16,374362,4.273938059952666e-05,-1
SENEGAL,16,374362,4.273938059952666e-05,-1
PARAGUAY,16,374362,4.273938059952666e-05,-1
ESTONIA,15,374362,4.006816931205625e-05,-1
MACAU,15,374362,4.006816931205625e-05,-1
ICELAND,14,374362,3.739695802458583e-05,-1
YUGOSLAVIA,14,374362,3.739695802458583e-05,-1
OMAN,14,374362,3.739695802458583e-05,-1
ST LUCIA,13,374362,3.472574673711541e-05,-1
MALAWI,13,374362,3.472574673711541e-05,-1
