Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
INDIA,81335,374362,0.2172629700664063,-1
CHINA,13757,374362,0.0367478536817305,-1
SOUTH KOREA,12152,374362,0.0324605595653405,-1
MEXICO,3381,374362,0.0090313653629374,-1
PHILIPPINES,2722,374362,0.0072710371244944,-1
CANADA,2385,374362,0.0063708389206169,-1
VIETNAM,1780,374362,0.0047547560916973,-1
PAKISTAN,1642,374362,0.0043861289340264,-1
UNITED KINGDOM,1640,374362,0.0043807865114514,-1
TAIWAN,1616,374362,0.0043166774405521,-1
IRAN,1535,374362,0.004100309326267,-1
BRAZIL,1346,374362,0.0035954503929351,-1
VENEZUELA,1285,374362,0.0034325065043994,-1
FRANCE,1245,374362,0.0033256580529006,-1
NEPAL,1204,374362,0.0032161383901143,-1
RUSSIA,1084,374362,0.0028955930356179,-1
JAPAN,1066,374362,0.0028475112324434,-1
TURKEY,939,374362,0.0025082673989347,-1
GERMANY,827,374362,0.002209091734738,-1
UKRAINE,728,374362,0.0019446418172784,-1
ITALY,699,374362,0.0018671766899418,-1
COLOMBIA,688,374362,0.0018377933657796,-1
POLAND,638,374362,0.0017042328014061,-1
ISRAEL,597,374362,0.0015947131386198,-1
BANGLADESH,533,374362,0.0014237556162217,-1
ARGENTINA,527,374362,0.0014077283484969,-1
SPAIN,526,374362,0.0014050571372094,-1
NIGERIA,433,374362,0.0011566344874746,-1
HONG KONG,414,374362,0.0011058814730127,-1
EGYPT,412,374362,0.0011005390504378,-1
AUSTRALIA,407,374362,0.0010871829940004,-1
ROMANIA,400,374362,0.0010684845149881,-1
THAILAND,394,374362,0.0010524572472633,-1
MALAYSIA,394,374362,0.0010524572472633,-1
SOUTH AFRICA,376,374362,0.0010043754440888,-1
IRELAND,341,374362,0.0009108830490274,-1
SRI LANKA,317,374362,0.0008467739781281,-1
INDONESIA,306,374362,0.0008173906539659,-1
PERU,297,374362,0.0007933497523787,-1
LEBANON,270,374362,0.000721227047617,-1
BULGARIA,256,374362,0.0006838300895924,-1
GREECE,242,374362,0.0006464331315678,-1
BELARUS,240,374362,0.0006410907089929,-1
ECUADOR,239,374362,0.0006384194977054,-1
JAMAICA,236,374362,0.000630405863843,-1
SINGAPORE,218,374362,0.0005823240606685,-1
SYRIA,211,374362,0.0005636255816562,-1
SAUDI ARABIA,198,374362,0.0005288998349191,-1
JORDAN,197,374362,0.0005262286236316,-1
EL SALVADOR,186,374362,0.0004968452994694,-1
SWEDEN,181,374362,0.0004834892430321,-1
UNITED ARAB EMIRATES,178,374362,0.0004754756091697,-1
