Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
SM,194,11106,0.0174680352962362,-1
MPCSM,194,11106,0.0174680352962362,-1
QREV,182,11106,0.016387538267603,-1
PQREV,182,11106,0.016387538267603,-1
MPCVS,174,11106,0.0156672069151809,-1
VS,174,11106,0.0156672069151809,-1
TI,172,11106,0.0154871240770754,-1
MPCTI,172,11106,0.0154871240770754,-1
TOTAL,125,11106,0.0112551773815955,-1
NO,104,11106,0.0093643075814874,-1
MPCNO,104,11106,0.0093643075814874,-1
UO,100,11106,0.0090041419052764,-1
MPCUO,100,11106,0.0090041419052764,-1
IM,70,11106,0.0063028993336934,-1
IR,70,11106,0.0063028993336934,-1
MPCIM,70,11106,0.0063028993336934,-1
T13,54,11106,0.0048622366288492,-1
T01,54,11106,0.0048622366288492,-1
T40,54,11106,0.0048622366288492,-1
T09,54,11106,0.0048622366288492,-1
T10,54,11106,0.0048622366288492,-1
T41,54,11106,0.0048622366288492,-1
T16,54,11106,0.0048622366288492,-1
T24,52,11106,0.0046821537907437,-1
D222,52,11106,0.0046821537907437,-1
T12,52,11106,0.0046821537907437,-1
115,52,11106,0.0046821537907437,-1
215,52,11106,0.0046821537907437,-1
T28,52,11106,0.0046821537907437,-1
D119,52,11106,0.0046821537907437,-1
306,52,11106,0.0046821537907437,-1
T22,52,11106,0.0046821537907437,-1
T29,52,11106,0.0046821537907437,-1
111,52,11106,0.0046821537907437,-1
T25,52,11106,0.0046821537907437,-1
TCASH2,52,11106,0.0046821537907437,-1
T14,52,11106,0.0046821537907437,-1
310,52,11106,0.0046821537907437,-1
T19,52,11106,0.0046821537907437,-1
T99,52,11106,0.0046821537907437,-1
T23,52,11106,0.0046821537907437,-1
219,52,11106,0.0046821537907437,-1
201,52,11106,0.0046821537907437,-1
105,52,11106,0.0046821537907437,-1
101,52,11106,0.0046821537907437,-1
T11,52,11106,0.0046821537907437,-1
T51,52,11106,0.0046821537907437,-1
NIRB,52,11106,0.0046821537907437,-1
216,52,11106,0.0046821537907437,-1
218,52,11106,0.0046821537907437,-1
320,52,11106,0.0046821537907437,-1
D309,52,11106,0.0046821537907437,-1
T50,52,11106,0.0046821537907437,-1
322,52,11106,0.0046821537907437,-1
T21,52,11106,0.0046821537907437,-1
120,52,11106,0.0046821537907437,-1
TCASH,52,11106,0.0046821537907437,-1
102,52,11106,0.0046821537907437,-1
316,52,11106,0.0046821537907437,-1
D213,52,11106,0.0046821537907437,-1
D110,52,11106,0.0046821537907437,-1
NWC,52,11106,0.0046821537907437,-1
217,52,11106,0.0046821537907437,-1
D210,52,11106,0.0046821537907437,-1
D315,52,11106,0.0046821537907437,-1
D114,52,11106,0.0046821537907437,-1
