Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
2005.0,32,263,0.1216730038022813,-1
2000.0,19,263,0.0722433460076045,-1
2013.0,19,263,0.0722433460076045,-1
2010.0,18,263,0.0684410646387832,-1
2012.0,15,263,0.0570342205323193,-1
2006.0,11,263,0.0418250950570342,-1
2008.0,10,263,0.0380228136882129,-1
2007.0,10,263,0.0380228136882129,-1
2009.0,9,263,0.0342205323193916,-1
2011.0,8,263,0.0304182509505703,-1
2002.0,7,263,0.026615969581749,-1
2003.0,5,263,0.0190114068441064,-1
2004.0,5,263,0.0190114068441064,-1
2001.0,4,263,0.0152091254752851,-1
2014.0,4,263,0.0152091254752851,-1
1994.0,1,263,0.0038022813688212,-1
2016.0,1,263,0.0038022813688212,-1
1975.0,1,263,0.0038022813688212,-1
1993.0,1,263,0.0038022813688212,-1
1999.0,1,263,0.0038022813688212,-1
