Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
D.1+D.4,27014,215337,0.1254498762404974,-1
D.5-D.7,17770,215337,0.082521814644023,-1
D.9,16363,215337,0.0759878701755852,-1
D.4,15816,215337,0.0734476657518215,-1
D.1,13422,215337,0.0623302079995541,-1
B.1*g,12487,215337,0.0579881766719142,-1
B.5*g,11754,215337,0.0545842098663954,-1
P.5,11559,215337,0.0536786525306844,-1
P.3/P.4,11351,215337,0.052712724705926,-1
B.6g,10503,215337,0.0487747112665264,-1
B.8g,10253,215337,0.0476137403233071,-1
D5+D61+D62,9953,215337,0.0462205751914441,-1
K.1,9064,215337,0.0420921625173565,-1
B.5*n,8913,215337,0.041390936067652,-1
B.6n,8390,215337,0.0389621848544374,-1
B.8n,8193,215337,0.0380473397511807,-1
B.9,7552,215337,0.0350706102527665,-1
K.2,2746,215337,0.01275210484032,-1
D.2-D.3,590,215337,0.0027398914259973,-1
D.2 - D.3,446,215337,0.0020711721627031,-1
