Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CATEGORY 2 ,2676,158026,0.0169339222659562,-1
CATEGORY 1,1894,158026,0.0119853694961588,-1
Dog (Standard),1192,158026,0.0075430625340133,-1
CATEGORY 2,1058,158026,0.0066951008061964,-1
Dog (New),927,158026,0.0058661232961664,-1
CATEGORY 2 PENSIONER ,779,158026,0.0049295685520104,-1
Cat (New),449,158026,0.0028413045954463,-1
Dog (Kept for Working Stock,428,158026,0.0027084150709376,-1
Cat (Standard),372,158026,0.0023540430055813,-1
Dog (Non Std),316,158026,0.001999670940225,-1
Cat (Non Std),237,158026,0.0014997532051687,-1
Dog - Aged over 10 Years,85,158026,0.0005378861706301,-1
Dog -  Breeder/VCA Registered,59,158026,0.0003733562831432,-1
Cat - Aged over 10 Years,22,158026,0.0001392175971042,-1
CATEGORY 1 ,4,158026,2.531229038259527e-05,-1
CATEGORY 1 PENSIONER ,3,158026,1.8984217786946453e-05,-1
Dog (Restricted Breed),3,158026,1.8984217786946453e-05,-1
Dog (Free Registration),2,158026,1.2656145191297636e-05,-1
Dog (Declared Dangerous),2,158026,1.2656145191297636e-05,-1
Dog (Declared Menacing),1,158026,6.328072595648817e-06,-1
