Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CVD1_4,6136,403984,0.0151887203453602,-1
AST4_1,6135,403984,0.0151862449998019,-1
CVD1_2,6135,403984,0.0151862449998019,-1
CVD1_1,6135,403984,0.0151862449998019,-1
DIA1_2,6135,403984,0.0151862449998019,-1
COPD1_1,6135,403984,0.0151862449998019,-1
CVD1_3,6135,403984,0.0151862449998019,-1
OVC5_0,6135,403984,0.0151862449998019,-1
DIA1_1,6135,403984,0.0151862449998019,-1
CKD1_0,6135,403984,0.0151862449998019,-1
ALC6_0,6135,403984,0.0151862449998019,-1
COPD1_2,6135,403984,0.0151862449998019,-1
CVD1_5,6135,403984,0.0151862449998019,-1
ART1_2,4412,403984,0.0109212246029545,-1
ART1_1,4404,403984,0.0109014218384886,-1
ART4_0,4404,403984,0.0109014218384886,-1
ART1_3,4404,403984,0.0109014218384886,-1
ART1_4,4404,403984,0.0109014218384886,-1
ART3_0,4404,403984,0.0109014218384886,-1
DIA13_1,4350,403984,0.0107677531783436,-1
COPD4_0,4350,403984,0.0107677531783436,-1
AST6_2,4350,403984,0.0107677531783436,-1
COPD8_0,4350,403984,0.0107677531783436,-1
CVD10_1,4350,403984,0.0107677531783436,-1
AST1_1,4350,403984,0.0107677531783436,-1
DIA7_0,4350,403984,0.0107677531783436,-1
OVC6_1,4350,403984,0.0107677531783436,-1
DIA11_3,4350,403984,0.0107677531783436,-1
DIA13_2,4350,403984,0.0107677531783436,-1
COPD2_0,4350,403984,0.0107677531783436,-1
COPD3_0_1,4350,403984,0.0107677531783436,-1
CVD10_2,4350,403984,0.0107677531783436,-1
COPD7_0,4350,403984,0.0107677531783436,-1
ALC3_0,4350,403984,0.0107677531783436,-1
NPAW1_1,4350,403984,0.0107677531783436,-1
OVC1_1,4350,403984,0.0107677531783436,-1
ALC5_1,4350,403984,0.0107677531783436,-1
TOB11_2,4350,403984,0.0107677531783436,-1
TOB1_2,4350,403984,0.0107677531783436,-1
OVC7_2,4350,403984,0.0107677531783436,-1
TOB11_1,4350,403984,0.0107677531783436,-1
COPD4_0_1,4350,403984,0.0107677531783436,-1
CKD3_0,4350,403984,0.0107677531783436,-1
DIA12_2,4350,403984,0.0107677531783436,-1
TOB2_2,4350,403984,0.0107677531783436,-1
COPD3_0,4350,403984,0.0107677531783436,-1
AST6_1,4350,403984,0.0107677531783436,-1
COPD2_0_1,4350,403984,0.0107677531783436,-1
AST5_2,4350,403984,0.0107677531783436,-1
NPAW3_1,4350,403984,0.0107677531783436,-1
ALC4_0,4350,403984,0.0107677531783436,-1
DIA10_0,4350,403984,0.0107677531783436,-1
DIA5_0,4350,403984,0.0107677531783436,-1
ALC2_2,4350,403984,0.0107677531783436,-1
DIA6_0,4350,403984,0.0107677531783436,-1
DIA2_1,4350,403984,0.0107677531783436,-1
OVC7_1,4350,403984,0.0107677531783436,-1
NPAW2_1,4350,403984,0.0107677531783436,-1
CVD9_1,4350,403984,0.0107677531783436,-1
DIA12_1,4350,403984,0.0107677531783436,-1
TOB3_0,4350,403984,0.0107677531783436,-1
NPAW10_0,4350,403984,0.0107677531783436,-1
AST5_1,4350,403984,0.0107677531783436,-1
CVD9_2,4350,403984,0.0107677531783436,-1
MTH1_0,3915,403984,0.0096909778605093,-1
IMM1_0,3838,403984,0.0095003762525248,-1
DIA11_2,2718,403984,0.0067279892272961,-1
DIA11_1,2718,403984,0.0067279892272961,-1
ART2_0,2610,403984,0.0064606519070062,-1
OVC8_0,2610,403984,0.0064606519070062,-1
CVD4_0,2610,403984,0.0064606519070062,-1
CVD7_0,2610,403984,0.0064606519070062,-1
CVD6_1,2610,403984,0.0064606519070062,-1
CVD5_0,2610,403984,0.0064606519070062,-1
ART5_0,2610,403984,0.0064606519070062,-1
CAN3_0,2609,403984,0.0064581765614479,-1
CAN2_1,2600,403984,0.0064358984514238,-1
CAN1_0,2600,403984,0.0064358984514238,-1
NPAW11_2,1740,403984,0.0043071012713374,-1
DIA8_0,1740,403984,0.0043071012713374,-1
OLD3_2,1740,403984,0.0043071012713374,-1
OLD3_1,1740,403984,0.0043071012713374,-1
NPAW11_1,1740,403984,0.0043071012713374,-1
NPAW11_3,1740,403984,0.0043071012713374,-1
ORH4_2,1724,403984,0.0042674957424056,-1
ORH1_1,1724,403984,0.0042674957424056,-1
ORH4_3,1724,403984,0.0042674957424056,-1
ORH4_1,1724,403984,0.0042674957424056,-1
ALC5_2,1625,403984,0.0040224365321398,-1
DIA2_2,1625,403984,0.0040224365321398,-1
MTH2_0,1625,403984,0.0040224365321398,-1
AST1_2,1625,403984,0.0040224365321398,-1
OVC1_2,1625,403984,0.0040224365321398,-1
OVC6_2,1625,403984,0.0040224365321398,-1
RPH1_0,1625,403984,0.0040224365321398,-1
ALC2_3,1625,403984,0.0040224365321398,-1
TOB1_3,1625,403984,0.0040224365321398,-1
NPAW2_3,1625,403984,0.0040224365321398,-1
COPD5_2,1332,403984,0.0032971602835755,-1
CVD3_2,1332,403984,0.0032971602835755,-1
COPD5_1,1332,403984,0.0032971602835755,-1
CVD3_1,1332,403984,0.0032971602835755,-1
DIA4_0,1332,403984,0.0032971602835755,-1
AST3_1,1332,403984,0.0032971602835755,-1
DIA9_0,1332,403984,0.0032971602835755,-1
NPAW4_2,1305,403984,0.0032303259535031,-1
NPAW5_2,1305,403984,0.0032303259535031,-1
CAN2_2,1300,403984,0.0032179492257119,-1
AST2_1,1116,403984,0.0027624856429957,-1
CVD6_2,975,403984,0.0024134619192839,-1
COPD6_1,933,403984,0.0023094974058378,-1
COPD6_2,933,403984,0.0023094974058378,-1
CKD2_2,520,403984,0.0012871796902847,-1
CKD2_1,520,403984,0.0012871796902847,-1
OLD1_0,468,403984,0.0011584617212562,-1
CVD2_0,468,403984,0.0011584617212562,-1
COPD5_3,468,403984,0.0011584617212562,-1
COPD5_4,468,403984,0.0011584617212562,-1
OVC9_0,318,403984,0.0007871598875202,-1
ORH3_0,220,403984,0.0005445760228127,-1
TOB7_0,162,403984,0.0004010059804348,-1
TOB4_0,162,403984,0.0004010059804348,-1
TOB5_0,162,403984,0.0004010059804348,-1
CAN8_2,156,403984,0.0003861539070854,-1
CAN4_2,156,403984,0.0003861539070854,-1
ORH1_2,156,403984,0.0003861539070854,-1
CAN6_1,156,403984,0.0003861539070854,-1
CAN5_2,156,403984,0.0003861539070854,-1
CAN11_2,156,403984,0.0003861539070854,-1
CAN9_1,156,403984,0.0003861539070854,-1
CAN7_2,156,403984,0.0003861539070854,-1
CAN8_1,156,403984,0.0003861539070854,-1
CAN4_1,156,403984,0.0003861539070854,-1
CAN11_1,156,403984,0.0003861539070854,-1
CAN10_2,156,403984,0.0003861539070854,-1
CAN5_1,156,403984,0.0003861539070854,-1
CAN9_2,156,403984,0.0003861539070854,-1
CAN10_1,156,403984,0.0003861539070854,-1
ORH2_1,156,403984,0.0003861539070854,-1
CAN7_1,156,403984,0.0003861539070854,-1
CAN6_2,156,403984,0.0003861539070854,-1
NPAW13_4,110,403984,0.0002722880114063,-1
TOB8_0,110,403984,0.0002722880114063,-1
NPAW17_0,110,403984,0.0002722880114063,-1
NPAW16_0,110,403984,0.0002722880114063,-1
NPAW18_0,110,403984,0.0002722880114063,-1
TOB6_0,110,403984,0.0002722880114063,-1
NPAW6_0,110,403984,0.0002722880114063,-1
NPAW13_2,110,403984,0.0002722880114063,-1
TOB9_0,110,403984,0.0002722880114063,-1
TOB10_0,110,403984,0.0002722880114063,-1
