Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
INDIA,194611,374362,0.5198470998659052,-1
CHINA,27755,374362,0.0741394692837414,-1
SOUTH KOREA,23614,374362,0.0630779833423264,-1
CANADA,13776,374362,0.0367986066961924,-1
MEXICO,8284,374362,0.0221283143054049,-1
PHILIPPINES,7883,374362,0.0210571585791292,-1
UNITED KINGDOM,4650,374362,0.0124211324867374,-1
TAIWAN,3901,374362,0.010420395232422,-1
PAKISTAN,3680,374362,0.0098300575378911,-1
FRANCE,3000,374362,0.0080136338624112,-1
NEPAL,2887,374362,0.007711786986927,-1
BRAZIL,2744,374362,0.0073298037728188,-1
JAPAN,2735,374362,0.0073057628712315,-1
VENEZUELA,2569,374362,0.0068623417975115,-1
RUSSIA,2401,374362,0.0064135783012164,-1
TURKEY,2328,374362,0.0062185798772311,-1
IRAN,2283,374362,0.0060983753692949,-1
VIETNAM,2249,374362,0.0060075541855209,-1
GERMANY,2202,374362,0.0058820072550098,-1
ITALY,1847,374362,0.0049337272479578,-1
ISRAEL,1801,374362,0.0048108515287342,-1
COLOMBIA,1692,374362,0.0045196894983999,-1
AUSTRALIA,1612,374362,0.0043059925954023,-1
UKRAINE,1454,374362,0.0038839412119819,-1
SPAIN,1365,374362,0.0036462034073971,-1
POLAND,1317,374362,0.0035179852655985,-1
ARGENTINA,1112,374362,0.0029703869516671,-1
NIGERIA,1067,374362,0.0028501824437309,-1
BANGLADESH,1043,374362,0.0027860733728316,-1
MALAYSIA,995,374362,0.002657855231033,-1
EGYPT,948,374362,0.0025323083005219,-1
ROMANIA,893,374362,0.002385391679711,-1
THAILAND,872,374362,0.0023292962426742,-1
IRELAND,870,374362,0.0023239538200992,-1
INDONESIA,810,374362,0.002163681142851,-1
PERU,743,374362,0.0019847099865905,-1
ECUADOR,710,374362,0.0018965600141039,-1
SINGAPORE,706,374362,0.0018858751689541,-1
SOUTH AFRICA,695,374362,0.0018564918447919,-1
SRI LANKA,661,374362,0.0017656706610179,-1
UNITED STATES OF AMERICA,644,374362,0.0017202600691309,-1
JAMAICA,606,374362,0.001618754040207,-1
LEBANON,602,374362,0.0016080691950571,-1
JORDAN,593,374362,0.0015840282934699,-1
BULGARIA,590,374362,0.0015760146596075,-1
HONG KONG,577,374362,0.0015412889128704,-1
GREECE,574,374362,0.001533275279008,-1
BELARUS,496,374362,0.0013249207985853,-1
NETHERLANDS,490,374362,0.0013088935308605,-1
SYRIA,457,374362,0.0012207435583739,-1
SWEDEN,447,374362,0.0011940314454992,-1
CHILE,414,374362,0.0011058814730127,-1
EL SALVADOR,413,374362,0.0011032102617252,-1
KENYA,410,374362,0.0010951966278628,-1
NEW ZEALAND,374,374362,0.0009990330215139,-1
GHANA,360,374362,0.0009616360634893,-1
GUATEMALA,350,374362,0.0009349239506146,-1
DOMINICAN REPUBLIC,342,374362,0.0009135542603148,-1
HONDURAS,337,374362,0.0009001982038775,-1
TRINIDAD AND TOBAGO,337,374362,0.0009001982038775,-1
PORTUGAL,315,374362,0.0008414315555531,-1
HUNGARY,286,374362,0.0007639664282165,-1
COSTA RICA,255,374362,0.0006811588783049,-1
BELGIUM,246,374362,0.0006571179767177,-1
MONGOLIA,241,374362,0.0006437619202803,-1
SWITZERLAND,238,374362,0.0006357482864179,-1
AUSTRIA,212,374362,0.0005662967929437,-1
SERBIA,208,374362,0.0005556119477938,-1
DENMARK,196,374362,0.0005235574123442,-1
FINLAND,196,374362,0.0005235574123442,-1
CZECH REPUBLIC,192,374362,0.0005128725671943,-1
BOLIVIA,188,374362,0.0005021877220444,-1
MOROCCO,173,374362,0.0004621195527323,-1
ETHIOPIA,166,374362,0.00044342107372,-1
ZIMBABWE,166,374362,0.00044342107372,-1
ARMENIA,159,374362,0.0004247225947077,-1
SLOVAKIA,149,374362,0.000398010481833,-1
MOLDOVA,144,374362,0.0003846544253957,-1
ALBANIA,133,374362,0.0003552711012335,-1
KAZAKHSTAN,125,374362,0.0003339014109338,-1
UZBEKISTAN,122,374362,0.0003258877770713,-1
CAMEROON,121,374362,0.0003232165657839,-1
URUGUAY,120,374362,0.0003205453544964,-1
PANAMA,106,374362,0.0002831483964718,-1
CROATIA,105,374362,0.0002804771851843,-1
BAHAMAS,103,374362,0.0002751347626094,-1
LITHUANIA,93,374362,0.0002484226497347,-1
NORWAY,90,374362,0.0002404090158723,-1
TANZANIA,83,374362,0.00022171053686,-1
GRENADA,80,374362,0.0002136969029976,-1
PALESTINE,79,374362,0.0002110256917101,-1
BURMA (MYANMAR),78,374362,0.0002083544804226,-1
MACEDONIA,76,374362,0.0002030120578477,-1
LIBYA,75,374362,0.0002003408465602,-1
LATVIA,70,374362,0.0001869847901229,-1
GEORGIA,69,374362,0.0001843135788354,-1
NICARAGUA,68,374362,0.0001816423675479,-1
SENEGAL,68,374362,0.0001816423675479,-1
AZERBAIJAN,67,374362,0.0001789711562605,-1
SAUDI ARABIA,66,374362,0.000176299944973,-1
UGANDA,65,374362,0.0001736287336855,-1
SERBIA AND MONTENEGRO,62,374362,0.0001656150998231,-1
TUNISIA,61,374362,0.0001629438885356,-1
BARBADOS,59,374362,0.0001576014659607,-1
PARAGUAY,59,374362,0.0001576014659607,-1
HAITI,59,374362,0.0001576014659607,-1
CYPRUS,56,374362,0.0001495878320983,-1
ICELAND,56,374362,0.0001495878320983,-1
ST LUCIA,55,374362,0.0001469166208108,-1
GUYANA,55,374362,0.0001469166208108,-1
CAMBODIA,54,374362,0.0001442454095234,-1
BOSNIA AND HERZEGOVINA,49,374362,0.000130889353086,-1
ESTONIA,45,374362,0.0001202045079361,-1
ZAMBIA,42,374362,0.0001121908740737,-1
KYRGYZSTAN,42,374362,0.0001121908740737,-1
BELIZE,41,374362,0.0001095196627862,-1
SLOVENIA,40,374362,0.0001068484514988,-1
ALGERIA,40,374362,0.0001068484514988,-1
MAURITIUS,37,374362,9.88348176364054e-05,-1
TURKMENISTAN,33,374362,8.814997248652375e-05,-1
DOMINICA,32,374362,8.547876119905332e-05,-1
KOSOVO,32,374362,8.547876119905332e-05,-1
IRAQ,32,374362,8.547876119905332e-05,-1
MACAU,31,374362,8.280754991158291e-05,-1
GAMBIA,29,374362,7.746512733664208e-05,-1
TAJIKISTAN,29,374362,7.746512733664208e-05,-1
BENIN,28,374362,7.479391604917166e-05,-1
