Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
General,380693,779092,0.488636772037192,-1
Underserved,62575,779092,0.0803178571978662,-1
Agriculture,40108,779092,0.0514804413342711,-1
Rural Inclusion,21228,779092,0.0272471030378954,-1
Water,20131,779092,0.0258390536676028,-1
Higher Education,17728,779092,0.0227546939257494,-1
General (Women),16566,779092,0.021263214100517,-1
Vulnerable Populations,16354,779092,0.020991102462867,-1
Green,13913,779092,0.0178579679935103,-1
Water and Sanitation,12032,779092,0.0154436189820971,-1
Startup,9887,779092,0.0126904139690819,-1
Subsistence Agriculture and Solar Lanterns,8597,779092,0.011034640324891,-1
Youth,8444,779092,0.0108382578694172,-1
Subsistence Agriculture,8247,779092,0.0105853994136764,-1
Vulnerable Women,8184,779092,0.0105045360496578,-1
FUSAI,6014,779092,0.0077192424001273,-1
Extreme Poverty,5475,779092,0.0070274113968568,-1
Murabaha,5264,779092,0.0067565833046674,-1
Disaster Recovery,4973,779092,0.006383071575629,-1
Bridge/Income Smoothing,4096,779092,0.0052574022066713,-1
Women Without Poverty,3902,779092,0.0050083943873124,-1
Unbanked,3638,779092,0.0046695383857105,-1
Health,3457,779092,0.0044372166573395,-1
Women Entrepreneurs,3255,779092,0.0041779404742957,-1
Youth Entrepreneurship,3137,779092,0.0040264821099433,-1
Displaced Populations,2861,779092,0.0036722235628141,-1
Single mothers,2795,779092,0.0035875095624136,-1
Startup (Women),2652,779092,0.003403962561546,-1
Primary/Secondary Education,2629,779092,0.0033744410159519,-1
End Consumer Finance,2617,779092,0.0033590384704245,-1
Prayas: General,2603,779092,0.0033410688339759,-1
Community Impact Loan,2151,779092,0.0027609062857788,-1
Conflict Zone,2123,779092,0.0027249670128816,-1
Livestock and Fishing,2079,779092,0.0026684910126146,-1
Solar Home Systems,2077,779092,0.0026659239216934,-1
Mobile Transactions,2074,779092,0.0026620732853116,-1
Flexible loan conditions,1915,779092,0.0024579895570741,-1
Education,1828,779092,0.0023463211020007,-1
Microenterprise (Group),1813,779092,0.0023270679200915,-1
Small Enterprise,1723,779092,0.0022115488286364,-1
Senior Citizens,1678,779092,0.0021537892829088,-1
Artisan,1627,779092,0.0020883284644175,-1
Housing Improvement,1508,779092,0.0019355865546045,-1
Underserved (Women),1413,779092,0.0018136497358463,-1
First/Second Chance,1407,779092,0.0018059484630826,-1
Hydrologic,1370,779092,0.0017584572810399,-1
At-Risk Youth,1340,779092,0.0017199509172215,-1
School Finance,1317,779092,0.0016904293716274,-1
Safe Water System for Institution,1223,779092,0.0015697760983298,-1
SMGBK: General,1118,779092,0.0014350038249654,-1
Control Group - Research Study,1060,779092,0.0013605581882499,-1
Mahashakti: Underserved,959,779092,0.0012309200967279,-1
Higher Education (Women),934,779092,0.0011988314602126,-1
