Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
VN,7312,151623,0.0482248735350177,-1
IN,6761,151623,0.0445908602256913,-1
CN,6323,151623,0.0417021164335226,-1
AF,4231,151623,0.027904737407913,-1
BR,3464,151623,0.0228461381188869,-1
NI,3134,151623,0.020669687316568,-1
BD,3082,151623,0.0203267314325663,-1
US,2969,151623,0.0195814619154086,-1
FR,2956,151623,0.0194957229444081,-1
GB,2757,151623,0.0181832571575552,-1
BA,2416,151623,0.015934257995159,-1
HN,2353,151623,0.0155187537510799,-1
CO,2300,151623,0.0151692025616166,-1
ID,2185,151623,0.0144107424335358,-1
MX,2178,151623,0.0143645752953048,-1
ZR,2177,151623,0.0143579799898432,-1
GT,2104,151623,0.0138765226911484,-1
RU,2029,151623,0.0133818747815305,-1
HT,2013,151623,0.0132763498941453,-1
AR,1964,151623,0.0129531799265282,-1
NG,1961,151623,0.0129333940101435,-1
BO,1895,151623,0.0124981038496798,-1
TR,1892,151623,0.012478317933295,-1
DE,1784,151623,0.0117660249434452,-1
PK,1678,151623,0.0110669225645185,-1
KG,1674,151623,0.0110405413426722,-1
YF,1570,151623,0.0103546295746687,-1
CI,1546,151623,0.010196342243591,-1
NP,1497,151623,0.0098731722759739,-1
SN,1496,151623,0.0098665769705123,-1
TZ,1418,151623,0.0093521431445097,-1
CA,1408,151623,0.009286190089894,-1
KE,1400,151623,0.0092334276462014,-1
UG,1394,151623,0.009193855813432,-1
TJ,1390,151623,0.0091674745915857,-1
HR,1381,151623,0.0091081168424315,-1
AZ,1374,151623,0.0090619497042005,-1
MG,1323,151623,0.0087255891256603,-1
GH,1312,151623,0.008653040765583,-1
SV,1299,151623,0.0085673017945826,-1
PE,1239,151623,0.0081715834668882,-1
MD,1212,151623,0.0079935102194258,-1
BJ,1180,151623,0.0077824604446554,-1
RY,1156,151623,0.0076241731135777,-1
AM,1155,151623,0.0076175778081161,-1
KH,1140,151623,0.0075186482261925,-1
RO,1134,151623,0.0074790763934231,-1
GE,1113,151623,0.0073405749787301,-1
BG,1061,151623,0.0069976190947283,-1
