Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Vietnam,7312,151623,0.0482248735350177,-1
India,6761,151623,0.0445908602256913,-1
China,6323,151623,0.0417021164335226,-1
Afghanistan,4231,151623,0.027904737407913,-1
Brazil,3464,151623,0.0228461381188869,-1
Nicaragua,3134,151623,0.020669687316568,-1
Bangladesh,3082,151623,0.0203267314325663,-1
United States,2969,151623,0.0195814619154086,-1
France,2956,151623,0.0194957229444081,-1
United Kingdom,2757,151623,0.0181832571575552,-1
Bosnia and Herzegovina,2416,151623,0.015934257995159,-1
Honduras,2353,151623,0.0155187537510799,-1
Colombia,2300,151623,0.0151692025616166,-1
Indonesia,2185,151623,0.0144107424335358,-1
Mexico,2178,151623,0.0143645752953048,-1
"Congo, Democratic Republic of",2177,151623,0.0143579799898432,-1
Guatemala,2104,151623,0.0138765226911484,-1
Russian Federation,2029,151623,0.0133818747815305,-1
Haiti,2013,151623,0.0132763498941453,-1
Argentina,1964,151623,0.0129531799265282,-1
Nigeria,1961,151623,0.0129333940101435,-1
Bolivia,1895,151623,0.0124981038496798,-1
Turkey,1892,151623,0.012478317933295,-1
Germany,1784,151623,0.0117660249434452,-1
Pakistan,1678,151623,0.0110669225645185,-1
Kyrgyz Republic,1674,151623,0.0110405413426722,-1
Serbia,1570,151623,0.0103546295746687,-1
Cote d'Ivoire,1546,151623,0.010196342243591,-1
Nepal,1497,151623,0.0098731722759739,-1
Senegal,1496,151623,0.0098665769705123,-1
Tanzania,1418,151623,0.0093521431445097,-1
Canada,1408,151623,0.009286190089894,-1
Kenya,1400,151623,0.0092334276462014,-1
Uganda,1394,151623,0.009193855813432,-1
Tajikistan,1390,151623,0.0091674745915857,-1
Croatia,1381,151623,0.0091081168424315,-1
Azerbaijan,1374,151623,0.0090619497042005,-1
Madagascar,1323,151623,0.0087255891256603,-1
Ghana,1312,151623,0.008653040765583,-1
El Salvador,1299,151623,0.0085673017945826,-1
Peru,1239,151623,0.0081715834668882,-1
Moldova,1212,151623,0.0079935102194258,-1
Benin,1180,151623,0.0077824604446554,-1
"Yemen, Republic of",1156,151623,0.0076241731135777,-1
Armenia,1155,151623,0.0076175778081161,-1
Cambodia,1140,151623,0.0075186482261925,-1
Romania,1134,151623,0.0074790763934231,-1
Georgia,1113,151623,0.0073405749787301,-1
Bulgaria,1061,151623,0.0069976190947283,-1
Australia,1034,151623,0.0068195458472659,-1
Philippines,1021,151623,0.0067338068762654,-1
Netherlands,1007,151623,0.0066414725998034,-1
Mozambique,989,151623,0.0065227571014951,-1
Lebanon,945,151623,0.0062325636611859,-1
"Egypt, Arab Republic of",932,151623,0.0061468246901855,-1
World,928,151623,0.0061204434683392,-1
Albania,924,151623,0.0060940622464929,-1
Tunisia,903,151623,0.0059555608317999,-1
Italy,883,151623,0.0058236547225684,-1
"Macedonia, former Yugoslav Republic of",853,151623,0.0056257955587213,-1
Ukraine,826,151623,0.0054477223112588,-1
Liberia,820,151623,0.0054081504784894,-1
South Africa,806,151623,0.0053158162020273,-1
Spain,799,151623,0.0052696490637963,-1
Burundi,794,151623,0.0052366725364885,-1
Mali,790,151623,0.0052102913146422,-1
Mongolia,756,151623,0.0049860509289487,-1
Sudan,709,151623,0.0046760715722548,-1
West Bank and Gaza,701,151623,0.0046233091285622,-1
Lao People's Democratic Republic,700,151623,0.0046167138231007,-1
Malawi,692,151623,0.0045639513794081,-1
Zambia,677,151623,0.0044650217974845,-1
Sri Lanka,672,151623,0.0044320452701766,-1
Burkina Faso,665,151623,0.0043858781319456,-1
Cameroon,601,151623,0.003963778582405,-1
Dominican Republic,584,151623,0.0038516583895583,-1
Denmark,584,151623,0.0038516583895583,-1
Iraq,579,151623,0.0038186818622504,-1
Ecuador,576,151623,0.0037988959458657,-1
"Iran, Islamic Republic of",567,151623,0.0037395381967115,-1
Niger,558,151623,0.0036801804475574,-1
Switzerland,535,151623,0.0035284884219412,-1
Kazakhstan,534,151623,0.0035218931164796,-1
Belgium,533,151623,0.0035152978110181,-1
Sierra Leone,532,151623,0.0035087025055565,-1
Ethiopia,518,151623,0.0034163682290945,-1
Jordan,507,151623,0.0033438198690172,-1
Togo,467,151623,0.0030800076505543,-1
Lesotho,458,151623,0.0030206499014001,-1
Kosovo,453,151623,0.0029876733740923,-1
Morocco,452,151623,0.0029810780686307,-1
Paraguay,433,151623,0.0028557672648608,-1
Angola,425,151623,0.0028030048211682,-1
Uzbekistan,422,151623,0.0027832189047835,-1
Uruguay,420,151623,0.0027700282938604,-1
New Zealand,411,151623,0.0027106705447062,-1
Belarus,404,151623,0.0026645034064752,-1
