Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
St,138358,198900,0.6956158873805932,-1
Av,43219,198900,0.2172900955253896,-1
Bl,3555,198900,0.0178733031674208,-1
Wy,3540,198900,0.0177978883861236,-1
Dr,3267,198900,0.0164253393665158,-1
Tr,1466,198900,0.0073705379587732,-1
Ct,667,198900,0.0033534439416792,-1
Pl,538,198900,0.0027048768225238,-1
Rd,389,198900,0.001955756661639,-1
Ln,354,198900,0.0017797888386123,-1
Hy,240,198900,0.0012066365007541,-1
Pz,210,198900,0.0010558069381598,-1
Pk,128,198900,0.0006435394670688,-1
Cr,97,198900,0.0004876822523881,-1
Al,83,198900,0.0004172951231774,-1
Wk,9,198900,4.524886877828054e-05,-1
Rw,5,198900,2.513826043237808e-05,-1
No,2,198900,1.0055304172951234e-05,-1
Sw,2,198900,1.0055304172951234e-05,-1
So,2,198900,1.0055304172951234e-05,-1
Hl,1,198900,5.027652086475617e-06,-1
