Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
US,43129,63465,0.6795714173166312,-1
GB,6900,63465,0.1087213424722287,-1
CA,3275,63465,0.0516032458835578,-1
AU,1846,63465,0.0290868982903962,-1
DE,1633,63465,0.0257307177184274,-1
FR,1255,63465,0.0197746789569053,-1
IT,1127,63465,0.017757819270464,-1
ES,904,63465,0.014244071535492,-1
NL,686,63465,0.0108091073820215,-1
SE,454,63465,0.0071535492003466,-1
NZ,339,63465,0.0053415268258095,-1
DK,300,63465,0.0047270148900969,-1
CH,292,63465,0.0046009611596943,-1
BE,274,63465,0.0043173402662885,-1
IE,249,63465,0.0039234223587804,-1
AT,223,63465,0.003513747734972,-1
NO,189,63465,0.002978019380761,-1
MX,172,63465,0.0027101552036555,-1
SG,114,63465,0.0017962656582368,-1
HK,82,63465,0.0012920507366264,-1
LU,22,63465,0.0003466477586071,-1
