Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
MultIss,188,1518,0.1238471673254282,-1
ImpMod,166,1518,0.1093544137022398,-1
Iss,164,1518,0.1080368906455863,-1
Proc,161,1518,0.106060606060606,-1
Ceas,125,1518,0.0823451910408432,-1
Prin,107,1518,0.0704874835309617,-1
ExtSub,90,1518,0.0592885375494071,-1
Rel,84,1518,0.0553359683794466,-1
PreMix,78,1518,0.0513833992094861,-1
Conf,76,1518,0.0500658761528326,-1
FrAg,75,1518,0.0494071146245059,-1
CeaMix,58,1518,0.0382081686429512,-1
PreOth,40,1518,0.0263504611330698,-1
FrCons,19,1518,0.0125164690382081,-1
Repre,17,1518,0.0111989459815546,-1
ExtPar,15,1518,0.0098814229249011,-1
FrparOth,12,1518,0.0079051383399209,-1
ImpOth,10,1518,0.0065876152832674,-1
Reimp,8,1518,0.0052700922266139,-1
Resub,6,1518,0.0039525691699604,-1
Reoth,1,1518,0.0006587615283267,-1
