Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CANADA,427,1973,0.2164216928535225,-1
ST THOMAS,173,1973,0.087683730359858,-1
UNITED KINGDOM,114,1973,0.0577800304105423,-1
CHRISTIANSTED,96,1973,0.0486568677141409,-1
APO,95,1973,0.0481500253421186,-1
SAIPAN,60,1973,0.030410542321338,-1
PAGO PAGO,53,1973,0.0268626457171819,-1
ISRAEL,51,1973,0.0258489609731373,-1
AFGHANISTAN,48,1973,0.0243284338570704,-1
BRITISH VIRGIN ISLANDS,46,1973,0.0233147491130258,-1
KINGSHILL,37,1973,0.0187531677648251,-1
FREDERIKSTED,37,1973,0.0187531677648251,-1
FPO,33,1973,0.0167257982767359,-1
HAGATNA,27,1973,0.0136847440446021,-1
ST JOHN,26,1973,0.0131779016725798,-1
TAMUNING,23,1973,0.0116573745565129,-1
SWITZERLAND,21,1973,0.0106436898124683,-1
ITALY,20,1973,0.010136847440446,-1
FRANCE,19,1973,0.0096300050684237,-1
BARRIGADA,18,1973,0.0091231626964014,-1
ENGLAND,16,1973,0.0081094779523568,-1
AUSTRALIA,16,1973,0.0081094779523568,-1
JAPAN,15,1973,0.0076026355803345,-1
MEXICO,15,1973,0.0076026355803345,-1
GERMANY,15,1973,0.0076026355803345,-1
HONG KONG,14,1973,0.0070957932083122,-1
ST CROIX,13,1973,0.0065889508362899,-1
KENYA,12,1973,0.0060821084642676,-1
AKROTIRI,11,1973,0.0055752660922453,-1
BERMUDA,9,1973,0.0045615813482007,-1
GREECE,9,1973,0.0045615813482007,-1
SOUTH AFRICA,9,1973,0.0045615813482007,-1
ANGUILLA,9,1973,0.0045615813482007,-1
AUSTRIA,8,1973,0.0040547389761784,-1
PHILIPPINES,8,1973,0.0040547389761784,-1
INDIA,8,1973,0.0040547389761784,-1
BELGIUM,7,1973,0.0035478966041561,-1
IRELAND,7,1973,0.0035478966041561,-1
SWEDEN,7,1973,0.0035478966041561,-1
DEDEDO,7,1973,0.0035478966041561,-1
CHARLOTTE AMA,6,1973,0.0030410542321338,-1
CHINA,6,1973,0.0030410542321338,-1
BRAZIL,6,1973,0.0030410542321338,-1
NETHERLANDS,6,1973,0.0030410542321338,-1
