Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
q10Industry,21,452,0.0464601769911504,-1
q9CurrentRole,20,452,0.0442477876106194,-1
q8JobLevel,12,452,0.0265486725663716,-1
q1AgeBeginCoding,9,452,0.0199115044247787,-1
q2Age,9,452,0.0199115044247787,-1
q4Education,8,452,0.0176991150442477,-1
q27EmergingTechSkill,8,452,0.0176991150442477,-1
q18NumDevelopHireWithinNextYear,7,452,0.0154867256637168,-1
q14GoodReflecAbilities,5,452,0.0110619469026548,-1
q34IdealLengHackerRankTest,5,452,0.0110619469026548,-1
q31Level3,4,452,0.0088495575221238,-1
q7Level1,4,452,0.0088495575221238,-1
q15Level2,4,452,0.0088495575221238,-1
q25LangJulia,3,452,0.0066371681415929,-1
q25LangLua,3,452,0.0066371681415929,-1
q25LangHaskell,3,452,0.0066371681415929,-1
q25LangGo,3,452,0.0066371681415929,-1
q25LangErlang,3,452,0.0066371681415929,-1
q25LangClojure,3,452,0.0066371681415929,-1
q25LangOcaml,3,452,0.0066371681415929,-1
q25LangRuby,3,452,0.0066371681415929,-1
q25LangSwift,3,452,0.0066371681415929,-1
q25LangKotlin,3,452,0.0066371681415929,-1
q25LangPerl,3,452,0.0066371681415929,-1
q25LangTypescript,3,452,0.0066371681415929,-1
q25LangPython,3,452,0.0066371681415929,-1
q25Scala,3,452,0.0066371681415929,-1
q24VimorEmacs,3,452,0.0066371681415929,-1
q25LangCSharp,3,452,0.0066371681415929,-1
q5DegreeFocus,3,452,0.0066371681415929,-1
q25LangPHP,3,452,0.0066371681415929,-1
q36Level4,3,452,0.0066371681415929,-1
q25LangC,3,452,0.0066371681415929,-1
q25LangRust,3,452,0.0066371681415929,-1
q25LangJava,3,452,0.0066371681415929,-1
q32RecommendHackerRank,3,452,0.0066371681415929,-1
q25LangCPlusPlus,3,452,0.0066371681415929,-1
q25LangR,3,452,0.0066371681415929,-1
q3Gender,3,452,0.0066371681415929,-1
q25LangJavascript,3,452,0.0066371681415929,-1
q25LangPascal,3,452,0.0066371681415929,-1
