Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
 United Kingdom ,245246,515738,0.4755243941691324,-1
 United States of America ,35437,515738,0.0687112448568846,-1
 Australia ,21686,515738,0.0420484819811609,-1
 Ireland ,14827,515738,0.0287490935319871,-1
 United Arab Emirates ,10235,515738,0.0198453478316509,-1
 Saudi Arabia ,8951,515738,0.0173557116210168,-1
 Netherlands ,8772,515738,0.0170086361679767,-1
 Switzerland ,8678,515738,0.0168263730809054,-1
 Germany ,7941,515738,0.0153973529195056,-1
 Canada ,7894,515738,0.0153062213759699,-1
 France ,7296,515738,0.0141467179071544,-1
 Israel ,6610,515738,0.0128165851653358,-1
 Italy ,6114,515738,0.0118548565356828,-1
 Belgium ,6031,515738,0.0116939221077368,-1
 Turkey ,5444,515738,0.0105557472980466,-1
 Kuwait ,4920,515738,0.0095397275360745,-1
 Spain ,4737,515738,0.0091848962069888,-1
 Romania ,4552,515738,0.0088261869398803,-1
 Russia ,3900,515738,0.0075619791444493,-1
 South Africa ,3821,515738,0.0074088005925489,-1
 India ,3437,515738,0.0066642364921723,-1
 Greece ,3406,515738,0.006604128452819,-1
 China ,3400,515738,0.0065924946387506,-1
 Sweden ,3368,515738,0.0065304476303859,-1
 New Zealand ,3237,515738,0.0062764426898929,-1
 Singapore ,3091,515738,0.0059933532142289,-1
 Hong Kong ,3013,515738,0.0058421136313399,-1
 Poland ,2891,515738,0.0056055594119494,-1
 Qatar ,2757,515738,0.0053457375644222,-1
 Austria ,2412,515738,0.0046767932554901,-1
 Egypt ,2388,515738,0.0046302579992166,-1
 Norway ,2383,515738,0.0046205631541596,-1
 Czech Republic ,2311,515738,0.004480957385339,-1
 Lebanon ,2261,515738,0.0043840089347692,-1
 Hungary ,2185,515738,0.004236647289903,-1
 Malaysia ,1883,515738,0.003651078648461,-1
 Thailand ,1880,515738,0.0036452617414268,-1
 Brazil ,1865,515738,0.0036161772062558,-1
 Portugal ,1839,515738,0.0035657640119595,-1
 Finland ,1829,515738,0.0035463743218455,-1
 Denmark ,1724,515738,0.0033427825756488,-1
 Malta ,1685,515738,0.0032671627842043,-1
 Bahrain ,1592,515738,0.0030868386661444,-1
 Indonesia ,1548,515738,0.0030015240296429,-1
 Cyprus ,1381,515738,0.0026777162047396,-1
 Luxembourg ,1359,515738,0.0026350588864888,-1
 Croatia ,1340,515738,0.0025982184752723,-1
 Oman ,1334,515738,0.0025865846612039,-1
 Bulgaria ,1314,515738,0.0025478052809759,-1
 Japan ,1279,515738,0.002479941365577,-1
 Serbia ,1124,515738,0.0021794011688105,-1
 Ukraine ,1102,515738,0.0021367438505597,-1
 Iran ,1086,515738,0.0021057203463774,-1
 South Korea ,1078,515738,0.0020902085942862,-1
 Philippines ,1073,515738,0.0020805137492292,-1
 Nigeria ,977,515738,0.0018943727241351,-1
 Iceland ,933,515738,0.0018090580876336,-1
 Taiwan ,923,515738,0.0017896683975196,-1
 Pakistan ,916,515738,0.0017760956144398,-1
 Slovakia ,903,515738,0.0017508890172917,-1
 Jersey ,863,515738,0.0016733302568358,-1
 Slovenia ,796,515738,0.0015434193330722,-1
 Jordan ,757,515738,0.0014677995416277,-1
 Estonia ,757,515738,0.0014677995416277,-1
 Lithuania ,727,515738,0.0014096304712858,-1
 Latvia ,719,515738,0.0013941187191946,-1
 Mexico ,592,515738,0.0011478696547471,-1
 Guernsey ,543,515738,0.0010528601731887,-1
 ,523,515738,0.0010140807929607,-1
 Argentina ,517,515738,0.0010024469788923,-1
 Isle of Man ,405,515738,0.0007852824496158,-1
 Gibraltar ,380,515738,0.0007368082243309,-1
 Chile ,334,515738,0.0006476156498066,-1
 Georgia ,294,515738,0.0005700568893507,-1
 Iraq ,290,515738,0.0005623010133052,-1
 Albania ,286,515738,0.0005545451372596,-1
 Sri Lanka ,284,515738,0.0005506671992368,-1
 Macedonia ,282,515738,0.000546789261214,-1
 Kazakhstan ,281,515738,0.0005448502922026,-1
 Azerbaijan ,277,515738,0.000537094416157,-1
 Colombia ,277,515738,0.000537094416157,-1
 Kenya ,269,515738,0.0005215826640658,-1
 Monaco ,250,515738,0.0004847422528493,-1
 Bosnia and Herzegovina ,246,515738,0.0004769863768037,-1
 Morocco ,229,515738,0.0004440239036099,-1
 Mauritius ,216,515738,0.0004188173064618,-1
 Belarus ,192,515738,0.0003722820501882,-1
 Montenegro ,192,515738,0.0003722820501882,-1
 Vietnam ,187,515738,0.0003625872051312,-1
 Puerto Rico ,180,515738,0.0003490144220515,-1
 Trinidad and Tobago ,154,515738,0.0002986012277551,-1
 Abkhazia Georgia ,153,515738,0.0002966622587437,-1
 Bangladesh ,151,515738,0.0002927843207209,-1
 Ghana ,145,515738,0.0002811505066526,-1
 Armenia ,134,515738,0.0002598218475272,-1
 Panama ,122,515738,0.0002365542193904,-1
 Costa Rica ,120,515738,0.0002326762813676,-1
 Peru ,118,515738,0.0002287983433448,-1
 Macau ,109,515738,0.0002113476222423,-1
 Moldova ,108,515738,0.0002094086532309,-1
 Bermuda ,103,515738,0.0001997138081739,-1
 Brunei ,100,515738,0.0001938969011397,-1
 Algeria ,100,515738,0.0001938969011397,-1
 Uruguay ,91,515738,0.0001764461800371,-1
 Venezuela ,78,515738,0.0001512395828889,-1
 Tunisia ,76,515738,0.0001473616448661,-1
 United States Minor Outlying Islands ,74,515738,0.0001434837068433,-1
 Libya ,72,515738,0.0001396057688206,-1
 Kosovo ,72,515738,0.0001396057688206,-1
 Namibia ,67,515738,0.0001299109237636,-1
 Andorra ,64,515738,0.0001240940167294,-1
 Angola ,62,515738,0.0001202160787066,-1
 Barbados ,61,515738,0.0001182771096952,-1
 Ecuador ,61,515738,0.0001182771096952,-1
 Tanzania ,58,515738,0.000112460202661,-1
 Palestinian Territory ,54,515738,0.0001047043266154,-1
 Guatemala ,53,515738,0.000102765357604,-1
 Dominican Republic ,52,515738,0.0001008263885926,-1
 Sudan ,51,515738,9.888741958126026e-05,-1
 Zimbabwe ,51,515738,9.888741958126026e-05,-1
 Maldives ,49,515738,9.500948155846574e-05,-1
 Uganda ,47,515738,9.113154353567122e-05,-1
 Botswana ,42,515738,8.143669847868491e-05,-1
 Cayman Islands ,42,515738,8.143669847868491e-05,-1
 Jamaica ,41,515738,7.949772946728766e-05,-1
 Cura ao ,41,515738,7.949772946728766e-05,-1
 Mongolia ,39,515738,7.561979144449314e-05,-1
 Zambia ,37,515738,7.174185342169862e-05,-1
 Mozambique ,35,515738,6.78639153989041e-05,-1
 Cambodia ,34,515738,6.592494638750684e-05,-1
 Syria ,33,515738,6.398597737610959e-05,-1
 Bahamas ,32,515738,6.204700836471232e-05,-1
 Ethiopia ,32,515738,6.204700836471232e-05,-1
 Aruba ,31,515738,6.010803935331506e-05,-1
 Paraguay ,28,515738,5.429113231912328e-05,-1
 Senegal ,24,515738,4.653525627353424e-05,-1
 El Salvador ,24,515738,4.653525627353424e-05,-1
 Honduras ,22,515738,4.265731825073971e-05,-1
 Kyrgyzstan ,21,515738,4.071834923934245e-05,-1
 Seychelles ,21,515738,4.071834923934245e-05,-1
 Liechtenstein ,20,515738,3.87793802279452e-05,-1
 Uzbekistan ,20,515738,3.87793802279452e-05,-1
 Ivory Coast ,19,515738,3.6840411216547934e-05,-1
 Myanmar ,18,515738,3.4901442205150674e-05,-1
 Bolivia ,18,515738,3.4901442205150674e-05,-1
 U S Virgin Islands ,17,515738,3.2962473193753414e-05,-1
 Tajikistan ,16,515738,3.102350418235616e-05,-1
 Faroe Islands ,16,515738,3.102350418235616e-05,-1
 British Virgin Islands ,16,515738,3.102350418235616e-05,-1
 Yemen ,16,515738,3.102350418235616e-05,-1
 Nicaragua ,15,515738,2.908453517095889e-05,-1
 Nepal ,15,515738,2.908453517095889e-05,-1
 Guam ,14,515738,2.714556615956164e-05,-1
 Papua New Guinea ,14,515738,2.714556615956164e-05,-1
 Turks Caicos Islands ,14,515738,2.714556615956164e-05,-1
 Antigua Barbuda ,14,515738,2.714556615956164e-05,-1
 Rwanda ,13,515738,2.520659714816437e-05,-1
 Fiji ,12,515738,2.326762813676712e-05,-1
 St Maarten ,11,515738,2.132865912536985e-05,-1
 Suriname ,11,515738,2.132865912536985e-05,-1
 Dominica ,11,515738,2.132865912536985e-05,-1
 New Caledonia ,10,515738,1.93896901139726e-05,-1
 Malawi ,10,515738,1.93896901139726e-05,-1
 Cameroon ,9,515738,1.7450721102575337e-05,-1
 Democratic Republic of the Congo ,9,515738,1.7450721102575337e-05,-1
 Saint Kitts and Nevis ,9,515738,1.7450721102575337e-05,-1
 Laos ,9,515738,1.7450721102575337e-05,-1
 Vanuatu ,8,515738,1.551175209117808e-05,-1
 Madagascar ,8,515738,1.551175209117808e-05,-1
 Swaziland ,8,515738,1.551175209117808e-05,-1
 Belize ,8,515738,1.551175209117808e-05,-1
 Saint Lucia ,8,515738,1.551175209117808e-05,-1
 Mauritania ,8,515738,1.551175209117808e-05,-1
 Afghanistan ,8,515738,1.551175209117808e-05,-1
 Togo ,7,515738,1.357278307978082e-05,-1
 Gabon ,7,515738,1.357278307978082e-05,-1
 Haiti ,6,515738,1.163381406838356e-05,-1
 Reunion ,6,515738,1.163381406838356e-05,-1
 Falkland Islands Malvinas ,6,515738,1.163381406838356e-05,-1
 Crimea ,6,515738,1.163381406838356e-05,-1
 Benin ,6,515738,1.163381406838356e-05,-1
 Bhutan ,6,515738,1.163381406838356e-05,-1
 Sierra Leone ,6,515738,1.163381406838356e-05,-1
 Guyana ,5,515738,9.6948450569863e-06,-1
 Mali ,5,515738,9.6948450569863e-06,-1
 Gambia ,5,515738,9.6948450569863e-06,-1
 Turkmenistan ,5,515738,9.6948450569863e-06,-1
 Guadeloupe ,5,515738,9.6948450569863e-06,-1
 Martinique ,5,515738,9.6948450569863e-06,-1
 French Guiana ,4,515738,7.75587604558904e-06,-1
 Samoa ,4,515738,7.75587604558904e-06,-1
 Saint Martin ,4,515738,7.75587604558904e-06,-1
 East Timor ,4,515738,7.75587604558904e-06,-1
 French Polynesia ,3,515738,5.8169070341917785e-06,-1
 Lesotho ,3,515738,5.8169070341917785e-06,-1
 Saint Barts ,3,515738,5.8169070341917785e-06,-1
 Bonaire St Eustatius and Saba ,3,515738,5.8169070341917785e-06,-1
 Grenada ,3,515738,5.8169070341917785e-06,-1
 Central Africa Republic ,3,515738,5.8169070341917785e-06,-1
 Congo ,3,515738,5.8169070341917785e-06,-1
 Antarctica ,3,515738,5.8169070341917785e-06,-1
