Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Round of 16,72,4572,0.0157480314960629,-1
Quarter-finals,66,4572,0.0144356955380577,-1
Group 1,62,4572,0.0135608048993875,-1
Group A,60,4572,0.0131233595800524,-1
Group B,60,4572,0.0131233595800524,-1
Group 2,59,4572,0.0129046369203849,-1
Group 3,56,4572,0.0122484689413823,-1
Group 4,55,4572,0.0120297462817147,-1
Group D,48,4572,0.0104986876640419,-1
Group F,48,4572,0.0104986876640419,-1
Group E,48,4572,0.0104986876640419,-1
Group C,48,4572,0.0104986876640419,-1
Semi-finals,36,4572,0.0078740157480314,-1
Group G,30,4572,0.0065616797900262,-1
Group H,30,4572,0.0065616797900262,-1
Final,20,4572,0.0043744531933508,-1
Match for third place,15,4572,0.0032808398950131,-1
Group 6,12,4572,0.0026246719160104,-1
First round,9,4572,0.0019685039370078,-1
Preliminary round,8,4572,0.0017497812773403,-1
Group 5,6,4572,0.0013123359580052,-1
Third place,2,4572,0.000437445319335,-1
Play-off for third place,2,4572,0.000437445319335,-1
