Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
PlanName,11,280,0.0392857142857142,-1
ppd_id,11,280,0.0392857142857142,-1
EEGroupID,10,280,0.0357142857142857,-1
TierID,10,280,0.0357142857142857,-1
fy,10,280,0.0357142857142857,-1
other,1,280,0.0035714285714285,-1
ServiceRetTenure_avg,1,280,0.0035714285714285,-1
FixedIncome_domestic,1,280,0.0035714285714285,-1
source_ActCosts,1,280,0.0035714285714285,-1
source_PlanBasics,1,280,0.0035714285714285,-1
income_dividends,1,280,0.0035714285714285,-1
SocSecCovered_verbatim,1,280,0.0035714285714285,-1
FundingMeth_note,1,280,0.0035714285714285,-1
ServiceRetireeAge_avg,1,280,0.0035714285714285,-1
InvestmentReturn_5yr,1,280,0.0035714285714285,-1
Benefits_DisabilityRetirees,1,280,0.0035714285714285,-1
InactiveVestedMembers,1,280,0.0035714285714285,-1
BeneficiaryBenefit_avg_est,1,280,0.0035714285714285,-1
FundMethCode_1,1,280,0.0035714285714285,-1
FundingMeth,1,280,0.0035714285714285,-1
Beneficiaries_survivors,1,280,0.0035714285714285,-1
PVFNC_tot,1,280,0.0035714285714285,-1
InvestmentReturn_7yr,1,280,0.0035714285714285,-1
notes_IncomeStatement,1,280,0.0035714285714285,-1
ReqContRate_tot,1,280,0.0035714285714285,-1
notes_PlanBasics,1,280,0.0035714285714285,-1
income_net,1,280,0.0035714285714285,-1
ReqContRate_ER_est,1,280,0.0035714285714285,-1
income_international,1,280,0.0035714285714285,-1
contrib_ER_other,1,280,0.0035714285714285,-1
AssetSmoothingBaseline,1,280,0.0035714285714285,-1
NormCostRate_EE_est,1,280,0.0035714285714285,-1
income_InterestAndDividends,1,280,0.0035714285714285,-1
ActCostMethCode,1,280,0.0035714285714285,-1
PVFB_InactiveNonVested,1,280,0.0035714285714285,-1
FairValueChange_RealEstate,1,280,0.0035714285714285,-1
Beneficiaries_tot,1,280,0.0035714285714285,-1
PhaseIn,1,280,0.0035714285714285,-1
contrib_EE_regular,1,280,0.0035714285714285,-1
FixedIncome_tot,1,280,0.0035714285714285,-1
expense_refunds,1,280,0.0035714285714285,-1
ActAssets_GASB,1,280,0.0035714285714285,-1
GainLossPeriod,1,280,0.0035714285714285,-1
OtherMembers,1,280,0.0035714285714285,-1
actives_tot,1,280,0.0035714285714285,-1
contrib_tot,1,280,0.0035714285714285,-1
InvestmentReturn_30yr,1,280,0.0035714285714285,-1
UAALYearEstablished,1,280,0.0035714285714285,-1
InvestmentReturn_LongTerm,1,280,0.0035714285714285,-1
income_RealEstate,1,280,0.0035714285714285,-1
alternatives,1,280,0.0035714285714285,-1
income_OtherInvestments,1,280,0.0035714285714285,-1
ActCostMeth_note,1,280,0.0035714285714285,-1
notes_FundingAndMethods,1,280,0.0035714285714285,-1
AssetValMeth,1,280,0.0035714285714285,-1
ActFundedRatio_est,1,280,0.0035714285714285,-1
equities_domestic,1,280,0.0035714285714285,-1
CashAndShortTerm,1,280,0.0035714285714285,-1
source_IncomeStatement,1,280,0.0035714285714285,-1
PlanType,1,280,0.0035714285714285,-1
