Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Apache,386,1781,0.2167321729365525,-1
nginx,211,1781,0.1184727681078046,-1
None,175,1781,0.0982594048287479,-1
Microsoft-HTTPAPI/2.0,113,1781,0.0634475014037057,-1
cloudflare-nginx,94,1781,0.0527793374508702,-1
Microsoft-IIS/7.5,51,1781,0.0286355979786636,-1
GSE,49,1781,0.0275126333520494,-1
Server,49,1781,0.0275126333520494,-1
YouTubeFrontEnd,42,1781,0.0235822571588994,-1
nginx/1.12.0,36,1781,0.0202133632790567,-1
ATS,30,1781,0.0168444693992139,-1
Apache/2.2.15 (CentOS),25,1781,0.0140370578326782,-1
Apache-Coyote/1.1,20,1781,0.0112296462661426,-1
Apache/2,15,1781,0.0084222346996069,-1
Microsoft-IIS/8.5,15,1781,0.0084222346996069,-1
Microsoft-IIS/6.0,14,1781,0.0078607523862998,-1
Apache/2.2.14 (FreeBSD) mod_ssl/2.2.14 OpenSSL/0.9.8y DAV/2 PHP/5.2.12 with Suhosin-Patch,13,1781,0.0072992700729927,-1
Apache/2.4.7 (Ubuntu),13,1781,0.0072992700729927,-1
Apache/2.2.15 (Red Hat),12,1781,0.0067377877596855,-1
Apache/2.2.22 (Debian),12,1781,0.0067377877596855,-1
nginx/1.8.1,9,1781,0.0050533408197641,-1
nginx/1.4.6 (Ubuntu),9,1781,0.0050533408197641,-1
nginx/1.8.0,8,1781,0.004491858506457,-1
nginx/1.10.1,8,1781,0.004491858506457,-1
Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,7,1781,0.0039303761931499,-1
Varnish,7,1781,0.0039303761931499,-1
Apache/2.2.31 (Amazon),6,1781,0.0033688938798427,-1
nginx/1.6.2,6,1781,0.0033688938798427,-1
Apache/2.4.25,6,1781,0.0033688938798427,-1
LiteSpeed,6,1781,0.0033688938798427,-1
nginx/1.2.1,5,1781,0.0028074115665356,-1
Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,5,1781,0.0028074115665356,-1
nginx/1.10.3,5,1781,0.0028074115665356,-1
nginx/1.10.1 + Phusion Passenger 5.0.30,5,1781,0.0028074115665356,-1
Apache/2.2.22,5,1781,0.0028074115665356,-1
nginx/1.1.19,5,1781,0.0028074115665356,-1
Apache/2.2.32,4,1781,0.0022459292532285,-1
Apache/2.4.18 (Ubuntu),4,1781,0.0022459292532285,-1
Apache/2.0.52 (Red Hat),4,1781,0.0022459292532285,-1
openresty,4,1781,0.0022459292532285,-1
Jetty(9.0.z-SNAPSHOT),4,1781,0.0022459292532285,-1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.5.38,4,1781,0.0022459292532285,-1
mw2165.codfw.wmnet,4,1781,0.0022459292532285,-1
mw2239.codfw.wmnet,4,1781,0.0022459292532285,-1
nginx + Phusion Passenger,4,1781,0.0022459292532285,-1
ebay server,4,1781,0.0022459292532285,-1
AmazonS3,4,1781,0.0022459292532285,-1
nginx/1.11.10,4,1781,0.0022459292532285,-1
Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4,4,1781,0.0022459292532285,-1
Apache/2.2.15 (CentOS) DAV/2 mod_ssl/2.2.15 OpenSSL/1.0.1e-fips PHP/5.3.3,3,1781,0.0016844469399213,-1
Apache/2.4.6 (CentOS),3,1781,0.0016844469399213,-1
Apache/2.2.27 (CentOS),3,1781,0.0016844469399213,-1
openresty/1.11.2.1,3,1781,0.0016844469399213,-1
mw2228.codfw.wmnet,3,1781,0.0016844469399213,-1
Apache/2.4,3,1781,0.0016844469399213,-1
Apache/2.2.3 (CentOS),3,1781,0.0016844469399213,-1
Apache/2.2.22 (Ubuntu),3,1781,0.0016844469399213,-1
Pizza/pepperoni,3,1781,0.0016844469399213,-1
nginx/1.11.3,3,1781,0.0016844469399213,-1
DOSarrest,3,1781,0.0016844469399213,-1
Microsoft-IIS/7.0,3,1781,0.0016844469399213,-1
Apache/2.2.31 (CentOS),3,1781,0.0016844469399213,-1
