Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Seedstars,3248,24933,0.1302691212449364,-1
TonyElumeluFDN,2622,24933,0.1051618337143544,-1
MESTAfrica,2184,24933,0.0875947539405607,-1
ActiveSpaces,1949,24933,0.0781694942445754,-1
Cc_HUB,1733,24933,0.0695062768218826,-1
BongoHive,1698,24933,0.0681025147395018,-1
thenailab,1664,24933,0.0667388601451891,-1
Afrilabs,1453,24933,0.0582761801628364,-1
Sbootcamp,1423,24933,0.0570729555207957,-1
iHub,1274,24933,0.0510969397986604,-1
bizspark,1273,24933,0.0510568323105923,-1
C4DLab,1182,24933,0.0474070508964023,-1
TheLaunchLab,1177,24933,0.0472065134560622,-1
alphacode_club,587,24933,0.023543095495929,-1
iBizAfrica,541,24933,0.0216981510448,-1
mlabeastafrica,234,24933,0.0093851522079172,-1
OrangeFab,208,24933,0.0083423575181486,-1
NestNairobi,115,24933,0.0046123611278225,-1
WIKISTARTUP,112,24933,0.0044920386636184,-1
GrindstoneXL,97,24933,0.0038904263425981,-1
sw7co,67,24933,0.0026872017005574,-1
codebridge,62,24933,0.0024866642602173,-1
SavannahFund,12,24933,0.0004812898568162,-1
ASICampus,10,24933,0.0004010748806802,-1
88mph_Africa,5,24933,0.0002005374403401,-1
startup90,3,24933,0.000120322464204,-1
