Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
TUN,1,269,0.0037174721189591,-1
MOZ,1,269,0.0037174721189591,-1
BRA,1,269,0.0037174721189591,-1
IDA,1,269,0.0037174721189591,-1
MNE,1,269,0.0037174721189591,-1
IMN,1,269,0.0037174721189591,-1
TCD,1,269,0.0037174721189591,-1
BWA,1,269,0.0037174721189591,-1
TLA,1,269,0.0037174721189591,-1
DNK,1,269,0.0037174721189591,-1
SYR,1,269,0.0037174721189591,-1
SEN,1,269,0.0037174721189591,-1
PER,1,269,0.0037174721189591,-1
SRB,1,269,0.0037174721189591,-1
TSA,1,269,0.0037174721189591,-1
USA,1,269,0.0037174721189591,-1
COL,1,269,0.0037174721189591,-1
PST,1,269,0.0037174721189591,-1
EST,1,269,0.0037174721189591,-1
DOM,1,269,0.0037174721189591,-1
CHN,1,269,0.0037174721189591,-1
ZAF,1,269,0.0037174721189591,-1
ISL,1,269,0.0037174721189591,-1
MEA,1,269,0.0037174721189591,-1
CHE,1,269,0.0037174721189591,-1
FRO,1,269,0.0037174721189591,-1
STP,1,269,0.0037174721189591,-1
VIR,1,269,0.0037174721189591,-1
ITA,1,269,0.0037174721189591,-1
ECS,1,269,0.0037174721189591,-1
PRT,1,269,0.0037174721189591,-1
MUS,1,269,0.0037174721189591,-1
MMR,1,269,0.0037174721189591,-1
SAS,1,269,0.0037174721189591,-1
WSM,1,269,0.0037174721189591,-1
IDX,1,269,0.0037174721189591,-1
CZE,1,269,0.0037174721189591,-1
MNG,1,269,0.0037174721189591,-1
HTI,1,269,0.0037174721189591,-1
SDN,1,269,0.0037174721189591,-1
BFA,1,269,0.0037174721189591,-1
MNA,1,269,0.0037174721189591,-1
PAK,1,269,0.0037174721189591,-1
TEC,1,269,0.0037174721189591,-1
LIC,1,269,0.0037174721189591,-1
ERI,1,269,0.0037174721189591,-1
LBY,1,269,0.0037174721189591,-1
ESP,1,269,0.0037174721189591,-1
TCA,1,269,0.0037174721189591,-1
PSS,1,269,0.0037174721189591,-1
FJI,1,269,0.0037174721189591,-1
CAN,1,269,0.0037174721189591,-1
CRI,1,269,0.0037174721189591,-1
EAS,1,269,0.0037174721189591,-1
ATG,1,269,0.0037174721189591,-1
KAZ,1,269,0.0037174721189591,-1
UMC,1,269,0.0037174721189591,-1
TEA,1,269,0.0037174721189591,-1
BGR,1,269,0.0037174721189591,-1
PRK,1,269,0.0037174721189591,-1
HPC,1,269,0.0037174721189591,-1
PLW,1,269,0.0037174721189591,-1
LTE,1,269,0.0037174721189591,-1
BMU,1,269,0.0037174721189591,-1
BLZ,1,269,0.0037174721189591,-1
COM,1,269,0.0037174721189591,-1
SLB,1,269,0.0037174721189591,-1
BGD,1,269,0.0037174721189591,-1
LMC,1,269,0.0037174721189591,-1
IRL,1,269,0.0037174721189591,-1
UZB,1,269,0.0037174721189591,-1
CYP,1,269,0.0037174721189591,-1
ETH,1,269,0.0037174721189591,-1
SLE,1,269,0.0037174721189591,-1
KOR,1,269,0.0037174721189591,-1
NPL,1,269,0.0037174721189591,-1
ARB,1,269,0.0037174721189591,-1
TZA,1,269,0.0037174721189591,-1
BRN,1,269,0.0037174721189591,-1
MEX,1,269,0.0037174721189591,-1
NAC,1,269,0.0037174721189591,-1
NRU,1,269,0.0037174721189591,-1
IRN,1,269,0.0037174721189591,-1
PHL,1,269,0.0037174721189591,-1
SMR,1,269,0.0037174721189591,-1
CUB,1,269,0.0037174721189591,-1
BOL,1,269,0.0037174721189591,-1
AZE,1,269,0.0037174721189591,-1
ASM,1,269,0.0037174721189591,-1
GNQ,1,269,0.0037174721189591,-1
UKR,1,269,0.0037174721189591,-1
SSA,1,269,0.0037174721189591,-1
MAR,1,269,0.0037174721189591,-1
COG,1,269,0.0037174721189591,-1
INX,1,269,0.0037174721189591,-1
IND,1,269,0.0037174721189591,-1
VUT,1,269,0.0037174721189591,-1
CHL,1,269,0.0037174721189591,-1
PYF,1,269,0.0037174721189591,-1
BTN,1,269,0.0037174721189591,-1
ECU,1,269,0.0037174721189591,-1
MAF,1,269,0.0037174721189591,-1
GEO,1,269,0.0037174721189591,-1
THA,1,269,0.0037174721189591,-1
LBN,1,269,0.0037174721189591,-1
IBD,1,269,0.0037174721189591,-1
FSM,1,269,0.0037174721189591,-1
IRQ,1,269,0.0037174721189591,-1
