Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Honduras,1519,401016,0.0037878787878787,-1
"Micronesia, Fed. Sts.",1519,401016,0.0037878787878787,-1
Austria,1519,401016,0.0037878787878787,-1
Bhutan,1519,401016,0.0037878787878787,-1
Georgia,1519,401016,0.0037878787878787,-1
Channel Islands,1519,401016,0.0037878787878787,-1
"Congo, Dem. Rep.",1519,401016,0.0037878787878787,-1
Lao PDR,1519,401016,0.0037878787878787,-1
Low & middle income,1519,401016,0.0037878787878787,-1
West Bank and Gaza,1519,401016,0.0037878787878787,-1
Ukraine,1519,401016,0.0037878787878787,-1
World,1519,401016,0.0037878787878787,-1
Eritrea,1519,401016,0.0037878787878787,-1
Pakistan,1519,401016,0.0037878787878787,-1
Montenegro,1519,401016,0.0037878787878787,-1
Upper middle income,1519,401016,0.0037878787878787,-1
Cayman Islands,1519,401016,0.0037878787878787,-1
Argentina,1519,401016,0.0037878787878787,-1
"Egypt, Arab Rep.",1519,401016,0.0037878787878787,-1
"Hong Kong SAR, China",1519,401016,0.0037878787878787,-1
Other small states,1519,401016,0.0037878787878787,-1
Latin America & Caribbean (excluding high income),1519,401016,0.0037878787878787,-1
Least developed countries: UN classification,1519,401016,0.0037878787878787,-1
Malta,1519,401016,0.0037878787878787,-1
Europe & Central Asia (excluding high income),1519,401016,0.0037878787878787,-1
Moldova,1519,401016,0.0037878787878787,-1
Turkey,1519,401016,0.0037878787878787,-1
Zambia,1519,401016,0.0037878787878787,-1
Liberia,1519,401016,0.0037878787878787,-1
Sierra Leone,1519,401016,0.0037878787878787,-1
"Korea, Dem. People’s Rep.",1519,401016,0.0037878787878787,-1
Singapore,1519,401016,0.0037878787878787,-1
Sub-Saharan Africa (IDA & IBRD countries),1519,401016,0.0037878787878787,-1
Philippines,1519,401016,0.0037878787878787,-1
China,1519,401016,0.0037878787878787,-1
St. Kitts and Nevis,1519,401016,0.0037878787878787,-1
Greenland,1519,401016,0.0037878787878787,-1
Somalia,1519,401016,0.0037878787878787,-1
Latvia,1519,401016,0.0037878787878787,-1
Niger,1519,401016,0.0037878787878787,-1
Qatar,1519,401016,0.0037878787878787,-1
Turkmenistan,1519,401016,0.0037878787878787,-1
Poland,1519,401016,0.0037878787878787,-1
Kenya,1519,401016,0.0037878787878787,-1
Albania,1519,401016,0.0037878787878787,-1
Suriname,1519,401016,0.0037878787878787,-1
Bangladesh,1519,401016,0.0037878787878787,-1
Cambodia,1519,401016,0.0037878787878787,-1
Barbados,1519,401016,0.0037878787878787,-1
Israel,1519,401016,0.0037878787878787,-1
France,1519,401016,0.0037878787878787,-1
Algeria,1519,401016,0.0037878787878787,-1
South Africa,1519,401016,0.0037878787878787,-1
Tanzania,1519,401016,0.0037878787878787,-1
Croatia,1519,401016,0.0037878787878787,-1
Tajikistan,1519,401016,0.0037878787878787,-1
Kazakhstan,1519,401016,0.0037878787878787,-1
Pre-demographic dividend,1519,401016,0.0037878787878787,-1
Bosnia and Herzegovina,1519,401016,0.0037878787878787,-1
Pacific island small states,1519,401016,0.0037878787878787,-1
Libya,1519,401016,0.0037878787878787,-1
Grenada,1519,401016,0.0037878787878787,-1
Spain,1519,401016,0.0037878787878787,-1
Late-demographic dividend,1519,401016,0.0037878787878787,-1
"Gambia, The",1519,401016,0.0037878787878787,-1
Vietnam,1519,401016,0.0037878787878787,-1
New Caledonia,1519,401016,0.0037878787878787,-1
Latin America & Caribbean,1519,401016,0.0037878787878787,-1
Fragile and conflict affected situations,1519,401016,0.0037878787878787,-1
Northern Mariana Islands,1519,401016,0.0037878787878787,-1
Comoros,1519,401016,0.0037878787878787,-1
Maldives,1519,401016,0.0037878787878787,-1
Fiji,1519,401016,0.0037878787878787,-1
Azerbaijan,1519,401016,0.0037878787878787,-1
South Asia (IDA & IBRD),1519,401016,0.0037878787878787,-1
Turks and Caicos Islands,1519,401016,0.0037878787878787,-1
Lebanon,1519,401016,0.0037878787878787,-1
"Congo, Rep.",1519,401016,0.0037878787878787,-1
Liechtenstein,1519,401016,0.0037878787878787,-1
Portugal,1519,401016,0.0037878787878787,-1
East Asia & Pacific (excluding high income),1519,401016,0.0037878787878787,-1
Colombia,1519,401016,0.0037878787878787,-1
Virgin Islands (U.S.),1519,401016,0.0037878787878787,-1
Kuwait,1519,401016,0.0037878787878787,-1
Uzbekistan,1519,401016,0.0037878787878787,-1
Jamaica,1519,401016,0.0037878787878787,-1
Armenia,1519,401016,0.0037878787878787,-1
Lower middle income,1519,401016,0.0037878787878787,-1
Middle East & North Africa,1519,401016,0.0037878787878787,-1
Norway,1519,401016,0.0037878787878787,-1
Sweden,1519,401016,0.0037878787878787,-1
Euro area,1519,401016,0.0037878787878787,-1
Dominica,1519,401016,0.0037878787878787,-1
British Virgin Islands,1519,401016,0.0037878787878787,-1
Belarus,1519,401016,0.0037878787878787,-1
South Sudan,1519,401016,0.0037878787878787,-1
French Polynesia,1519,401016,0.0037878787878787,-1
Bahrain,1519,401016,0.0037878787878787,-1
Gibraltar,1519,401016,0.0037878787878787,-1
Small states,1519,401016,0.0037878787878787,-1
San Marino,1519,401016,0.0037878787878787,-1
St. Lucia,1519,401016,0.0037878787878787,-1
Panama,1519,401016,0.0037878787878787,-1
Hungary,1519,401016,0.0037878787878787,-1
