Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
718,356,21112,0.0168624478969306,-1
205,259,21112,0.0122679045092838,-1
256,245,21112,0.011604774535809,-1
787,229,21112,0.0108469117089806,-1
334,216,21112,0.0102311481621826,-1
410,195,21112,0.0092364532019704,-1
505,182,21112,0.0086206896551724,-1
724,160,21112,0.0075786282682834,-1
301,155,21112,0.0073417961348995,-1
360,155,21112,0.0073417961348995,-1
419,154,21112,0.0072944297082228,-1
740,151,21112,0.0071523304281924,-1
773,149,21112,0.0070575975748389,-1
304,149,21112,0.0070575975748389,-1
402,149,21112,0.0070575975748389,-1
814,147,21112,0.0069628647214854,-1
570,146,21112,0.0069154982948086,-1
610,146,21112,0.0069154982948086,-1
972,142,21112,0.0067260325881015,-1
215,141,21112,0.0066786661614247,-1
717,140,21112,0.006631299734748,-1
618,140,21112,0.006631299734748,-1
770,139,21112,0.0065839333080712,-1
870,139,21112,0.0065839333080712,-1
918,137,21112,0.0064892004547176,-1
330,136,21112,0.0064418340280409,-1
815,136,21112,0.0064418340280409,-1
217,134,21112,0.0063471011746873,-1
406,131,21112,0.006205001894657,-1
573,130,21112,0.0061576354679802,-1
503,130,21112,0.0061576354679802,-1
530,127,21112,0.0060155361879499,-1
605,126,21112,0.0059681697612732,-1
305,126,21112,0.0059681697612732,-1
715,125,21112,0.0059208033345964,-1
541,124,21112,0.0058734369079196,-1
706,121,21112,0.0057313376278893,-1
812,120,21112,0.0056839712012125,-1
701,120,21112,0.0056839712012125,-1
315,120,21112,0.0056839712012125,-1
937,119,21112,0.0056366047745358,-1
405,115,21112,0.0054471390678287,-1
732,114,21112,0.0053997726411519,-1
973,114,21112,0.0053997726411519,-1
508,114,21112,0.0053997726411519,-1
518,114,21112,0.0053997726411519,-1
620,109,21112,0.005162940507768,-1
208,109,21112,0.005162940507768,-1
765,109,21112,0.005162940507768,-1
507,108,21112,0.0051155740810913,-1
860,107,21112,0.0050682076544145,-1
903,107,21112,0.0050682076544145,-1
703,107,21112,0.0050682076544145,-1
281,107,21112,0.0050682076544145,-1
803,106,21112,0.0050208412277377,-1
907,106,21112,0.0050208412277377,-1
847,106,21112,0.0050208412277377,-1
540,105,21112,0.004973474801061,-1
956,105,21112,0.004973474801061,-1
509,104,21112,0.0049261083743842,-1
631,104,21112,0.0049261083743842,-1
513,104,21112,0.0049261083743842,-1
580,104,21112,0.0049261083743842,-1
218,104,21112,0.0049261083743842,-1
760,103,21112,0.0048787419477074,-1
608,103,21112,0.0048787419477074,-1
270,101,21112,0.0047840090943539,-1
251,100,21112,0.0047366426676771,-1
845,100,21112,0.0047366426676771,-1
928,100,21112,0.0047366426676771,-1
601,99,21112,0.0046892762410003,-1
910,99,21112,0.0046892762410003,-1
207,99,21112,0.0046892762410003,-1
843,99,21112,0.0046892762410003,-1
318,99,21112,0.0046892762410003,-1
785,98,21112,0.0046419098143236,-1
309,97,21112,0.0045945433876468,-1
712,96,21112,0.00454717696097,-1
559,96,21112,0.00454717696097,-1
412,96,21112,0.00454717696097,-1
817,96,21112,0.00454717696097,-1
716,96,21112,0.00454717696097,-1
662,95,21112,0.0044998105342932,-1
336,95,21112,0.0044998105342932,-1
920,95,21112,0.0044998105342932,-1
520,93,21112,0.0044050776809397,-1
203,92,21112,0.0043577112542629,-1
303,92,21112,0.0043577112542629,-1
816,92,21112,0.0043577112542629,-1
808,92,21112,0.0043577112542629,-1
970,92,21112,0.0043577112542629,-1
801,91,21112,0.0043103448275862,-1
209,91,21112,0.0043103448275862,-1
702,90,21112,0.0042629784009094,-1
417,90,21112,0.0042629784009094,-1
201,90,21112,0.0042629784009094,-1
423,90,21112,0.0042629784009094,-1
919,88,21112,0.0041682455475558,-1
516,88,21112,0.0041682455475558,-1
828,88,21112,0.0041682455475558,-1
850,88,21112,0.0041682455475558,-1
314,88,21112,0.0041682455475558,-1
502,87,21112,0.0041208791208791,-1
708,87,21112,0.0041208791208791,-1
864,87,21112,0.0041208791208791,-1
757,87,21112,0.0041208791208791,-1
252,87,21112,0.0041208791208791,-1
641,84,21112,0.0039787798408488,-1
818,84,21112,0.0039787798408488,-1
512,84,21112,0.0039787798408488,-1
630,84,21112,0.0039787798408488,-1
916,84,21112,0.0039787798408488,-1
510,84,21112,0.0039787798408488,-1
606,84,21112,0.0039787798408488,-1
585,83,21112,0.003931413414172,-1
707,81,21112,0.0038366805608184,-1
813,81,21112,0.0038366805608184,-1
480,80,21112,0.0037893141341417,-1
603,80,21112,0.0037893141341417,-1
615,80,21112,0.0037893141341417,-1
989,80,21112,0.0037893141341417,-1
804,79,21112,0.0037419477074649,-1
704,78,21112,0.0036945812807881,-1
352,78,21112,0.0036945812807881,-1
210,78,21112,0.0036945812807881,-1
313,77,21112,0.0036472148541114,-1
720,77,21112,0.0036472148541114,-1
248,76,21112,0.0035998484274346,-1
609,76,21112,0.0035998484274346,-1
719,76,21112,0.0035998484274346,-1
713,76,21112,0.0035998484274346,-1
319,76,21112,0.0035998484274346,-1
714,76,21112,0.0035998484274346,-1
435,75,21112,0.0035524820007578,-1
440,75,21112,0.0035524820007578,-1
317,75,21112,0.0035524820007578,-1
308,74,21112,0.003505115574081,-1
262,74,21112,0.003505115574081,-1
909,74,21112,0.003505115574081,-1
856,73,21112,0.0034577491474043,-1
806,73,21112,0.0034577491474043,-1
660,72,21112,0.0034103827207275,-1
515,72,21112,0.0034103827207275,-1
727,72,21112,0.0034103827207275,-1
617,71,21112,0.0033630162940507,-1
425,70,21112,0.003315649867374,-1
561,69,21112,0.0032682834406972,-1
607,69,21112,0.0032682834406972,-1
407,68,21112,0.0032209170140204,-1
978,68,21112,0.0032209170140204,-1
310,68,21112,0.0032209170140204,-1
562,68,21112,0.0032209170140204,-1
361,67,21112,0.0031735505873436,-1
651,67,21112,0.0031735505873436,-1
212,67,21112,0.0031735505873436,-1
231,67,21112,0.0031735505873436,-1
614,67,21112,0.0031735505873436,-1
912,67,21112,0.0031735505873436,-1
408,66,21112,0.0031261841606669,-1
504,66,21112,0.0031261841606669,-1
781,66,21112,0.0031261841606669,-1
805,66,21112,0.0031261841606669,-1
734,66,21112,0.0031261841606669,-1
414,66,21112,0.0031261841606669,-1
320,66,21112,0.0031261841606669,-1
661,65,21112,0.0030788177339901,-1
501,65,21112,0.0030788177339901,-1
619,65,21112,0.0030788177339901,-1
626,65,21112,0.0030788177339901,-1
517,64,21112,0.0030314513073133,-1
754,63,21112,0.0029840848806366,-1
859,62,21112,0.0029367184539598,-1
254,62,21112,0.0029367184539598,-1
337,62,21112,0.0029367184539598,-1
563,61,21112,0.002889352027283,-1
239,61,21112,0.002889352027283,-1
931,61,21112,0.002889352027283,-1
401,60,21112,0.0028419856006062,-1
229,60,21112,0.0028419856006062,-1
269,60,21112,0.0028419856006062,-1
775,60,21112,0.0028419856006062,-1
253,60,21112,0.0028419856006062,-1
951,59,21112,0.0027946191739295,-1
802,59,21112,0.0027946191739295,-1
216,58,21112,0.0027472527472527,-1
830,58,21112,0.0027472527472527,-1
