Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
94110.0,17837,198900,0.0896782302664655,-1
94114.0,13404,198900,0.0673906485671191,-1
94117.0,11780,198900,0.0592257415786827,-1
94109.0,11348,198900,0.0570537958773252,-1
94103.0,10986,198900,0.0552337858220211,-1
94115.0,10095,198900,0.0507541478129713,-1
94118.0,9812,198900,0.0493313222724987,-1
94123.0,9515,198900,0.0478381096028154,-1
94122.0,8886,198900,0.0446757164404223,-1
94105.0,8628,198900,0.0433785822021116,-1
94112.0,7897,198900,0.0397033685268979,-1
94121.0,7773,198900,0.0390799396681749,-1
94107.0,7706,198900,0.038743086978381,-1
94131.0,7664,198900,0.0385319255907491,-1
94133.0,7424,198900,0.0373252890899949,-1
94102.0,7164,198900,0.0360180995475113,-1
94116.0,6421,198900,0.0322825540472599,-1
94111.0,5385,198900,0.0270739064856712,-1
94108.0,5320,198900,0.0267471091000502,-1
94124.0,5265,198900,0.0264705882352941,-1
94127.0,4993,198900,0.0251030668677727,-1
94104.0,4229,198900,0.0212619406737053,-1
94132.0,3507,198900,0.0176319758672699,-1
94134.0,2983,198900,0.0149974861739567,-1
94158.0,1058,198900,0.0053192559074912,-1
94130.0,81,198900,0.0004072398190045,-1
94129.0,23,198900,0.0001156359979889,-1
