Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CA-MB CA-SB,53077,346018,0.1533937540821575,-1
CA-SB,33221,346018,0.0960094561554601,-1
CA-MB CA-SB CA-SBE,7744,346018,0.0223803385951019,-1
CA-DVBE CA-MB CA-SB,5661,346018,0.016360420556156,-1
CA-SB CA-SBE,5630,346018,0.0162708298412221,-1
CA-MB CA-SB SB,3781,346018,0.010927177198874,-1
CA-SB SB,2950,346018,0.0085255680340329,-1
CA-DVBE CA-SB CDVBE,2236,346018,0.0064620915674907,-1
CA-SB CA-SBE SB,1954,346018,0.0056471050638984,-1
CA-DVBE CA-SB CA-SBE CDVBE,1829,346018,0.0052858521811004,-1
CA-MB CA-SB CA-SBE SB,1599,346018,0.004621146876752,-1
CA-DVBE CA-MB CA-SB CDVBE,1458,346018,0.0042136536249559,-1
CA-DVBE CA-SB,1339,346018,0.0038697408805322,-1
CA-DVBE,1200,346018,0.0034680276748608,-1
CA-DVBE CA-SB CA-SBE CDVBE SDVOSB,1058,346018,0.0030576444000023,-1
CA-MB CA-SB CA-SBE SB WBE WOSB,923,346018,0.0026674912865804,-1
CA-DVBE CA-SBE CDVBE,831,346018,0.0024016091648411,-1
WBE,809,346018,0.0023380286574686,-1
CA-SBE,797,346018,0.00230334838072,-1
CA-NP,769,346018,0.0022224277349733,-1
CA-DVBE CA-MB CA-SB CA-SBE CDVBE,715,346018,0.0020663664896045,-1
SB,610,346018,0.0017629140680542,-1
CA-MB CA-SB CA-SBE SB WOSB,592,346018,0.0017108936529313,-1
CA-DVBE CDVBE,578,346018,0.0016704333300579,-1
CA-DVBE CA-SBE CDVBE SB SDVOSB,473,346018,0.0013669809085076,-1
CA-MB CA-SB CA-SBE WOSB,419,346018,0.0012109196631389,-1
CA-DVBE CA-MB CA-SB CA-SBE CDVBE SB SDVOSB,413,346018,0.0011935795247646,-1
CA-DVBE CA-SBE CDVBE SDVOSB,389,346018,0.0011242189712673,-1
CA-SB CA-SBE MBE MOSB SB,321,346018,0.0009276974030252,-1
CA-SB SB WBE,316,346018,0.0009132472877133,-1
CA-MB CA-SB SB WBE,306,346018,0.0008843470570895,-1
DVBE12324,286,346018,0.0008265465958418,-1
CA-DVBE CA-MB CA-SB CDVBE SB,283,346018,0.0008178765266546,-1
CA-DVBE CA-SB CA-SBE SB,267,346018,0.0007716361576565,-1
CA-DVBE CA-SB CDVBE DBE SB SDVOSB,253,346018,0.0007311758347831,-1
SB WBE,249,346018,0.0007196157425336,-1
CA-SB CA-SBE SB WBE WOSB,244,346018,0.0007051656272217,-1
CA-DVBE CA-MB CA-SB SB,242,346018,0.0006993855810969,-1
CA-DVBE CA-SB CA-SBE,237,346018,0.000684935465785,-1
CA-SB CA-SBE DBE MBE MOSB SB,233,346018,0.0006733753735354,-1
CA-SB CA-SBE SB WBE,229,346018,0.0006618152812859,-1
CA-MB CA-SB MBE,214,346018,0.0006184649353501,-1
CA-MB CA-SB CA-SBE SB WBE,189,346018,0.0005462143587905,-1
CA-MB CA-SB MBE SB,173,346018,0.0004999739897924,-1
CA-DVBE CA-SB CDVBE SB SDVOSB,164,346018,0.0004739637822309,-1
CA-MB CA-SB CA-SBE DBE MBE MOSB SB,163,346018,0.0004710737591685,-1
CA-DVBE CA-SB DVBE,149,346018,0.0004306134362952,-1
CA-DVBE CA-MB CA-SB DVBE,146,346018,0.000421943367108,-1
