Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
London,18212,125527,0.1450843244879587,-1
Paris,14874,125527,0.1184924358902865,-1
Madrid,9543,125527,0.0760234849872935,-1
Barcelona,8425,125527,0.0671170345822014,-1
Berlin,7078,125527,0.0563862754626494,-1
Milan,6687,125527,0.0532714077449473,-1
Rome,5949,125527,0.0473921945079544,-1
Prague,4859,125527,0.0387088036836696,-1
Lisbon,3986,125527,0.0317541246106415,-1
Vienna,3724,125527,0.029666924247373,-1
Amsterdam,3434,125527,0.0273566643032973,-1
Brussels,3204,125527,0.0255243891752372,-1
Hamburg,3131,125527,0.0249428409824181,-1
Munich,2995,125527,0.0238594087327825,-1
Lyon,2930,125527,0.0233415918487656,-1
Stockholm,2705,125527,0.0215491487887068,-1
Budapest,2606,125527,0.0207604738422809,-1
Warsaw,2352,125527,0.0187370047878145,-1
Copenhagen,2109,125527,0.016801166282951,-1
Dublin,2082,125527,0.016586073115744,-1
Athens,1938,125527,0.0154389095573063,-1
Edinburgh,1865,125527,0.0148573613644873,-1
Zurich,1667,125527,0.0132800114716355,-1
Oporto,1580,125527,0.0125869334884128,-1
Geneva,1572,125527,0.0125232021796107,-1
Krakow,1354,125527,0.0107865240147537,-1
Helsinki,1228,125527,0.0097827559011208,-1
Oslo,1213,125527,0.0096632596971169,-1
Bratislava,1067,125527,0.0085001633114788,-1
Luxembourg,657,125527,0.0052339337353716,-1
Ljubljana,501,125527,0.0039911732137309,-1
