Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Tech,100,602,0.1661129568106312,-1
Career & Business,93,602,0.154485049833887,-1
Socializing,48,602,0.0797342192691029,-1
Health & Wellbeing,36,602,0.0598006644518272,-1
Outdoors & Adventure,36,602,0.0598006644518272,-1
New Age & Spirituality,33,602,0.0548172757475083,-1
Sports & Recreation,26,602,0.0431893687707641,-1
Games,20,602,0.0332225913621262,-1
Community & Environment,20,602,0.0332225913621262,-1
Music,19,602,0.0315614617940199,-1
Religion & Beliefs,18,602,0.0299003322259136,-1
Food & Drink,15,602,0.0249169435215946,-1
Fitness,14,602,0.0232558139534883,-1
Language & Ethnic Identity,13,602,0.021594684385382,-1
Education & Learning,13,602,0.021594684385382,-1
Movements & Politics,12,602,0.0199335548172757,-1
Book Clubs,11,602,0.0182724252491694,-1
Support,9,602,0.0149501661129568,-1
Arts & Culture,9,602,0.0149501661129568,-1
Parents & Family,7,602,0.0116279069767441,-1
LGBT,6,602,0.0099667774086378,-1
Movies & Film,6,602,0.0099667774086378,-1
Pets & Animals,6,602,0.0099667774086378,-1
Hobbies & Crafts,6,602,0.0099667774086378,-1
Photography,5,602,0.0083056478405315,-1
Dancing,5,602,0.0083056478405315,-1
Sci-Fi & Fantasy,4,602,0.0066445182724252,-1
Fashion & Beauty,4,602,0.0066445182724252,-1
Singles,3,602,0.0049833887043189,-1
Writing,3,602,0.0049833887043189,-1
Cars & Motorcycles,2,602,0.0033222591362126,-1
