Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
2015,67,2050,0.0326829268292682,-1
2013,67,2050,0.0326829268292682,-1
2012,67,2050,0.0326829268292682,-1
2014,67,2050,0.0326829268292682,-1
2016,67,2050,0.0326829268292682,-1
2011,67,2050,0.0326829268292682,-1
2007,64,2050,0.0312195121951219,-1
2002,64,2050,0.0312195121951219,-1
2004,64,2050,0.0312195121951219,-1
2006,64,2050,0.0312195121951219,-1
2008,64,2050,0.0312195121951219,-1
2010,64,2050,0.0312195121951219,-1
2003,64,2050,0.0312195121951219,-1
2009,64,2050,0.0312195121951219,-1
2005,64,2050,0.0312195121951219,-1
2001,64,2050,0.0312195121951219,-1
2000,63,2050,0.0307317073170731,-1
1988,63,2050,0.0307317073170731,-1
1990,63,2050,0.0307317073170731,-1
1992,63,2050,0.0307317073170731,-1
1994,63,2050,0.0307317073170731,-1
1996,63,2050,0.0307317073170731,-1
1998,63,2050,0.0307317073170731,-1
1985,63,2050,0.0307317073170731,-1
1987,63,2050,0.0307317073170731,-1
1999,63,2050,0.0307317073170731,-1
1997,63,2050,0.0307317073170731,-1
1995,63,2050,0.0307317073170731,-1
1993,63,2050,0.0307317073170731,-1
1991,63,2050,0.0307317073170731,-1
1989,63,2050,0.0307317073170731,-1
1986,63,2050,0.0307317073170731,-1
