Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Cycle Inspection / Initial Inspection,230431,399918,0.5761956201021209,-1
Cycle Inspection / Re-inspection,99436,399918,0.2486409713991368,-1
Pre-permit (Operational) / Initial Inspection,24702,399918,0.061767662370786,-1
Pre-permit (Operational) / Re-inspection,10568,399918,0.0264254172105281,-1
Administrative Miscellaneous / Initial Inspection,7911,399918,0.0197815552188198,-1
Smoke-Free Air Act / Initial Inspection,4107,399918,0.0102696052690801,-1
Pre-permit (Non-operational) / Initial Inspection,3957,399918,0.0098945283783175,-1
Cycle Inspection / Reopening Inspection,3221,399918,0.0080541511009757,-1
Trans Fat / Initial Inspection,2910,399918,0.0072764916807945,-1
Administrative Miscellaneous / Re-inspection,2765,399918,0.0069139173530573,-1
Smoke-Free Air Act / Re-inspection,1605,399918,0.0040133227311598,-1
Cycle Inspection / Compliance Inspection,1444,399918,0.0036107402017413,-1
Trans Fat / Re-inspection,1199,399918,0.0029981146134957,-1
Inter-Agency Task Force / Initial Inspection,1140,399918,0.0028505843697958,-1
Pre-permit (Operational) / Compliance Inspection,805,399918,0.0020129126470926,-1
Pre-permit (Operational) / Reopening Inspection,609,399918,0.0015228121764961,-1
Calorie Posting / Initial Inspection,605,399918,0.0015128101260758,-1
Trans Fat / Compliance Inspection,378,399918,0.0009451937647217,-1
Pre-permit (Non-operational) / Re-inspection,294,399918,0.0007351507058947,-1
Administrative Miscellaneous / Compliance Inspection,196,399918,0.0004901004705964,-1
Calorie Posting / Re-inspection,138,399918,0.0003450707395015,-1
Administrative Miscellaneous / Reopening Inspection,76,399918,0.0001900389579863,-1
Trans Fat / Second Compliance Inspection,68,399918,0.0001700348571457,-1
Smoke-Free Air Act / Compliance Inspection,67,399918,0.0001675343445406,-1
Pre-permit (Operational) / Second Compliance Inspection,46,399918,0.0001150235798338,-1
Cycle Inspection / Second Compliance Inspection,28,399918,7.001435294235318e-05,-1
Administrative Miscellaneous / Second Compliance Inspection,28,399918,7.001435294235318e-05,-1
Calorie Posting / Compliance Inspection,15,399918,3.750768907626064e-05,-1
Smoke-Free Air Act / Second Compliance Inspection,15,399918,3.750768907626064e-05,-1
Pre-permit (Non-operational) / Compliance Inspection,9,399918,2.250461344575638e-05,-1
Calorie Posting / Second Compliance Inspection,6,399918,1.5003075630504252e-05,-1
Smoke-Free Air Act / Limited Inspection,2,399918,5.001025210168084e-06,-1
Inter-Agency Task Force / Re-inspection,1,399918,2.500512605084042e-06,-1
Trans Fat / Limited Inspection,1,399918,2.500512605084042e-06,-1
