Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Chicago-Area-D30-Toastmasters,1061,5807,0.1827105217840537,-1
SanFranciscoFigureDrawing,298,5807,0.0513173755811951,-1
SF-Free-School,134,5807,0.0230755984157051,-1
ChicagoMeetup,114,5807,0.019631479249182,-1
CASTRO-STREET-Drawing-sessions-female-model-night,105,5807,0.0180816256242466,-1
Figure-Drawing-Chicago,100,5807,0.0172205958326158,-1
MondayImprovClass,100,5807,0.0172205958326158,-1
Art-in-the-Garden-at-Hayes-Valley-Art-Works,100,5807,0.0172205958326158,-1
Wicker-Park-Arts,100,5807,0.0172205958326158,-1
Northside-Freelance-Network,100,5807,0.0172205958326158,-1
Drop-in-Figure-Drawing-at-Lillstreet-Art-Center,100,5807,0.0172205958326158,-1
Improv-for-Actors,100,5807,0.0172205958326158,-1
www-womensprosperitynetwork-com-nyc,99,5807,0.0170483898742896,-1
City-Lit-Books-in-Logan-Square,79,5807,0.0136042707077664,-1
Chicago-Womens-Creative-Collective,76,5807,0.013087652832788,-1
NOMAT-BookClub,62,5807,0.0106767694162218,-1
San-Francisco-Figure-Drawing-Painting-Meetup,56,5807,0.0096435336662648,-1
Job-Seekers-Meetup-at-JVS,54,5807,0.0092991217496125,-1
Learn-Investing-Concepts-With-Cashflow-101,53,5807,0.0091269157912863,-1
MEETUP-BADMINTON,52,5807,0.0089547098329602,-1
Rogers-Park-Library-Book-Discussion-Group,52,5807,0.0089547098329602,-1
French-US-Innovators-Entrepreneurs-in-Silicon-Valley,52,5807,0.0089547098329602,-1
meetup-group-ewPaCOfi,51,5807,0.008782503874634,-1
3D-Printing-New-York,51,5807,0.008782503874634,-1
Moving-laughing-and-Dancing-Circle-for-Meditation,51,5807,0.008782503874634,-1
Bodhi-Lounge,50,5807,0.0086102979163079,-1
chicagoactors,50,5807,0.0086102979163079,-1
meetup-group-kZjmZIoP,50,5807,0.0086102979163079,-1
Drink-Draw-in-The-Lower-East-Side,50,5807,0.0086102979163079,-1
Chicago-Area-Figure-Drawing-Meetup-Group,50,5807,0.0086102979163079,-1
BNI42-Business-Networking-in-New-York,50,5807,0.0086102979163079,-1
The-Job-Forum-of-the-San-Francisco-Chamber-of-Commerce,50,5807,0.0086102979163079,-1
San-Francisco-Startup-Idea-to-IPO,50,5807,0.0086102979163079,-1
BP-Toastmasters,50,5807,0.0086102979163079,-1
StartupBasecamp-Pitch-Networking-events,50,5807,0.0086102979163079,-1
Montauk-Group-Meetup,50,5807,0.0086102979163079,-1
The-Montauk-Group-Meetup,50,5807,0.0086102979163079,-1
Lexington-Vanderbilt-toastmasters-public-speaking-Meetup,49,5807,0.0084380919579817,-1
BNI-Chapter-56,49,5807,0.0084380919579817,-1
Axis-BNI,49,5807,0.0084380919579817,-1
SwapTheBizNYCNetworkingGroup,48,5807,0.0082658859996555,-1
BusinessEventsNY,36,5807,0.0061994144997416,-1
Drink-and-Draw-Bay,27,5807,0.0046495608748062,-1
NYC-Friend,27,5807,0.0046495608748062,-1
Asian-Business-Connectors,26,5807,0.0044773549164801,-1
A-Taste-of-Theater-Writing-Acting-Performance,26,5807,0.0044773549164801,-1
Left-Coast-Theatre-Co,26,5807,0.0044773549164801,-1
Friday-Figure-Drawing-Martins-Soup-Kitchen,26,5807,0.0044773549164801,-1
New-York-City-Drawing-and-Story-writing,26,5807,0.0044773549164801,-1
The-San-Francisco-not-quite-a-book-club-Book-Club,25,5807,0.0043051489581539,-1
City-Hall-Toastmasters,25,5807,0.0043051489581539,-1
HHS-Toastmasters-Club-in-Downtown-Chicago,24,5807,0.0041329429998277,-1
DPWN-Illinois,24,5807,0.0041329429998277,-1
Lightly-Toasted-Toastmasters,24,5807,0.0041329429998277,-1
Wicker-Park-Bucktown-Toastmasters-Meetup,24,5807,0.0041329429998277,-1
collabopartners-connection-events-nyc,18,5807,0.0030997072498708,-1
alt-fun-scene-nyc,17,5807,0.0029275012915446,-1
friendsandprofressionals,17,5807,0.0029275012915446,-1
Zorkas-Million-Dollar-Leaders,13,5807,0.00223867745824,-1
Zorkas-FinanceClub,13,5807,0.00223867745824,-1
ZorkasStellarLadies,13,5807,0.00223867745824,-1
ChicagoPDMA,13,5807,0.00223867745824,-1
NYC-Networking-Events-for-Professionals,13,5807,0.00223867745824,-1
Zorkas-NYC-Entrepreneurs,13,5807,0.00223867745824,-1
Zorkas-UnstoppableBizBuilders,13,5807,0.00223867745824,-1
ZorkasWomen-Organize-4-Success,13,5807,0.00223867745824,-1
Zorkas-entrepreneur-success,13,5807,0.00223867745824,-1
ZorkasSmallBiz,13,5807,0.00223867745824,-1
ZorkasCustomerMakers,13,5807,0.00223867745824,-1
Zorkas-Contemporary-Art-Lovers,13,5807,0.00223867745824,-1
ZorkasBizPros,13,5807,0.00223867745824,-1
Zorkas-Creative-Freelancers-Guild,13,5807,0.00223867745824,-1
ZorkasLeaders,13,5807,0.00223867745824,-1
ZorkasNYC-Service-Businesses-Entrepreneurs,13,5807,0.00223867745824,-1
Zorkas-Determined-Accelerators,13,5807,0.00223867745824,-1
ZorkasDisplacedWorkers,13,5807,0.00223867745824,-1
Zorkas-MBA-Meetup,13,5807,0.00223867745824,-1
ZorkasPhotoBeginners,13,5807,0.00223867745824,-1
Zorkas-Womens-Alliance,13,5807,0.00223867745824,-1
Shapeways,12,5807,0.0020664714999138,-1
seo-social-media-marketing-academy,12,5807,0.0020664714999138,-1
StartupsShowcase-II,12,5807,0.0020664714999138,-1
EntertainmentPro,12,5807,0.0020664714999138,-1
Figure-Drawing-and-Ceramic-Painting,12,5807,0.0020664714999138,-1
New-York-NetSuite-Meetup,12,5807,0.0020664714999138,-1
4-Women-Entrepreneurs,12,5807,0.0020664714999138,-1
Goddess-Painting-Class,12,5807,0.0020664714999138,-1
The-South-Loop-Cashflow-Meetup-Group,12,5807,0.0020664714999138,-1
QuickBooks-Business-Coach,12,5807,0.0020664714999138,-1
ZorkasEntertainmentPros,12,5807,0.0020664714999138,-1
Chicago-Women-in-Architecture,12,5807,0.0020664714999138,-1
Cashflow101Club,12,5807,0.0020664714999138,-1
Sunday-Afternoon-Book-Group,12,5807,0.0020664714999138,-1
Entrepreneurs-NYC-Startups-Tech-Mktg-Sales-Expert-Advice,12,5807,0.0020664714999138,-1
New-York-Technology-Startups-Meetup,12,5807,0.0020664714999138,-1
StartupsShowcase,12,5807,0.0020664714999138,-1
BetterInvestingSanFranciscoBayAreaChapter,12,5807,0.0020664714999138,-1
Zorkas-Visionary-Marketers,12,5807,0.0020664714999138,-1
VSHOT-Collaboration-Community,12,5807,0.0020664714999138,-1
Breakfast-Networking-USA,12,5807,0.0020664714999138,-1
Zorkas-Seekers,12,5807,0.0020664714999138,-1
NYC-Flippers-and-Funders-Meetup,12,5807,0.0020664714999138,-1
Professional-Womens-Network-of-San-Francisco,12,5807,0.0020664714999138,-1
NYC-Drinks-for-Brand-and-Marketing-Managers,12,5807,0.0020664714999138,-1
district4toastmasters,12,5807,0.0020664714999138,-1
nyc-Digital-Marketing-Professionals,12,5807,0.0020664714999138,-1
Chicagoland-Realtor-Mastermind-Meetup,12,5807,0.0020664714999138,-1
Zorkas-Mentors,12,5807,0.0020664714999138,-1
StartupsshowcaseVII,12,5807,0.0020664714999138,-1
businesscardtobusiness,12,5807,0.0020664714999138,-1
I-love-the-New-Yorker-Magazine-in-SF,12,5807,0.0020664714999138,-1
