Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
GARBAGE COLLECTION,198475,564403,0.3516547573276541,-1
RECYCLING - SINGLE STREAM,102483,564403,0.1815777024572867,-1
RECYCLING,56457,564403,0.1000295887867357,-1
YARD TRIMMINGS,54637,564403,0.0968049425676334,-1
STREET CLEANING-RESIDENTIAL,38001,564403,0.067329549984674,-1
BULK,31111,564403,0.0551219607266439,-1
BRUSH,30551,564403,0.054129761889997,-1
SWEEPER DUMPSITES,13246,564403,0.023469046053972,-1
STREET CLEANING-DOWNTOWN,10511,564403,0.0186232178071342,-1
STREET CLEANING-BLVD,9374,564403,0.0166086998120137,-1
DEAD ANIMAL,5408,564403,0.0095818059081897,-1
INHOUSE - RECYCLING,3352,564403,0.0059390187507862,-1
HAULING,1964,564403,0.0034797830628115,-1
STORM,1610,564403,0.0028525716553597,-1
KAB,1467,564403,0.0025992065952874,-1
LITTER CONTROL,1058,564403,0.0018745470878078,-1
STREET CLEANING-SPECIAL PROJECTS,887,564403,0.0015715720859031,-1
SPECIAL PROJECT LC,757,564403,0.0013412402131101,-1
SPECIAL PROJECT BU,755,564403,0.0013376966458363,-1
CAP BULK,602,564403,0.0010666137493953,-1
SPECIAL PROJECT YT,320,564403,0.0005669707637982,-1
CAP STORM BR,231,564403,0.0004092820201168,-1
YARD TRIMMINGS-STORM CLEANUP,217,564403,0.0003844770492006,-1
SPECIAL EVENTS,204,564403,0.0003614438619213,-1
STREET CLEANING-SCHOOLS,200,564403,0.0003543567273738,-1
CAP BRUSH,128,564403,0.0002267883055192,-1
CAP STORM,126,564403,0.0002232447382455,-1
LITTER P/U,71,564403,0.0001257966382177,-1
CAP STORM BU,62,564403,0.0001098505854859,-1
SPECIAL PROJECT BR,45,564403,7.9730263659123e-05,-1
RECYCLING - PILOT,40,564403,7.0871345474776e-05,-1
STORM SWEEPING,20,564403,3.5435672737388e-05,-1
OUT OF CYCLE BRUSH,17,564403,3.0120321826779804e-05,-1
OUT OF CYCLE BULK,9,564403,1.59460527318246e-05,-1
ALLEY BULK REMOVAL,3,564403,5.3153509106082e-06,-1
BIKE LANE SWEEPING,3,564403,5.3153509106082e-06,-1
FLUSHER,1,564403,1.7717836368694e-06,-1
