Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Farmhands and laborers,3478,41544,0.0837184671673406,-1
Rice farmers,2849,41544,0.0685778933179279,-1
General managers/managing proprietors in wholesale and retail trade,2028,41544,0.0488157134604275,-1
"General managers/managing proprietors in transportation, storage and communications",1932,41544,0.0465049104563836,-1
Corn farmers,1724,41544,0.0414981706142884,-1
Coconut farmers,1036,41544,0.0249374157519738,-1
Building construction laborers,1014,41544,0.0244078567302137,-1
Inland and coastal waters fishermen,1011,41544,0.0243356441363373,-1
Carpenters and joiners,1000,41544,0.0240708646254573,-1
"Car, taxi and van drivers",824,41544,0.0198343924513768,-1
Protective services workers n. e. c.,640,41544,0.0154053533602927,-1
Shop salespersons and demonstrators,611,41544,0.0147072982861544,-1
Market and sidewalk stall vendors,576,41544,0.0138648180242634,-1
"General managers/managing proprietors in agriculture, hunting, forestry and fishing",554,41544,0.0133352590025033,-1
General managers/managing proprietors in manufacturing,539,41544,0.0129741960331215,-1
Vegetable farmers,504,41544,0.0121317157712305,-1
Motorcycle drivers,496,41544,0.0119391488542268,-1
General managers/managing proprietors of business services,482,41544,0.0116021567494704,-1
Traditional chiefs and heads of villages,435,41544,0.0104708261120739,-1
Heavy truck and lorry drivers,430,41544,0.0103504717889466,-1
Masons and related concrete finishers,403,41544,0.0097005584440593,-1
Root crops farmers,393,41544,0.0094598497978047,-1
"Helpers and cleaners in offices, hotels and other establishments",373,41544,0.0089784325052955,-1
Fishery laborers and helpers,353,41544,0.0084970152127864,-1
Fruit tree farmers,330,41544,0.0079433853264009,-1
Hand packers and other manufacturing laborers,291,41544,0.007004621606008,-1
Hog raising farmers,275,41544,0.0066194877720007,-1
Hand launderers and pressers,271,41544,0.0065232043134989,-1
Street ambulant vendors,263,41544,0.0063306373964952,-1
General managers/managing proprietors of restaurants and hotels,254,41544,0.0061139996148661,-1
Deep-sea fishermen,252,41544,0.0060658578856152,-1
Domestic helpers and cleaners,229,41544,0.0055122279992297,-1
General elementary education teaching professionals,220,41544,0.0052955902176006,-1
Freight handlers,217,41544,0.0052233776237242,-1
Welders and flamecutters,192,41544,0.0046216060080878,-1
Building and related electricians,190,41544,0.0045734642788368,-1
Painters and related workers,183,41544,0.0044049682264586,-1
