Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CE,14733,24957,0.5903353768481788,-1
CI,2738,24957,0.109708698962215,-1
TR,2371,24957,0.0950034058580758,-1
CL,2038,24957,0.0816604559842929,-1
CV,618,24957,0.0247625916576511,-1
PE,549,24957,0.0219978362783988,-1
CN,463,24957,0.0185519092839684,-1
PP,225,24957,0.0090155066714749,-1
CC,189,24957,0.0075730256040389,-1
CB,128,24957,0.0051288215731057,-1
CY,60,24957,0.0024041351123933,-1
PL,44,24957,0.001763032415755,-1
CG,39,24957,0.0015626878230556,-1
CM,38,24957,0.0015226189045157,-1
LC,29,24957,0.0011619986376567,-1
PG,27,24957,0.0010818608005769,-1
CH,21,24957,0.0008414472893376,-1
CO,20,24957,0.0008013783707977,-1
CL14,19,24957,0.0007613094522578,-1
CU,19,24957,0.0007613094522578,-1
CS,18,24957,0.0007212405337179,-1
FO,17,24957,0.0006811716151781,-1
LP,17,24957,0.0006811716151781,-1
LB,8,24957,0.0003205513483191,-1
5E,4,24957,0.0001602756741595,-1
TE,4,24957,0.0001602756741595,-1
CD,4,24957,0.0001602756741595,-1
5OP,3,24957,0.0001202067556196,-1
CP,3,24957,0.0001202067556196,-1
5PM,3,24957,0.0001202067556196,-1
TS,3,24957,0.0001202067556196,-1
PSL,2,24957,8.013783707977722e-05,-1
CY.DE,2,24957,8.013783707977722e-05,-1
CW,1,24957,4.006891853988861e-05,-1
CT,1,24957,4.006891853988861e-05,-1
5X,1,24957,4.006891853988861e-05,-1
P,1,24957,4.006891853988861e-05,-1
5C,1,24957,4.006891853988861e-05,-1
CF,1,24957,4.006891853988861e-05,-1
NM,1,24957,4.006891853988861e-05,-1
