Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Financial District/South Beach,21816,198900,0.109683257918552,-1
Mission,14681,198900,0.0738109602815485,-1
Sunset/Parkside,10207,198900,0.0513172448466566,-1
West of Twin Peaks,8739,198900,0.0439366515837104,-1
Castro/Upper Market,8527,198900,0.0428707893413775,-1
Pacific Heights,8508,198900,0.0427752639517345,-1
Marina,8244,198900,0.0414479638009049,-1
Outer Richmond,7854,198900,0.0394871794871794,-1
Noe Valley,7844,198900,0.0394369029663147,-1
South of Market,7572,198900,0.0380693815987933,-1
Bernal Heights,6067,198900,0.0305027652086475,-1
Nob Hill,6009,198900,0.0302111613876319,-1
Haight Ashbury,5798,198900,0.0291503267973856,-1
Inner Sunset,5776,198900,0.0290397184514831,-1
Bayview Hunters Point,5669,198900,0.0285017596782302,-1
Russian Hill,5495,198900,0.0276269482151835,-1
Hayes Valley,5489,198900,0.0275967823026646,-1
Tenderloin,4783,198900,0.0240472599296128,-1
Inner Richmond,4458,198900,0.0224132730015082,-1
Potrero Hill,4293,198900,0.0215837104072398,-1
Presidio Heights,4084,198900,0.0205329311211664,-1
North Beach,4054,198900,0.0203821015585721,-1
Western Addition,3867,198900,0.0194419306184012,-1
Chinatown,3765,198900,0.0189291101055806,-1
Lone Mountain/USF,3358,198900,0.0168828557063851,-1
Excelsior,3072,198900,0.015444947209653,-1
Oceanview/Merced/Ingleside,2654,198900,0.0133433886375062,-1
Glen Park,2637,198900,0.0132579185520361,-1
Mission Bay,2287,198900,0.0114982403217697,-1
Outer Mission,2242,198900,0.0112719959778783,-1
Twin Peaks,1702,198900,0.0085570638511814,-1
Portola,1433,198900,0.0072046254399195,-1
Lakeshore,1308,198900,0.0065761689291101,-1
Seacliff,992,198900,0.0049874308697838,-1
Visitacion Valley,900,198900,0.004524886877828,-1
Japantown,700,198900,0.0035193564605329,-1
Treasure Island,81,198900,0.0004072398190045,-1
Golden Gate Park,64,198900,0.0003217697335344,-1
Presidio,51,198900,0.0002564102564102,-1
Lincoln Park,49,198900,0.0002463549522373,-1
McLaren Park,46,198900,0.0002312719959778,-1
