Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Italian Grand Prix,69,997,0.0692076228686058,-1
British Grand Prix,69,997,0.0692076228686058,-1
Monaco Grand Prix,65,997,0.0651955867602808,-1
German Grand Prix,63,997,0.0631895687061183,-1
Belgian Grand Prix,63,997,0.0631895687061183,-1
French Grand Prix,59,997,0.0591775325977933,-1
Canadian Grand Prix,49,997,0.0491474423269809,-1
Spanish Grand Prix,48,997,0.0481444332998996,-1
Brazilian Grand Prix,46,997,0.0461384152457372,-1
United States Grand Prix,40,997,0.0401203610832497,-1
Japanese Grand Prix,34,997,0.0341023069207622,-1
Australian Grand Prix,34,997,0.0341023069207622,-1
Hungarian Grand Prix,33,997,0.033099297893681,-1
Austrian Grand Prix,31,997,0.0310932798395185,-1
Dutch Grand Prix,30,997,0.0300902708124373,-1
San Marino Grand Prix,26,997,0.0260782347041123,-1
South African Grand Prix,23,997,0.0230692076228686,-1
European Grand Prix,23,997,0.0230692076228686,-1
Argentine Grand Prix,20,997,0.0200601805416248,-1
Mexican Grand Prix,19,997,0.0190571715145436,-1
Malaysian Grand Prix,19,997,0.0190571715145436,-1
Portuguese Grand Prix,16,997,0.0160481444332999,-1
Chinese Grand Prix,15,997,0.0150451354062186,-1
Bahrain Grand Prix,14,997,0.0140421263791374,-1
Indianapolis 500,11,997,0.0110330992978936,-1
Singapore Grand Prix,11,997,0.0110330992978936,-1
Abu Dhabi Grand Prix,10,997,0.0100300902708124,-1
United States Grand Prix West,8,997,0.0080240722166499,-1
Turkish Grand Prix,7,997,0.0070210631895687,-1
Detroit Grand Prix,7,997,0.0070210631895687,-1
Swiss Grand Prix,6,997,0.0060180541624874,-1
Swedish Grand Prix,6,997,0.0060180541624874,-1
Russian Grand Prix,5,997,0.0050150451354062,-1
Korean Grand Prix,4,997,0.0040120361083249,-1
Indian Grand Prix,3,997,0.0030090270812437,-1
Azerbaijan Grand Prix,2,997,0.0020060180541624,-1
Pacific Grand Prix,2,997,0.0020060180541624,-1
Luxembourg Grand Prix,2,997,0.0020060180541624,-1
Caesars Palace Grand Prix,2,997,0.0020060180541624,-1
Moroccan Grand Prix,1,997,0.0010030090270812,-1
Dallas Grand Prix,1,997,0.0010030090270812,-1
Pescara Grand Prix,1,997,0.0010030090270812,-1
