Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
5,18,258,0.0697674418604651,-1
"4,7",17,258,0.065891472868217,-1
"4,6",16,258,0.0620155038759689,-1
"5,1",16,258,0.0620155038759689,-1
"4,5",15,258,0.0581395348837209,-1
"4,8",14,258,0.0542635658914728,-1
"4,4",13,258,0.0503875968992248,-1
"4,9",12,258,0.0465116279069767,-1
"4,3",12,258,0.0465116279069767,-1
"5,7",11,258,0.0426356589147286,-1
"5,3",11,258,0.0426356589147286,-1
"5,2",9,258,0.0348837209302325,-1
"5,4",8,258,0.0310077519379844,-1
"5,6",7,258,0.0271317829457364,-1
"4,1",7,258,0.0271317829457364,-1
"5,8",7,258,0.0271317829457364,-1
4,6,258,0.0232558139534883,-1
"5,5",6,258,0.0232558139534883,-1
"4,2",6,258,0.0232558139534883,-1
"5,9",5,258,0.0193798449612403,-1
"6,2",4,258,0.0155038759689922,-1
"6,3",4,258,0.0155038759689922,-1
"6,1",4,258,0.0155038759689922,-1
"6,4",4,258,0.0155038759689922,-1
6,3,258,0.0116279069767441,-1
"3,9",3,258,0.0116279069767441,-1
"8,1",2,258,0.0077519379844961,-1
"6,5",2,258,0.0077519379844961,-1
"3,6",2,258,0.0077519379844961,-1
"7,4",2,258,0.0077519379844961,-1
"3,8",1,258,0.003875968992248,-1
9,1,258,0.003875968992248,-1
"7,9",1,258,0.003875968992248,-1
"3,3",1,258,0.003875968992248,-1
"8,7",1,258,0.003875968992248,-1
"3,7",1,258,0.003875968992248,-1
"9,9",1,258,0.003875968992248,-1
"7,1",1,258,0.003875968992248,-1
"11,5",1,258,0.003875968992248,-1
"6,9",1,258,0.003875968992248,-1
"10,8",1,258,0.003875968992248,-1
"12,2",1,258,0.003875968992248,-1
