Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
California,36247,129971,0.2788852897954159,-1
Washington,8639,129971,0.0664686737810742,-1
Bordeaux,5941,129971,0.0457101968900754,-1
Tuscany,5897,129971,0.0453716598318086,-1
Oregon,5373,129971,0.0413399912288125,-1
Burgundy,3980,129971,0.0306222157250463,-1
Northern Spain,3851,129971,0.0296296866224003,-1
Piedmont,3729,129971,0.028691015688115,-1
Mendoza Province,3264,129971,0.0251132945041586,-1
Veneto,2716,129971,0.0208969693239261,-1
New York,2688,129971,0.0206815366504835,-1
Alsace,2440,129971,0.0187734186857068,-1
Northeastern Italy,2138,129971,0.016449823422148,-1
Loire Valley,1856,129971,0.0142801086396196,-1
Sicily & Sardinia,1797,129971,0.0138261612205799,-1
Champagne,1613,129971,0.0124104607951004,-1
Southwest France,1503,129971,0.0115641181494333,-1
South Australia,1349,129971,0.0103792384454993,-1
Southern Italy,1349,129971,0.0103792384454993,-1
Provence,1346,129971,0.0103561563733448,-1
Douro,1281,129971,0.009856044809996,-1
Central Italy,1233,129971,0.0094867316555231,-1
Catalonia,1164,129971,0.0089558439959683,-1
Rhône Valley,1081,129971,0.0083172399996922,-1
Beaujolais,1044,129971,0.008032561109786,-1
Mosel,1039,129971,0.0079940909895284,-1
Alentejano,937,129971,0.0072093005362734,-1
Colchagua Valley,830,129971,0.0063860399627609,-1
Marlborough,798,129971,0.0061398311931123,-1
Virginia,777,129971,0.0059782566880304,-1
Tejo,683,129971,0.0052550184271876,-1
France Other,676,129971,0.0052011602588269,-1
Burgenland,672,129971,0.0051703841626208,-1
Maipo Valley,659,129971,0.0050703618499511,-1
Languedoc-Roussillon,613,129971,0.0047164367435812,-1
Port,601,129971,0.004624108454963,-1
Casablanca Valley,601,129971,0.004624108454963,-1
Niederösterreich,600,129971,0.0046164144309115,-1
Other,536,129971,0.0041239968916142,-1
Lombardy,533,129971,0.0041009148194597,-1
Lisboa,506,129971,0.0038931761700687,-1
Central Spain,485,129971,0.0037316016649868,-1
Maule Valley,471,129971,0.0036238853282655,-1
Levante,454,129971,0.0034930869193897,-1
Stellenbosch,443,129971,0.0034084526548229,-1
Vinho Verde,410,129971,0.0031545498611228,-1
Galicia,410,129971,0.0031545498611228,-1
Kamptal,409,129971,0.0031468558370713,-1
Central Valley,356,129971,0.0027390725623408,-1
Wachau,353,129971,0.0027159904901862,-1
Dão,343,129971,0.002639050249671,-1
Kremstal,340,129971,0.0026159681775165,-1
Victoria,322,129971,0.0024774757445891,-1
Rheingau,315,129971,0.0024236175762285,-1
Western Australia,286,129971,0.0022004908787344,-1
Western Cape,281,129971,0.0021620207584768,-1
Rheinhessen,281,129971,0.0021620207584768,-1
Galilee,271,129971,0.0020850805179616,-1
Australia Other,245,129971,0.0018850358926222,-1
Curicó Valley,239,129971,0.001838871748313,-1
Leyda Valley,230,129971,0.0017696255318494,-1
Cachapoal Valley,205,129971,0.0015772749305614,-1
Idaho,192,129971,0.0014772526178916,-1
Andalucia,189,129971,0.0014541705457371,-1
Pfalz,187,129971,0.001438782497634,-1
Alentejo,182,129971,0.0014003123773764,-1
Bairrada,167,129971,0.0012849020166037,-1
Central Otago,162,129971,0.0012464318963461,-1
Rapel Valley,162,129971,0.0012464318963461,-1
British Columbia,160,129971,0.001231043848243,-1
Península de Setúbal,152,129971,0.0011694916558309,-1
Hawke's Bay,136,129971,0.0010463872710066,-1
Italy Other,135,129971,0.001038693246955,-1
Coastal Region,132,129971,0.0010156111748005,-1
Thermenregion,128,129971,0.0009848350785944,-1
Aconcagua Valley,116,129971,0.0008925067899762,-1
Judean Hills,116,129971,0.0008925067899762,-1
Michigan,114,129971,0.0008771187418731,-1
Thracian Valley,110,129971,0.0008463426456671,-1
Südsteiermark,109,129971,0.0008386486216155,-1
Limarí Valley,104,129971,0.0008001785013579,-1
Mosel-Saar-Ruwer,104,129971,0.0008001785013579,-1
Carnuntum,103,129971,0.0007924844773064,-1
