Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
60,27953,165808,0.1685865579465405,-1
37,23436,165808,0.1413442053459423,-1
12,21299,165808,0.128455804303773,-1
13,14721,165808,0.0887834121393418,-1
17,10277,165808,0.0619813278008298,-1
27,9900,165808,0.059707613625398,-1
15,7279,165808,0.043900173694876,-1
50,6514,165808,0.0392864035510952,-1
47,5375,165808,0.0324170124481327,-1
16,4774,165808,0.0287923381260252,-1
44,4331,165808,0.0261205731930908,-1
28,4037,165808,0.0243474380005789,-1
20,3023,165808,0.0182319309080382,-1
30,2805,165808,0.0169171571938627,-1
23,2420,165808,0.0145951944417639,-1
33,2246,165808,0.0135457878992569,-1
10,2170,165808,0.0130874264209205,-1
38,1740,165808,0.0104940654250699,-1
11,1706,165808,0.0102890089742352,-1
14,1531,165808,0.0092335713596448,-1
55,1407,165808,0.0084857184213065,-1
18,1029,165808,0.0062059731737913,-1
57,889,165808,0.005361623082119,-1
78,883,165808,0.0053254366496188,-1
80,853,165808,0.0051445044871176,-1
34,785,165808,0.0047343915854482,-1
24,558,165808,0.0033653382225224,-1
22,546,165808,0.0032929653575219,-1
58,257,165808,0.001549985525427,-1
40,212,165808,0.0012785872816751,-1
35,148,165808,0.0008925986683392,-1
36,142,165808,0.000856412235839,-1
48,127,165808,0.0007659461545884,-1
66,89,165808,0.0005367654154202,-1
68,82,165808,0.0004945479108366,-1
56,75,165808,0.000452330406253,-1
88,73,165808,0.0004402682620862,-1
45,27,165808,0.000162838946251,-1
26,24,165808,0.0001447457300009,-1
70,23,165808,0.0001387146579175,-1
25,20,165808,0.0001206214416674,-1
46,11,165808,6.634179291710895e-05,-1
77,11,165808,6.634179291710895e-05,-1
