Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
POWL,104627,3313625,0.0315747859217624,-1
EMBR,102449,3313625,0.0309174997170772,-1
CIVC,102050,3313625,0.0307970877815081,-1
MONT,101753,3313625,0.0307074578445056,-1
16TH,92903,3313625,0.0280366667924101,-1
DBRK,90932,3313625,0.0274418499377569,-1
12TH,90784,3313625,0.0273971858614055,-1
24TH,90205,3313625,0.0272224527518955,-1
19TH,88728,3313625,0.0267767173412803,-1
MCAR,87233,3313625,0.0263255498132709,-1
FTVL,86874,3313625,0.0262172092496887,-1
SFIA,85608,3313625,0.0258351503263042,-1
COLS,82197,3313625,0.0248057640801237,-1
DELN,81360,3313625,0.0245531706212984,-1
FRMT,78514,3313625,0.0236942925044324,-1
LAKE,78480,3313625,0.0236840318382436,-1
SANL,78119,3313625,0.023575087706062,-1
BALB,78062,3313625,0.0235578860009808,-1
PITT,76346,3313625,0.0230400241427439,-1
GLEN,75719,3313625,0.0228508053868497,-1
DALY,73957,3313625,0.022319061450828,-1
HAYW,73865,3313625,0.0222912972952582,-1
BAYF,73851,3313625,0.0222870723150628,-1
CONC,73438,3313625,0.0221624353992983,-1
WCRK,71607,3313625,0.0216098683465992,-1
ASHB,71511,3313625,0.0215808970538307,-1
RICH,70234,3313625,0.0211955185031498,-1
DUBL,69348,3313625,0.0209281376136406,-1
WOAK,69032,3313625,0.0208327737749443,-1
ROCK,66619,3313625,0.0201045682598362,-1
PHIL,66259,3313625,0.0199959259119544,-1
NBRK,65768,3313625,0.0198477498208155,-1
PLZA,65166,3313625,0.0196660756724131,-1
MLBR,64447,3313625,0.0194490927609491,-1
UCTY,63649,3313625,0.019208268889811,-1
SBRN,58741,3313625,0.0177271115470217,-1
SHAY,57023,3313625,0.0172086461201856,-1
WDUB,52651,3313625,0.0158892451620204,-1
COLM,51875,3313625,0.0156550605454751,-1
SSAN,51439,3313625,0.0155234825908182,-1
LAFY,49315,3313625,0.0148824927383152,-1
CAST,49069,3313625,0.014808253800596,-1
OAKL,47570,3313625,0.0143558791353879,-1
ORIN,44688,3313625,0.0134861367837338,-1
NCON,43040,3313625,0.0129887962578746,-1
WSPR,16520,3313625,0.0049854766305782,-1
