Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
POWL,106792,3313625,0.0322281489305518,-1
CIVC,104383,3313625,0.0315011505526425,-1
EMBR,104273,3313625,0.0314679542796786,-1
MONT,103262,3313625,0.0311628503527104,-1
16TH,94780,3313625,0.0286031159228941,-1
DBRK,93035,3313625,0.0280765023199668,-1
24TH,92710,3313625,0.0279784224225734,-1
12TH,92691,3313625,0.0279726885208797,-1
19TH,91373,3313625,0.0275749368139122,-1
SFIA,89351,3313625,0.0269647289599758,-1
MCAR,88353,3313625,0.0266635482289033,-1
DALY,84204,3313625,0.025411445169565,-1
FTVL,83757,3313625,0.0252765475876117,-1
COLS,81219,3313625,0.0245106190350447,-1
BALB,81162,3313625,0.0244934173299634,-1
DELN,79246,3313625,0.0239151986117922,-1
LAKE,77960,3313625,0.0235271040024142,-1
FRMT,77602,3313625,0.0234190652231317,-1
GLEN,75825,3313625,0.0228827945226149,-1
SANL,74780,3313625,0.0225674299294579,-1
PITT,72983,3313625,0.0220251235429476,-1
BAYF,72431,3313625,0.0218585386095288,-1
ASHB,71713,3313625,0.0216418574823644,-1
HAYW,71505,3313625,0.0215790863480327,-1
CONC,71328,3313625,0.0215256705269908,-1
WCRK,70235,3313625,0.0211958202874495,-1
WOAK,69362,3313625,0.020932362593836,-1
RICH,68299,3313625,0.0206115658832849,-1
DUBL,68063,3313625,0.0205403447885623,-1
ROCK,67192,3313625,0.0202774906635482,-1
NBRK,64968,3313625,0.0196063223810781,-1
PLZA,64459,3313625,0.0194527141725451,-1
PHIL,64097,3313625,0.0193434682560639,-1
MLBR,63591,3313625,0.01919076540043,-1
UCTY,60717,3313625,0.0183234373231732,-1
SBRN,57350,3313625,0.0173073295861782,-1
SHAY,55181,3313625,0.0166527594401901,-1
OAKL,53384,3313625,0.0161104530536798,-1
COLM,51983,3313625,0.0156876532498396,-1
WDUB,50656,3313625,0.0152871854841751,-1
SSAN,49944,3313625,0.0150723150628088,-1
LAFY,48697,3313625,0.0146959900411181,-1
CAST,48140,3313625,0.0145278961862009,-1
ORIN,44312,3313625,0.0133726658870572,-1
NCON,40873,3313625,0.0123348296804858,-1
WSPR,15404,3313625,0.0046486853521445,-1
