Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
4,946,100048,0.0094554613785383,-1
5,378,100048,0.0037781864704941,-1
1,373,100048,0.0037282104589796,-1
3,373,100048,0.0037282104589796,-1
2,346,100048,0.0034583399968015,-1
9,286,100048,0.0028586278586278,-1
6,167,100048,0.0016691987845834,-1
11,128,100048,0.0012793858947705,-1
7,119,100048,0.0011894290740444,-1
15,63,100048,0.0006296977450823,-1
10,57,100048,0.0005697265312649,-1
17,52,100048,0.0005197505197505,-1
19,33,100048,0.0003298416759955,-1
13,32,100048,0.0003198464736926,-1
"7,8",32,100048,0.0003198464736926,-1
8,31,100048,0.0003098512713897,-1
12,30,100048,0.0002998560690868,-1
21,24,100048,0.0002398848552694,-1
26,21,100048,0.0002098992483607,-1
16,19,100048,0.0001899088437549,-1
25,18,100048,0.0001799136414521,-1
"17,25",15,100048,0.0001499280345434,-1
27,14,100048,0.0001399328322405,-1
18,13,100048,0.0001299376299376,-1
"15,16",11,100048,0.0001099472253318,-1
24,10,100048,9.995202302894612e-05,-1
20,9,100048,8.99568207260515e-05,-1
22,9,100048,8.99568207260515e-05,-1
29,8,100048,7.996161842315688e-05,-1
14,8,100048,7.996161842315688e-05,-1
"22,23",7,100048,6.996641612026227e-05,-1
30,6,100048,5.997121381736767e-05,-1
23,6,100048,5.997121381736767e-05,-1
28,5,100048,4.997601151447306e-05,-1
"21,23",5,100048,4.997601151447306e-05,-1
"15,25",3,100048,2.998560690868384e-05,-1
"11,12",3,100048,2.998560690868384e-05,-1
"4,11",3,100048,2.998560690868384e-05,-1
"20,21",2,100048,1.999040460578922e-05,-1
"1,14",1,100048,9.99520230289461e-06,-1
"19,29",1,100048,9.99520230289461e-06,-1
"4,11,14",1,100048,9.99520230289461e-06,-1
"1,11",1,100048,9.99520230289461e-06,-1
"1,9",1,100048,9.99520230289461e-06,-1
"5,6",1,100048,9.99520230289461e-06,-1
"6,30",1,100048,9.99520230289461e-06,-1
"9,10",1,100048,9.99520230289461e-06,-1
"4,5",1,100048,9.99520230289461e-06,-1
"5,11",1,100048,9.99520230289461e-06,-1
