Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
520,25232,165808,0.1521760108076811,-1
490,12294,165808,0.0741460001929943,-1
475,12253,165808,0.0738987262375759,-1
625,12019,165808,0.0724874553700665,-1
560,10887,165808,0.0656602817716877,-1
651,9290,165808,0.0560286596545401,-1
516,7396,165808,0.0446058091286307,-1
620,6532,165808,0.0393949628485959,-1
552,6002,165808,0.0361984946444079,-1
501,5812,165808,0.035052590948567,-1
615,5309,165808,0.0320189616906301,-1
500,5184,165808,0.0312650776802084,-1
626,5143,165808,0.0310178037247901,-1
530,5035,165808,0.0303664479397857,-1
451,4673,165808,0.0281831998456045,-1
616,4493,165808,0.0270976068705973,-1
482,3973,165808,0.023961449387243,-1
540,3181,165808,0.0191848402972112,-1
437,1804,165808,0.0108800540384058,-1
432,1753,165808,0.0105724693621538,-1
450,1369,165808,0.0082565376821383,-1
600,1355,165808,0.0081721026729711,-1
551,1289,165808,0.0077740519154684,-1
433,1132,165808,0.0068271735983788,-1
580,1064,165808,0.0064170606967094,-1
439,1032,165808,0.0062240663900414,-1
471,937,165808,0.005651114542121,-1
438,894,165808,0.0053917784425359,-1
541,887,165808,0.0053495609379523,-1
565,754,165808,0.0045474283508636,-1
510,743,165808,0.0044810865579465,-1
483,731,165808,0.004408713692946,-1
452,671,165808,0.0040468493679436,-1
436,661,165808,0.0039865386471099,-1
517,633,165808,0.0038176686287754,-1
484,473,165808,0.0028526970954356,-1
435,467,165808,0.0028165106629354,-1
553,433,165808,0.0026114542121007,-1
531,408,165808,0.0024606774100164,-1
461,258,165808,0.0015560165975103,-1
404,233,165808,0.001405239795426,-1
481,215,165808,0.0012966804979253,-1
572,198,165808,0.0011941522725079,-1
420,190,165808,0.0011459036958409,-1
434,187,165808,0.0011278104795908,-1
570,118,165808,0.000711666505838,-1
522,112,165808,0.0006754800733378,-1
571,53,165808,0.0003196468204187,-1
411,46,165808,0.0002774293158351,-1
