Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Somalia,25232,165808,0.1521760108076811,-1
Democratic Republic of Congo,12294,165808,0.0741460001929943,-1
Nigeria,12253,165808,0.0738987262375759,-1
Sudan,12018,165808,0.0724814242979832,-1
South Africa,10887,165808,0.0656602817716877,-1
Egypt,9290,165808,0.0560286596545401,-1
Burundi,7396,165808,0.0446058091286307,-1
Libya,6532,165808,0.0393949628485959,-1
Zimbabwe,6001,165808,0.0361924635723246,-1
Kenya,5812,165808,0.035052590948567,-1
Algeria,5309,165808,0.0320189616906301,-1
Uganda,5185,165808,0.0312711087522918,-1
South Sudan,5144,165808,0.0310238347968734,-1
Ethiopia,5035,165808,0.0303664479397857,-1
Sierra Leone,4669,165808,0.028159075557271,-1
Tunisia,4493,165808,0.0270976068705973,-1
Central African Republic,3973,165808,0.023961449387243,-1
Angola,3181,165808,0.0191848402972112,-1
Ivory Coast,1804,165808,0.0108800540384058,-1
Mali,1753,165808,0.0105724693621538,-1
Liberia,1369,165808,0.0082565376821383,-1
Morocco,1355,165808,0.0081721026729711,-1
Zambia,1289,165808,0.0077740519154684,-1
Senegal,1132,165808,0.0068271735983788,-1
Madagascar,1064,165808,0.0064170606967094,-1
Burkina Faso,1032,165808,0.0062240663900414,-1
Cameroon,937,165808,0.005651114542121,-1
Guinea,894,165808,0.0053917784425359,-1
Mozambique,886,165808,0.0053435298658689,-1
Namibia,754,165808,0.0045474283508636,-1
Tanzania,746,165808,0.0044991797741966,-1
Chad,732,165808,0.0044147447650294,-1
Ghana,671,165808,0.0040468493679436,-1
Niger,660,165808,0.0039805075750265,-1
Rwanda,633,165808,0.0038176686287754,-1
Republic of Congo,473,165808,0.0028526970954356,-1
Mauritania,467,165808,0.0028165106629354,-1
Malawi,434,165808,0.0026174852841841,-1
Eritrea,408,165808,0.0024606774100164,-1
Togo,258,165808,0.0015560165975103,-1
Guinea-Bissau,233,165808,0.001405239795426,-1
Gabon,215,165808,0.0012966804979253,-1
Swaziland,198,165808,0.0011941522725079,-1
Gambia,190,165808,0.0011459036958409,-1
Benin,187,165808,0.0011278104795908,-1
Lesotho,118,165808,0.000711666505838,-1
Djibouti,112,165808,0.0006754800733378,-1
Botswana,53,165808,0.0003196468204187,-1
Equatorial Guinea,46,165808,0.0002774293158351,-1
Mozambique ,1,165808,6.031072083373541e-06,-1
