Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CA,240,2720,0.088235294117647,-1
TX,128,2720,0.0470588235294117,-1
IL,128,2720,0.0470588235294117,-1
MN,112,2720,0.0411764705882352,-1
NY,112,2720,0.0411764705882352,-1
MO,96,2720,0.0352941176470588,-1
LA,96,2720,0.0352941176470588,-1
WA,80,2720,0.0294117647058823,-1
OH,80,2720,0.0294117647058823,-1
MI,80,2720,0.0294117647058823,-1
CO,80,2720,0.0294117647058823,-1
PA,64,2720,0.0235294117647058,-1
GA,64,2720,0.0235294117647058,-1
MD,64,2720,0.0235294117647058,-1
CT,64,2720,0.0235294117647058,-1
AZ,64,2720,0.0235294117647058,-1
FL,48,2720,0.0176470588235294,-1
MA,48,2720,0.0176470588235294,-1
OK,48,2720,0.0176470588235294,-1
WI,48,2720,0.0176470588235294,-1
NE,48,2720,0.0176470588235294,-1
NJ,48,2720,0.0176470588235294,-1
RI,48,2720,0.0176470588235294,-1
AL,48,2720,0.0176470588235294,-1
VA,48,2720,0.0176470588235294,-1
KY,48,2720,0.0176470588235294,-1
TN,48,2720,0.0176470588235294,-1
DC,32,2720,0.0117647058823529,-1
NC,32,2720,0.0117647058823529,-1
NV,32,2720,0.0117647058823529,-1
AK,32,2720,0.0117647058823529,-1
OR,32,2720,0.0117647058823529,-1
IN,32,2720,0.0117647058823529,-1
NM,32,2720,0.0117647058823529,-1
AR,32,2720,0.0117647058823529,-1
VT,32,2720,0.0117647058823529,-1
ME,32,2720,0.0117647058823529,-1
IA,32,2720,0.0117647058823529,-1
SC,32,2720,0.0117647058823529,-1
WV,32,2720,0.0117647058823529,-1
ND,32,2720,0.0117647058823529,-1
UT,32,2720,0.0117647058823529,-1
MT,32,2720,0.0117647058823529,-1
DE,16,2720,0.0058823529411764,-1
SD,16,2720,0.0058823529411764,-1
WY,16,2720,0.0058823529411764,-1
ID,16,2720,0.0058823529411764,-1
MS,16,2720,0.0058823529411764,-1
KS,16,2720,0.0058823529411764,-1
NH,16,2720,0.0058823529411764,-1
HI,16,2720,0.0058823529411764,-1
