Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
California,240,2720,0.088235294117647,-1
Illinois,128,2720,0.0470588235294117,-1
Texas,128,2720,0.0470588235294117,-1
New York,112,2720,0.0411764705882352,-1
Minnesota,112,2720,0.0411764705882352,-1
Missouri,96,2720,0.0352941176470588,-1
Louisiana,96,2720,0.0352941176470588,-1
Washington,80,2720,0.0294117647058823,-1
Ohio,80,2720,0.0294117647058823,-1
Colorado,80,2720,0.0294117647058823,-1
Michigan,80,2720,0.0294117647058823,-1
Georgia,64,2720,0.0235294117647058,-1
Connecticut,64,2720,0.0235294117647058,-1
Maryland,64,2720,0.0235294117647058,-1
Arizona,64,2720,0.0235294117647058,-1
Pennsylvania,64,2720,0.0235294117647058,-1
Oklahoma,48,2720,0.0176470588235294,-1
Massachusetts,48,2720,0.0176470588235294,-1
Nebraska,48,2720,0.0176470588235294,-1
Rhode Island,48,2720,0.0176470588235294,-1
New Jersey,48,2720,0.0176470588235294,-1
Tennessee,48,2720,0.0176470588235294,-1
Florida,48,2720,0.0176470588235294,-1
Wisconsin,48,2720,0.0176470588235294,-1
Kentucky,48,2720,0.0176470588235294,-1
Virginia,48,2720,0.0176470588235294,-1
Alabama,48,2720,0.0176470588235294,-1
Nevada,32,2720,0.0117647058823529,-1
Alaska,32,2720,0.0117647058823529,-1
Indiana,32,2720,0.0117647058823529,-1
New Mexico,32,2720,0.0117647058823529,-1
West Virginia,32,2720,0.0117647058823529,-1
Montana,32,2720,0.0117647058823529,-1
Maine,32,2720,0.0117647058823529,-1
Oregon,32,2720,0.0117647058823529,-1
South Carolina,32,2720,0.0117647058823529,-1
Arkansas,32,2720,0.0117647058823529,-1
Vermont,32,2720,0.0117647058823529,-1
North Carolina,32,2720,0.0117647058823529,-1
Iowa,32,2720,0.0117647058823529,-1
Utah,32,2720,0.0117647058823529,-1
District of Columbia,32,2720,0.0117647058823529,-1
North Dakota,32,2720,0.0117647058823529,-1
Wyoming,16,2720,0.0058823529411764,-1
New Hampshire,16,2720,0.0058823529411764,-1
Mississippi,16,2720,0.0058823529411764,-1
South Dakota,16,2720,0.0058823529411764,-1
Idaho,16,2720,0.0058823529411764,-1
Kansas,16,2720,0.0058823529411764,-1
Delaware,16,2720,0.0058823529411764,-1
Hawaii,16,2720,0.0058823529411764,-1
