Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
6,1699,21112,0.0804755589238347,-1
48,1440,21112,0.0682076544145509,-1
36,1262,21112,0.0597764304660856,-1
42,1005,21112,0.0476032588101553,-1
12,970,21112,0.0459454338764683,-1
17,940,21112,0.0445244410761652,-1
39,871,21112,0.0412561576354679,-1
1,820,21112,0.0388404698749526,-1
26,677,21112,0.0320670708601743,-1
37,577,21112,0.0273304281924971,-1
34,526,21112,0.0249147404319818,-1
29,516,21112,0.024441076165214,-1
13,512,21112,0.024251610458507,-1
51,485,21112,0.0229727169382341,-1
55,463,21112,0.0219306555513452,-1
27,463,21112,0.0219306555513452,-1
18,458,21112,0.0216938234179613,-1
53,439,21112,0.0207938613111026,-1
19,389,21112,0.0184255399772641,-1
4,378,21112,0.0179045092838196,-1
47,375,21112,0.0177624100037893,-1
25,372,21112,0.0176203107237589,-1
24,371,21112,0.0175729442970822,-1
40,358,21112,0.0169571807502841,-1
8,336,21112,0.0159151193633952,-1
21,333,21112,0.0157730200833649,-1
22,329,21112,0.0155835543766578,-1
20,295,21112,0.0139730958696475,-1
45,294,21112,0.0139257294429708,-1
5,254,21112,0.0120310723758999,-1
41,254,21112,0.0120310723758999,-1
72,229,21112,0.0108469117089806,-1
31,226,21112,0.0107048124289503,-1
28,217,21112,0.0102785145888594,-1
9,199,21112,0.0094259189086775,-1
35,188,21112,0.008904888215233,-1
49,180,21112,0.0085259568018188,-1
32,152,21112,0.0071996968548692,-1
54,151,21112,0.0071523304281924,-1
30,130,21112,0.0061576354679802,-1
46,124,21112,0.0058734369079196,-1
38,121,21112,0.0057313376278893,-1
16,110,21112,0.0052103069344448,-1
2,106,21112,0.0050208412277377,-1
23,98,21112,0.0046419098143236,-1
15,92,21112,0.0043577112542629,-1
33,80,21112,0.0037893141341417,-1
50,60,21112,0.0028419856006062,-1
44,60,21112,0.0028419856006062,-1
10,56,21112,0.0026525198938992,-1
56,41,21112,0.0019420234937476,-1
11,31,21112,0.0014683592269799,-1
