Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CA,1699,21112,0.0804755589238347,-1
TX,1440,21112,0.0682076544145509,-1
NY,1262,21112,0.0597764304660856,-1
PA,1005,21112,0.0476032588101553,-1
FL,970,21112,0.0459454338764683,-1
IL,940,21112,0.0445244410761652,-1
OH,871,21112,0.0412561576354679,-1
AL,820,21112,0.0388404698749526,-1
MI,677,21112,0.0320670708601743,-1
NC,577,21112,0.0273304281924971,-1
NJ,526,21112,0.0249147404319818,-1
MO,516,21112,0.024441076165214,-1
GA,512,21112,0.024251610458507,-1
VA,485,21112,0.0229727169382341,-1
WI,463,21112,0.0219306555513452,-1
MN,463,21112,0.0219306555513452,-1
IN,458,21112,0.0216938234179613,-1
WA,439,21112,0.0207938613111026,-1
IA,389,21112,0.0184255399772641,-1
AZ,378,21112,0.0179045092838196,-1
TN,375,21112,0.0177624100037893,-1
MA,372,21112,0.0176203107237589,-1
MD,371,21112,0.0175729442970822,-1
OK,358,21112,0.0169571807502841,-1
CO,336,21112,0.0159151193633952,-1
KY,333,21112,0.0157730200833649,-1
LA,329,21112,0.0155835543766578,-1
KS,295,21112,0.0139730958696475,-1
SC,294,21112,0.0139257294429708,-1
AR,254,21112,0.0120310723758999,-1
OR,254,21112,0.0120310723758999,-1
PR,229,21112,0.0108469117089806,-1
NE,226,21112,0.0107048124289503,-1
MS,217,21112,0.0102785145888594,-1
CT,199,21112,0.0094259189086775,-1
NM,188,21112,0.008904888215233,-1
UT,180,21112,0.0085259568018188,-1
NV,152,21112,0.0071996968548692,-1
WV,151,21112,0.0071523304281924,-1
MT,130,21112,0.0061576354679802,-1
SD,124,21112,0.0058734369079196,-1
ND,121,21112,0.0057313376278893,-1
ID,110,21112,0.0052103069344448,-1
AK,106,21112,0.0050208412277377,-1
ME,98,21112,0.0046419098143236,-1
HI,92,21112,0.0043577112542629,-1
NH,80,21112,0.0037893141341417,-1
RI,60,21112,0.0028419856006062,-1
VT,60,21112,0.0028419856006062,-1
DE,56,21112,0.0026525198938992,-1
WY,41,21112,0.0019420234937476,-1
DC,31,21112,0.0014683592269799,-1
