Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Walk Up,282170,649231,0.4346218834282405,-1
Local365,126517,649231,0.1948720871307747,-1
24-Hour Kiosk (Austin B-cycle),108672,649231,0.1673857224932266,-1
Local30,37061,649231,0.0570844583823015,-1
Annual Membership (Austin B-cycle),30306,649231,0.0466798412275445,-1
Weekender,24614,649231,0.0379125457656827,-1
Explorer,8246,649231,0.0127011803194856,-1
Local365 ($80 plus tax),4005,649231,0.0061688366698447,-1
Founding Member,3550,649231,0.0054680075350684,-1
7-Day,3137,649231,0.0048318703204252,-1
Founding Member (Austin B-cycle),2764,649231,0.0042573444582898,-1
7-Day Membership (Austin B-cycle),2760,649231,0.0042511833230391,-1
Local365+Guest Pass,2567,649231,0.0039539085471889,-1
Semester Membership (Austin B-cycle),2426,649231,0.0037367285295988,-1
Semester Membership,900,649231,0.0013862554314257,-1
Local30 ($11 plus tax),840,649231,0.001293838402664,-1
Annual,799,649231,0.0012306867663435,-1
24-Hour-Online (Austin B-cycle),737,649231,0.0011351891699564,-1
Weekender ($15 plus tax),566,649231,0.0008718006379855,-1
Try Before You Buy Special,520,649231,0.0008009475826015,-1
Annual (San Antonio B-cycle),402,649231,0.0006191940927035,-1
RideScout Single Ride,398,649231,0.0006130329574527,-1
Annual Membership,354,649231,0.0005452604696941,-1
ACL Weekend Pass Special (Austin B-cycle),329,649231,0.0005067533743767,-1
Annual Member,326,649231,0.0005021325229386,-1
Annual Member (Houston B-cycle),296,649231,0.0004559240085578,-1
Annual Membership (Fort Worth Bike Sharing),266,649231,0.0004097154941769,-1
Annual (Denver B-cycle),232,649231,0.0003573458445453,-1
Explorer ($8 plus tax),186,649231,0.0002864927891613,-1
Annual (Madison B-cycle),165,649231,0.0002541468290947,-1
Annual (Broward B-cycle),142,649231,0.0002187203014027,-1
Annual Plus,132,649231,0.0002033174632757,-1
Annual (Denver Bike Sharing),131,649231,0.000201777179463,-1
Annual (Boulder B-cycle),129,649231,0.0001986966118376,-1
Local365 Youth with helmet (age 13-17 riders),97,649231,0.0001494075298314,-1
Republic Rider (Annual),73,649231,0.0001124407183267,-1
Annual Membership (GREENbike),71,649231,0.0001093601507013,-1
Annual (Cincy Red Bike),51,649231,7.855447444746171e-05,-1
Annual (Kansas City B-cycle),51,649231,7.855447444746171e-05,-1
Annual (Nashville B-cycle),27,649231,4.158766294277384e-05,-1
FunFunFun Fest 3 Day Pass,27,649231,4.158766294277384e-05,-1
Annual Membership (Charlotte B-cycle),22,649231,3.38862438792972e-05,-1
Republic Rider,17,649231,2.618482481582056e-05,-1
Annual Pass,15,649231,2.310425719042991e-05,-1
Membership: pay once  one-year commitment,13,649231,2.0023689565039253e-05,-1
Denver B-cycle Founder,10,649231,1.5402838126953273e-05,-1
Annual Membership (Indy - Pacers Bikeshare ),10,649231,1.5402838126953273e-05,-1
RESTRICTED,10,649231,1.5402838126953273e-05,-1
PROHIBITED,8,649231,1.2322270501562618e-05,-1
Local365 Youth (age 13-17 riders),3,649231,4.620851438085982e-06,-1
Annual (Omaha B-cycle),3,649231,4.620851438085982e-06,-1
24-Hour Membership (Austin B-cycle),1,649231,1.5402838126953273e-06,-1
