Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
KY,7779,403984,0.0192557130975484,-1
NV,7779,403984,0.0192557130975484,-1
WI,7779,403984,0.0192557130975484,-1
NJ,7779,403984,0.0192557130975484,-1
SC,7779,403984,0.0192557130975484,-1
NC,7779,403984,0.0192557130975484,-1
NE,7779,403984,0.0192557130975484,-1
NY,7778,403984,0.0192532377519901,-1
AZ,7747,403984,0.0191765020396847,-1
FL,7747,403984,0.0191765020396847,-1
IA,7746,403984,0.0191740266941265,-1
VT,7732,403984,0.0191393718563111,-1
HI,7688,403984,0.0190304566517485,-1
OR,7680,403984,0.0190106538872826,-1
SD,7680,403984,0.0190106538872826,-1
NM,7680,403984,0.0190106538872826,-1
MI,7680,403984,0.0190106538872826,-1
WA,7680,403984,0.0190106538872826,-1
WV,7680,403984,0.0190106538872826,-1
AR,7648,403984,0.0189314428294189,-1
CO,7647,403984,0.0189289674838607,-1
RI,7575,403984,0.0187507426036674,-1
MD,7575,403984,0.0187507426036674,-1
UT,7575,403984,0.0187507426036674,-1
MA,7574,403984,0.0187482672581092,-1
CA,7542,403984,0.0186690562002455,-1
MS,7533,403984,0.0186467780902214,-1
ND,7386,403984,0.0182829022931601,-1
KS,7386,403984,0.0182829022931601,-1
LA,7386,403984,0.0182829022931601,-1
TX,7386,403984,0.0182829022931601,-1
OK,7386,403984,0.0182829022931601,-1
WY,7386,403984,0.0182829022931601,-1
OH,7386,403984,0.0182829022931601,-1
VA,7386,403984,0.0182829022931601,-1
MO,7386,403984,0.0182829022931601,-1
PA,7386,403984,0.0182829022931601,-1
MT,7386,403984,0.0182829022931601,-1
MN,7385,403984,0.0182804269476018,-1
IN,7385,403984,0.0182804269476018,-1
ME,7384,403984,0.0182779516020436,-1
TN,7384,403984,0.0182779516020436,-1
NH,7383,403984,0.0182754762564854,-1
IL,7354,403984,0.0182036912352964,-1
AK,7354,403984,0.0182036912352964,-1
ID,7354,403984,0.0182036912352964,-1
GA,7354,403984,0.0182036912352964,-1
AL,7354,403984,0.0182036912352964,-1
CT,7353,403984,0.0182012158897382,-1
DC,7352,403984,0.0181987405441799,-1
DE,7351,403984,0.0181962651986217,-1
PR,5635,403984,0.013948572220682,-1
GU,5597,403984,0.0138545090894688,-1
VI,5551,403984,0.0137406431937898,-1
US,2568,403984,0.0063566873935601,-1
