Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
US,9468,11106,0.8525121555915721,-1
NE,104,11106,0.0093643075814874,-1
SO,78,11106,0.0070232306861156,-1
MW,78,11106,0.0070232306861156,-1
WE,78,11106,0.0070232306861156,-1
TN,26,11106,0.0023410768953718,-1
FL,26,11106,0.0023410768953718,-1
CA,26,11106,0.0023410768953718,-1
NH,26,11106,0.0023410768953718,-1
AK,26,11106,0.0023410768953718,-1
MD,26,11106,0.0023410768953718,-1
LA,26,11106,0.0023410768953718,-1
NC,26,11106,0.0023410768953718,-1
MA,26,11106,0.0023410768953718,-1
MO,26,11106,0.0023410768953718,-1
NJ,26,11106,0.0023410768953718,-1
WI,26,11106,0.0023410768953718,-1
ND,26,11106,0.0023410768953718,-1
OK,26,11106,0.0023410768953718,-1
RI,26,11106,0.0023410768953718,-1
NV,26,11106,0.0023410768953718,-1
OR,26,11106,0.0023410768953718,-1
AZ,26,11106,0.0023410768953718,-1
PA,26,11106,0.0023410768953718,-1
NY,26,11106,0.0023410768953718,-1
SC,26,11106,0.0023410768953718,-1
WV,26,11106,0.0023410768953718,-1
AR,26,11106,0.0023410768953718,-1
HI,26,11106,0.0023410768953718,-1
CT,26,11106,0.0023410768953718,-1
OH,26,11106,0.0023410768953718,-1
NM,26,11106,0.0023410768953718,-1
MN,26,11106,0.0023410768953718,-1
AL,26,11106,0.0023410768953718,-1
ID,26,11106,0.0023410768953718,-1
ME,26,11106,0.0023410768953718,-1
TX,26,11106,0.0023410768953718,-1
DE,26,11106,0.0023410768953718,-1
CO,26,11106,0.0023410768953718,-1
MS,26,11106,0.0023410768953718,-1
MT,26,11106,0.0023410768953718,-1
UT,26,11106,0.0023410768953718,-1
KY,26,11106,0.0023410768953718,-1
VA,26,11106,0.0023410768953718,-1
VT,26,11106,0.0023410768953718,-1
IA,26,11106,0.0023410768953718,-1
SD,26,11106,0.0023410768953718,-1
IN,26,11106,0.0023410768953718,-1
GA,26,11106,0.0023410768953718,-1
WY,26,11106,0.0023410768953718,-1
DC,26,11106,0.0023410768953718,-1
IL,26,11106,0.0023410768953718,-1
KS,26,11106,0.0023410768953718,-1
WA,26,11106,0.0023410768953718,-1
MI,26,11106,0.0023410768953718,-1
