Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CA,117835,943111,0.1249428752288967,-1
FL,75794,943111,0.0803659378376458,-1
TX,67079,943111,0.0711252440062728,-1
NY,52601,943111,0.0557739226877854,-1
PA,40324,943111,0.0427563669599866,-1
IL,35793,943111,0.0379520544241345,-1
GA,35580,943111,0.0377262061411647,-1
MD,34471,943111,0.0365503106209131,-1
VA,29568,943111,0.0313515588302967,-1
OH,29483,943111,0.0312614315812242,-1
NJ,28520,943111,0.0302403428652618,-1
WA,26678,943111,0.0282872323618322,-1
MI,26629,943111,0.0282352766535434,-1
NC,24962,943111,0.0264677222511454,-1
CO,22798,943111,0.0241731885218176,-1
AZ,21594,943111,0.0228965625467203,-1
TN,20988,943111,0.0222540082768624,-1
MA,20356,943111,0.021583885671994,-1
MN,14931,943111,0.0158316465400149,-1
IN,14929,943111,0.0158295258988602,-1
OR,14599,943111,0.0154796201083435,-1
MO,13349,943111,0.0141542193866893,-1
WI,12974,943111,0.0137565991701931,-1
CT,12584,943111,0.013343074145037,-1
AL,11626,943111,0.0123272870319612,-1
SC,11538,943111,0.0122339788211567,-1
KY,10606,943111,0.0112457600430914,-1
OK,10002,943111,0.0106053264143881,-1
LA,9382,943111,0.0099479276564476,-1
NV,8571,943111,0.0090880076682384,-1
UT,7630,943111,0.0080902460049771,-1
KS,7146,943111,0.0075770508455526,-1
IA,7040,943111,0.0074646568643563,-1
AR,6370,943111,0.0067542420775497,-1
MS,5905,943111,0.0062611930090943,-1
NM,5551,943111,0.0058858395247219,-1
NE,4986,943111,0.0052867583985342,-1
WV,4793,943111,0.0050821165271108,-1
DC,4789,943111,0.0050778752448015,-1
NH,4158,943111,0.0044088129605104,-1
ID,3984,943111,0.0042243171800562,-1
DE,3379,943111,0.0035828232307755,-1
ME,3294,943111,0.0034926959817031,-1
MT,2615,943111,0.0027727383097005,-1
RI,2547,943111,0.0027006365104425,-1
HI,2104,943111,0.0022309144946883,-1
PR,1718,943111,0.0018216307518415,-1
VT,1623,943111,0.0017209002969957,-1
AK,1540,943111,0.0016328936890779,-1
SD,1463,943111,0.001551249004624,-1
WY,1246,943111,0.0013211594393448,-1
ND,1171,943111,0.0012416353960456,-1
AS,98,943111,0.0001039114165776,-1
VI,89,943111,9.436853138177796e-05,-1
GU,55,943111,5.8317631752784144e-05,-1
MP,21,943111,2.2266732123790307e-05,-1
