Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Information Technology Broadcasting and Telecommunications,32681,346018,0.0944488437017727,-1
Food Beverage and Tobacco Products,27875,346018,0.080559392863955,-1
Office Equipment and Accessories and Supplies,27745,346018,0.0801836898658451,-1
Engineering and Research and Technology Based Services,17350,346018,0.050141900132363,-1
Medical Equipment and Accessories and Supplies,16491,346018,0.0476593703217751,-1
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,16029,346018,0.0463241796669537,-1
Paper Materials and Products,11235,346018,0.0324694091058846,-1
Commercial and Military and Private Vehicles and their Accessories and Components,10965,346018,0.0316891028790409,-1
Education and Training Services,10643,346018,0.0307585154529533,-1
Defense and Law Enforcement and Security and Safety Equipment and Supplies,10196,346018,0.0294666751440676,-1
Management and Business Professionals and Administrative Services,9532,346018,0.0275476998306446,-1
Healthcare Services,7977,346018,0.0230537139686374,-1
Furniture and Furnishings,7521,346018,0.0217358634521903,-1
Laboratory and Measuring and Observing and Testing Equipment,6998,346018,0.0202243813905634,-1
Industrial Cleaning Services,6700,346018,0.019363154517973,-1
Structures and Building and Construction and Manufacturing Components and Supplies,6603,346018,0.0190828222809218,-1
Building and Facility Construction and Maintenance Services,6529,346018,0.0188689605743053,-1
Power Generation and Distribution Machinery and Accessories,6493,346018,0.0187649197440595,-1
Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,5844,346018,0.0168892947765723,-1
Transportation and Storage and Mail Services,5740,346018,0.0165887323780843,-1
Electrical Systems and Lighting and Components and Accessories and Supplies,5725,346018,0.0165453820321486,-1
Politics and Civic Affairs Services,5724,346018,0.0165424920090862,-1
Manufacturing Components and Supplies,5459,346018,0.0157766358975544,-1
Published Products,5276,346018,0.0152477616771381,-1
Distribution and Conditioning Systems and Equipment and Components,5164,346018,0.0149240790941511,-1
Apparel and Luggage and Personal Care Products,4726,346018,0.0136582489928269,-1
Cleaning Equipment and Supplies,4362,346018,0.0126062805981191,-1
Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies,4042,346018,0.0116814732181562,-1
Domestic Appliances and Supplies and Consumer Electronic Products,3665,346018,0.0105919345236375,-1
Tools and General Machinery,3639,346018,0.0105167939240155,-1
Live Plant and Animal Material and Accessories and Supplies,3299,346018,0.0095341860828049,-1
Mining and Well Drilling Machinery and Accessories,3060,346018,0.0088434705708951,-1
Industrial Manufacturing and Processing Machinery and Accessories,2920,346018,0.0084388673421613,-1
Industrial Production and Manufacturing Services,2724,346018,0.0078724228219341,-1
Chemicals including Bio Chemicals and Gas Materials,2402,346018,0.0069418353958464,-1
Editorial and Design and Graphic and Fine Art Services,2387,346018,0.0068984850499106,-1
Printing and Photographic and Audio and Visual Equipment and Supplies,2274,346018,0.0065719124438613,-1
Mineral and Textile and Inedible Plant and Animal Materials,2203,346018,0.006366720806432,-1
National Defense and Public Order and Security and Safety Services,2168,346018,0.0062655699992485,-1
Farming and Fishing and Forestry and Wildlife Contracting Services,2082,346018,0.0060170280158835,-1
Electronic Components and Supplies,2042,346018,0.0059014270933882,-1
Public Utilities and Public Sector Related Services,1733,346018,0.0050084099671115,-1
Service Industry Machinery and Equipment and Supplies,1658,346018,0.0047916582374327,-1
Travel and Food and Lodging and Entertainment Services,1515,346018,0.0043783849395118,-1
Environmental Services,1449,346018,0.0041876434173944,-1
Building and Construction Machinery and Accessories,1372,346018,0.0039651116415909,-1
Drugs and Pharmaceutical Products,1363,346018,0.0039391014340294,-1
Sports and Recreational Equipment and Supplies and Accessories,1261,346018,0.0036443190816662,-1
Financial and Insurance Services,1236,346018,0.0035720685051066,-1
Mining and oil and gas services,1051,346018,0.0030374142385656,-1
Land and Buildings and Structures and Thoroughfares,953,346018,0.0027541919784519,-1
Organizations and Clubs,917,346018,0.0026501511482061,-1
Farming and Fishing and Forestry and Wildlife Machinery and Accessories,548,346018,0.0015837326381864,-1
Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,504,346018,0.0014565716234415,-1
Timepieces and Jewelry and Gemstone Products,418,346018,0.0012080296400765,-1
Personal and Domestic Services,255,346018,0.0007369558809079,-1
