Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
6335372,3589,126813,0.0283015148289213,-1
19728145,3315,126813,0.0261408530671145,-1
11077852,3082,126813,0.024303502006892,-1
18506072,2654,126813,0.0209284537074274,-1
47094,2582,126813,0.0203606885729381,-1
18243826,2082,126813,0.0164178751389841,-1
339011,2082,126813,0.0164178751389841,-1
10016242,1881,126813,0.0148328641385346,-1
18955830,1599,126813,0.0126091173617846,-1
1187715,1560,126813,0.0123015779139362,-1
16477792,1457,126813,0.0114893583465417,-1
1585196,1436,126813,0.0113237601823156,-1
11625832,1384,126813,0.0109137075851844,-1
20181560,1380,126813,0.0108821650777128,-1
1763190,1338,126813,0.0105509687492607,-1
929402,1238,126813,0.0097624060624699,-1
7836842,1224,126813,0.0096520072863192,-1
21174496,1218,126813,0.0096046935251117,-1
18494105,1169,126813,0.0092182978085842,-1
16954142,1127,126813,0.0088871014801321,-1
18589616,1105,126813,0.0087136176890381,-1
2542802,1057,126813,0.0083351075993786,-1
1102353,1030,126813,0.0081221956739451,-1
4705492,1024,126813,0.0080748819127376,-1
168014,1022,126813,0.0080591106590018,-1
526316,974,126813,0.0076806005693422,-1
16487812,957,126813,0.0075465449125878,-1
1526075,956,126813,0.0075386592857199,-1
22197221,955,126813,0.007530773658852,-1
19266390,946,126813,0.0074598030170408,-1
1169709,922,126813,0.007270547972211,-1
18297014,915,126813,0.0072153485841356,-1
1776274,914,126813,0.0072074629572677,-1
13560402,908,126813,0.0071601491960603,-1
541319,875,126813,0.0068999235094193,-1
6629622,835,126813,0.006584498434703,-1
15297782,829,126813,0.0065371846734956,-1
19713173,824,126813,0.006497756539156,-1
19277993,819,126813,0.0064583284048165,-1
18495240,816,126813,0.0064346715242128,-1
1360698,804,126813,0.0063400440017979,-1
1751502,797,126813,0.0062848446137225,-1
6707902,797,126813,0.0062848446137225,-1
18616278,796,126813,0.0062769589868546,-1
9376702,796,126813,0.0062769589868546,-1
1728035,740,126813,0.0058353638822518,-1
18562307,727,126813,0.005732850732969,-1
7700282,727,126813,0.005732850732969,-1
10178242,724,126813,0.0057091938523652,-1
227528,721,126813,0.0056855369717615,-1
252576,689,126813,0.0054331969119885,-1
1324203,665,126813,0.0052439418671587,-1
20947040,657,126813,0.0051808568522154,-1
11776502,656,126813,0.0051729712253475,-1
4126912,652,126813,0.0051414287178759,-1
19049542,630,126813,0.0049679449267819,-1
16062152,610,126813,0.0048102323894237,-1
5618532,606,126813,0.0047786898819521,-1
7694232,585,126813,0.0046130917177261,-1
8771812,560,126813,0.0044159510460284,-1
19997487,553,126813,0.004360751657953,-1
18361585,552,126813,0.0043528660310851,-1
18529135,547,126813,0.0043134378967456,-1
7130232,546,126813,0.0043055522698776,-1
1473660,545,126813,0.0042976666430097,-1
1431882,544,126813,0.0042897810161418,-1
1179719,534,126813,0.0042109247474628,-1
6641192,524,126813,0.0041320684787837,-1
1498076,517,126813,0.0040768690907083,-1
710272,515,126813,0.0040610978369725,-1
5282132,509,126813,0.0040137840757651,-1
18476981,501,126813,0.0039506990608218,-1
6230672,493,126813,0.0038876140458785,-1
17467312,490,126813,0.0038639571652748,-1
3173762,487,126813,0.0038403002846711,-1
18425641,486,126813,0.0038324146578032,-1
1349592,482,126813,0.0038008721503315,-1
17487002,479,126813,0.0037772152697278,-1
16067522,476,126813,0.0037535583891241,-1
19030621,476,126813,0.0037535583891241,-1
19416348,471,126813,0.0037141302547846,-1
18850080,458,126813,0.0036116171055018,-1
12847372,447,126813,0.0035248752099548,-1
1078077,447,126813,0.0035248752099548,-1
19249559,443,126813,0.0034933327024831,-1
788001,435,126813,0.0034302476875399,-1
1492619,434,126813,0.003422362060672,-1
1371991,427,126813,0.0033671626725966,-1
18314164,424,126813,0.0033435057919929,-1
535553,422,126813,0.0033277345382571,-1
2556962,418,126813,0.0032961920307854,-1
1358081,417,126813,0.0032883064039175,-1
3376042,417,126813,0.0032883064039175,-1
3047512,411,126813,0.0032409926427101,-1
3870752,408,126813,0.0032173357621064,-1
19964997,392,126813,0.0030911657322198,-1
6121452,389,126813,0.0030675088516161,-1
20402980,387,126813,0.0030517375978803,-1
6190702,378,126813,0.0029807669560691,-1
19218850,376,126813,0.0029649957023333,-1
14649032,368,126813,0.00290191068739,-1
19556549,367,126813,0.0028940250605221,-1
20336043,364,126813,0.0028703681799184,-1
1507431,359,126813,0.0028309400455789,-1
1307837,355,126813,0.0027993975381072,-1
20186791,353,126813,0.0027836262843714,-1
10000962,342,126813,0.0026968843888244,-1
21837219,340,126813,0.0026811131350886,-1
11862932,338,126813,0.0026653418813528,-1
1665418,329,126813,0.0025943712395416,-1
18314669,321,126813,0.0025312862245984,-1
19443174,315,126813,0.0024839724633909,-1
20064276,312,126813,0.0024603155827872,-1
7151442,310,126813,0.0024445443290514,-1
18801828,309,126813,0.0024366587021835,-1
11375762,303,126813,0.002389344940976,-1
1457232,302,126813,0.0023814593141081,-1
981249,299,126813,0.0023578024335044,-1
19292162,298,126813,0.0023499168066365,-1
20807142,292,126813,0.002302603045429,-1
2520612,291,126813,0.0022947174185611,-1
1274150,291,126813,0.0022947174185611,-1
8908602,291,126813,0.0022947174185611,-1
405938,284,126813,0.0022395180304858,-1
18456837,281,126813,0.0022158611498821,-1
16447162,280,126813,0.0022079755230142,-1
6928642,279,126813,0.0022000898961462,-1
1417288,276,126813,0.0021764330155425,-1
19094001,272,126813,0.0021448905080709,-1
22736876,265,126813,0.0020896911199955,-1
22808815,260,126813,0.002050262985656,-1
15552112,258,126813,0.0020344917319202,-1
21043417,258,126813,0.0020344917319202,-1
24039540,254,126813,0.0020029492244485,-1
11131552,253,126813,0.0019950635975806,-1
1240194,252,126813,0.0019871779707127,-1
18795154,249,126813,0.001963521090109,-1
1741429,248,126813,0.0019556354632411,-1
22130047,248,126813,0.0019556354632411,-1
11294262,247,126813,0.0019477498363732,-1
8805172,247,126813,0.0019477498363732,-1
19828398,244,126813,0.0019240929557695,-1
1805550,243,126813,0.0019162073289016,-1
14546632,242,126813,0.0019083217020337,-1
10426762,242,126813,0.0019083217020337,-1
19528743,239,126813,0.0018846648214299,-1
1642477,238,126813,0.001876779194562,-1
19654655,237,126813,0.0018688935676941,-1
17872862,236,126813,0.0018610079408262,-1
18414590,234,126813,0.0018452366870904,-1
11184352,232,126813,0.0018294654333546,-1
18556100,226,126813,0.0017821516721471,-1
8540732,224,126813,0.0017663804184113,-1
10016162,223,126813,0.0017584947915434,-1
18823274,223,126813,0.0017584947915434,-1
19348756,217,126813,0.001711181030336,-1
17836142,216,126813,0.001703295403468,-1
5327862,215,126813,0.0016954097766001,-1
18977219,214,126813,0.0016875241497322,-1
20583850,213,126813,0.0016796385228643,-1
18180033,211,126813,0.0016638672691285,-1
18779992,209,126813,0.0016480960153927,-1
16607822,208,126813,0.0016402103885248,-1
19827046,207,126813,0.0016323247616569,-1
1772099,205,126813,0.0016165535079211,-1
