Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
a1050000000wf0V,1061,4861,0.218267846122197,-1
a1050000000wf0h,789,4861,0.1623122814235754,-1
a1050000000wf0Y,321,4861,0.066035795103888,-1
a1050000002VK6u,289,4861,0.0594527874922855,-1
a1050000006TnqI,265,4861,0.0545155317835836,-1
a1050000000wVES,151,4861,0.0310635671672495,-1
a1050000006FMQl,123,4861,0.0253034355070973,-1
a1050000007RzYZ,121,4861,0.0248919975313721,-1
a1050000004Dc9C,118,4861,0.0242748405677844,-1
a1050000000uzad,103,4861,0.0211890557498457,-1
a1050000000wf0q,103,4861,0.0211890557498457,-1
a1050000000wf1H,100,4861,0.0205718987862579,-1
a1050000006GlCE,94,4861,0.0193375848590824,-1
a1050000000wfdB,94,4861,0.0193375848590824,-1
a1050000000PNMw,91,4861,0.0187204278954947,-1
a1050000000wf0X,88,4861,0.018103270931907,-1
a1050000006FMeo,79,4861,0.0162518000411437,-1
a105000000587Jl,78,4861,0.0160460810532812,-1
a10500000069SKK,68,4861,0.0139888911746554,-1
a1050000000wf0p,67,4861,0.0137831721867928,-1
a1050000000wjym,54,4861,0.0111088253445793,-1
a1050000000wf0Z,45,4861,0.009257354453816,-1
a1050000002XXXT,39,4861,0.0080230405266406,-1
a1050000002ZOqt,32,4861,0.0065830076116025,-1
a1050000000daSp,31,4861,0.0063772886237399,-1
a1050000007Qxbh,30,4861,0.0061715696358773,-1
a1050000000wf0w,30,4861,0.0061715696358773,-1
a10500000081mW8,29,4861,0.0059658506480148,-1
a1050000002ZOr8,28,4861,0.0057601316601522,-1
a1050000005zFpS,24,4861,0.0049372557087019,-1
a1050000007qNxS,24,4861,0.0049372557087019,-1
a1050000006Tm4k,21,4861,0.0043200987451141,-1
a1050000000vt3Z,21,4861,0.0043200987451141,-1
a1050000000vumw,21,4861,0.0043200987451141,-1
a1050000006Tm5J,18,4861,0.0037029417815264,-1
a1050000002VVK6,15,4861,0.0030857848179386,-1
a1050000006Tm59,15,4861,0.0030857848179386,-1
a1050000002VVKB,15,4861,0.0030857848179386,-1
a1050000005zG06,15,4861,0.0030857848179386,-1
a1050000000QbWq,15,4861,0.0030857848179386,-1
a1050000006Hp5l,14,4861,0.0028800658300761,-1
a1050000002VHnI,13,4861,0.0026743468422135,-1
a1050000000wf0r,13,4861,0.0026743468422135,-1
a1050000002Yb4b,12,4861,0.0024686278543509,-1
a1050000007R6Mj,11,4861,0.0022629088664883,-1
a1050000007Qxbc,10,4861,0.0020571898786257,-1
a1050000006TrQj,9,4861,0.0018514708907632,-1
a1050000007QjUH,7,4861,0.001440032915038,-1
a1050000007R6Of,6,4861,0.0012343139271754,-1
a1050000000slyY,6,4861,0.0012343139271754,-1
a1050000007QxbX,5,4861,0.0010285949393128,-1
a1050000004VXDg,5,4861,0.0010285949393128,-1
a1050000006Tr3k,4,4861,0.0008228759514503,-1
a1050000002ZOqz,4,4861,0.0008228759514503,-1
a1050000003vzUe,4,4861,0.0008228759514503,-1
a1050000000utj9,3,4861,0.0006171569635877,-1
a1050000002XXpw,3,4861,0.0006171569635877,-1
a1050000002XXq6,2,4861,0.0004114379757251,-1
a1050000006TkeK,1,4861,0.0002057189878625,-1
a1050000002Vt8x,1,4861,0.0002057189878625,-1
a1050000002Yzz6,1,4861,0.0002057189878625,-1
a1050000005Q3Km,1,4861,0.0002057189878625,-1
a10500000075ine,1,4861,0.0002057189878625,-1
