Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Isle of Man,105,2031,0.051698670605613,-1
Cayman Islands,79,2031,0.0388970950270802,-1
United Kingdom,26,2031,0.0128015755785327,-1
United States,24,2031,0.0118168389955686,-1
Ireland,14,2031,0.0068931560807483,-1
China,13,2031,0.0064007877892663,-1
Jersey,12,2031,0.0059084194977843,-1
Bermuda,10,2031,0.0049236829148202,-1
British Virgin Islands;Isle of Man,9,2031,0.0044313146233382,-1
Mauritius,7,2031,0.0034465780403742,-1
British Virgin Islands,7,2031,0.0034465780403742,-1
Isle of Man;United Kingdom,5,2031,0.0024618414574101,-1
Guernsey,5,2031,0.0024618414574101,-1
Switzerland,5,2031,0.0024618414574101,-1
Hong Kong,4,2031,0.0019694731659281,-1
Canada,4,2031,0.0019694731659281,-1
India,3,2031,0.001477104874446,-1
Greece,3,2031,0.001477104874446,-1
Monaco,3,2031,0.001477104874446,-1
Australia,2,2031,0.000984736582964,-1
Mexico,2,2031,0.000984736582964,-1
Germany,2,2031,0.000984736582964,-1
Israel,2,2031,0.000984736582964,-1
Barbados,1,2031,0.000492368291482,-1
Isle of Man;Switzerland,1,2031,0.000492368291482,-1
South Africa;United Kingdom,1,2031,0.000492368291482,-1
Cyprus,1,2031,0.000492368291482,-1
Kenya,1,2031,0.000492368291482,-1
Canada;United Kingdom,1,2031,0.000492368291482,-1
Jersey;United Kingdom,1,2031,0.000492368291482,-1
Canada;Colombia,1,2031,0.000492368291482,-1
Germany;Netherlands,1,2031,0.000492368291482,-1
Qatar,1,2031,0.000492368291482,-1
Japan,1,2031,0.000492368291482,-1
Germany;Switzerland,1,2031,0.000492368291482,-1
France,1,2031,0.000492368291482,-1
Gibraltar,1,2031,0.000492368291482,-1
Bahrain,1,2031,0.000492368291482,-1
Nigeria;United States,1,2031,0.000492368291482,-1
Ireland;Isle of Man,1,2031,0.000492368291482,-1
Lebanon,1,2031,0.000492368291482,-1
Malta;United Kingdom,1,2031,0.000492368291482,-1
Russia,1,2031,0.000492368291482,-1
Bermuda;Germany;Switzerland;United States,1,2031,0.000492368291482,-1
Egypt,1,2031,0.000492368291482,-1
Saudi Arabia,1,2031,0.000492368291482,-1
United Arab Emirates,1,2031,0.000492368291482,-1
China;Hong Kong,1,2031,0.000492368291482,-1
Bahamas;United Kingdom,1,2031,0.000492368291482,-1
Turkey;United States,1,2031,0.000492368291482,-1
United Kingdom;United States,1,2031,0.000492368291482,-1
Latvia,1,2031,0.000492368291482,-1
Dominican Republic;Mexico;Spain,1,2031,0.000492368291482,-1
Bermuda;Isle of Man,1,2031,0.000492368291482,-1
French Guiana,1,2031,0.000492368291482,-1
Bahamas,1,2031,0.000492368291482,-1
Isle of Man;Panama,1,2031,0.000492368291482,-1
Argentina;Bahamas,1,2031,0.000492368291482,-1
Pakistan;United Arab Emirates,1,2031,0.000492368291482,-1
South Africa,1,2031,0.000492368291482,-1
Turkey,1,2031,0.000492368291482,-1
Jamaica,1,2031,0.000492368291482,-1
Peru,1,2031,0.000492368291482,-1
